,pos,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff,
8332,C,2010,cole aldrich,116.9,20.2,56.2,59.61,13.6,25.4,5.8,16.4,0.679,149,265,0.562,0,0,0,13,1.6,60,3.38383,122.431,3.8,94.8,77.6247,26.75,4.74326,5.24154,3.0556,6.7778,9.8333,0.8611,0.75,3.4722,11.2778,0,0.55354846,0.7302,0.4101,82.6828,4.50588,264.514,11.6948,3.18819,8.50663,9.9848,36.35,37.35177788,1.001777877,
44385,C,2015,willie cauley stein,115.8,18.3,57.2,58.79,11.1,17.3,7.4,16.2,0.617,135,236,0.572,0,0,0,7.1,2.9,54.2,2.78798,118.634,3.1,91.6,74.9298,25.9487,5.07159,6.25944,2.2821,4.1538,6.4359,0.9744,1.2051,1.7179,8.9487,0,0.79168017,0.7518,0.3125,79.0904,4.67976,235.411,12.7451,4.42742,8.31771,11.331,38.29,39.12424378,0.834243782,
20853,C,2014,jerami grant,115.6,21.4,49.6,54.74,9.1,17.2,9.4,11.3,0.674,133,263,0.506,0,5,0,2.5,1.7,66.4,3.74525,122.944,3,90.6,92.424,31.4062,3.38554,1.83139,2.4375,4.3438,6.7812,1.375,0.8125,0.5625,12.0625,0.326018,1.18924056,0.6822,0.3333,97.8648,4.02905,166.665,4.63048,2.57061,2.05987,5.21693,35.63,36.34839976,0.718399762,
23879,C,2015,josh smith,101.6,16.5,52,55.49,11.7,20.8,2.9,22.2,0.622,26,50,0.52,0,0,0,2.2,1.5,74,0.424566,100.291,3.9,57.2,90.5919,9.5484,-0.348933,1.71179,0.9677,1.7419,2.7097,0.129,0.2258,0.1935,2.4194,0,0.23522975,0.5806,0.4211,95.3781,1.20989,57.3555,-0.0602894,-1.62079,1.5605,1.36285,36.73,37.30468084,0.574680837,
12244,C,2013,dewayne dedmon,96.5,19,50,52.44,11.7,24.2,5.8,22.2,0.681,88,173,0.509,0,3,0,10,2.9,26.7,1.14207,100.248,5.4,48.6,84.1827,22.2903,-0.0909662,4.94535,2.2581,4.7097,6.9677,0.6129,1.0968,2.129,6.7097,0.25813,0.38776415,0.6667,0.3939,88.5165,3.1758,183.119,7.28103,-0.624662,7.90569,4.85438,38.85,39.34162301,0.491623007,
44386,C,2014,willie cauley stein,118.9,14.9,59.6,57.95,12.6,16.3,5.7,14.2,0.482,106,178,0.596,0,0,0,12.3,3,46.6,2.32829,116.807,4.5,91.6,85.7359,23.7838,4.0976,7.03824,2.5405,3.5405,6.0811,0.6757,1.1892,2.8649,6.8108,0,0.80651705,0.7281,0.3651,90.5407,3.5906,219.809,13.6395,3.88666,9.75286,11.1358,38.29,38.45635922,0.16635922,
19496,C,2010,jamychal green,101.7,29.4,49.5,54.09,11.9,18.5,9.3,19.4,0.695,162,322,0.503,0,5,0,6.8,2,50.2,2.9825,117.557,4.6,97.4,89.8915,27,2.2648,1.72935,2.7742,4.3871,7.1613,1.0645,0.871,1.6774,14.129,0.360474,0.41771308,0.596,0.4211,94.4698,3.4303,175.499,4.28597,0.560749,3.72522,3.99415,31.78,31.88612198,0.106121977,
30558,C,2013,mason plumlee,113.1,25.1,59.9,62.8,9.8,23.3,11.5,19.2,0.681,221,369,0.599,0,0,0,4,1.7,68.8,4.94503,126.353,2.9,94.8,84.9855,34.6667,5.39624,3.0227,2.75,7.2222,9.9722,1.9444,1,1.4444,17.0833,0,0.67959875,0.7412,0.3688,90.9172,4.9222,282.551,8.66358,3.98273,4.68084,8.41895,36.05,35.98062643,-0.069373569,
30560,C,2011,mason plumlee,103.7,17.2,59.3,56.82,11.2,23.8,10.5,24.7,0.441,112,187,0.599,0,2,0,5.8,2,49.2,1.65048,104.806,4,94.8,80.9889,25.6486,2.23207,4.80505,2.4595,5.8919,8.3514,1.5676,0.8919,1.6757,7.1622,0.119641,0.81692636,0.748,0.3125,85.1714,4.08853,243.473,8.83795,1.79522,7.04274,7.03711,36.05,35.86636508,-0.183634915,
27958,C,2010,larry sanders,112.8,26.1,54,56.35,13.1,25.2,7.7,13.8,0.641,192,351,0.547,4,16,0.25,9.1,1.6,45.5,3.51395,123.657,4.4,29.4,88.9952,26.8857,4.31436,2.02299,3.0286,6.0857,9.1143,0.9714,0.7429,2.5714,14.3714,0.997726,0.58620484,0.6884,0.3618,89.8001,3.47458,228.258,6.40892,2.22981,4.17911,6.33735,36.02,35.8227079,-0.197292098,
41684,C,2013,tony parker,96.7,19.7,54.1,52.49,6.5,13.8,0.9,14.1,0.438,33,61,0.541,0,0,0,4.1,0.6,52.5,0.339754,101.091,10.4,95.4,95.4459,6.2727,-5.32275,0.145565,0.3636,0.8182,1.1818,0.0303,0.0606,0.2727,2.4242,0,0.1,0.5909,0.4444,99.5436,0.653063,37.3391,-3.45789,-2.47459,-0.983296,-5.17719,30.6,30.33820013,-0.261799866,
24598,C,2010,justin hamilton,120.4,14.5,61.7,64.27,13.9,13.4,2.9,17.8,0.7,74,120,0.617,0,0,0,4.8,0.7,58.3,2.10755,114.579,4.3,61.4,93.9418,21.3871,2.05068,2.02226,2.6774,2.7097,5.3871,0.3226,0.2581,1.0645,6.3548,0,0.33336778,0.6923,0.5588,100.782,2.37825,121.196,5.18199,2.59318,2.58881,4.07293,28.01,27.57466167,-0.435338334,
16668,C,2010,henry sims,84,16,50,52.81,7.2,17.2,6.2,33.7,0.565,13,23,0.565,0,3,0,7,1,88.5,-0.0594076,83.173,5.5,94.2,92.0672,6.7143,-3.62133,2.64003,0.3571,1,1.3571,0.25,0.1071,0.4286,1.3929,0.951429,0.41179377,0.6923,0.4,98.1582,0.802346,35.8202,-0.044385,-3.02506,2.98068,-0.981295,24.77,24.11900804,-0.650991961,
20749,C,2011,jeff withey,109,19.8,64.7,61.4,15.4,17.2,5.2,21.2,0.515,22,34,0.647,0,0,0,12.5,1.8,97.1,0.539919,111.234,6.7,94.6,82.9724,6.2308,0.100703,4.76035,0.7692,1,1.7692,0.1923,0.1923,0.7308,2.3462,0,0.41668475,0.625,0.7,86.8141,0.950334,39.9367,9.71848,1.90914,7.80934,4.86106,41.04,40.31517165,-0.724828349,
8313,C,2013,cody zeller,119.4,26.5,56.2,62.26,12.4,18.7,9.4,17.1,0.757,199,352,0.565,0,2,0,4.4,2.1,73.2,5.23894,136.731,3,98.2,83.5675,29.5278,6.89924,3.10171,2.8333,5.2222,8.0556,1.3056,1.0278,1.25,16.5,0.111637,0.58026669,0.6261,0.4348,88.1328,4.30792,237.616,9.61322,5.41262,4.2006,10.0009,38.74,37.80206379,-0.937936214,
16122,C,2011,gorgui dieng,113,18.5,61.8,60.88,13.4,18.3,8.2,19,0.538,68,109,0.624,0,1,0,13.7,1.7,47.3,1.52568,114.777,5.6,91.6,84.0792,15.5517,1.73786,5.16395,1.8276,2.5862,4.4138,0.6552,0.4483,1.931,5.6552,0.130427,0.70375941,0.7385,0.4545,88.3349,2.2925,105.295,10.1501,1.03453,9.11561,6.90181,36.98,35.95826527,-1.021734728,
39431,C,2016,skal labissiere,105.5,20.9,51.6,54,7.3,14.6,3.6,16.3,0.661,98,188,0.521,0,2,0,10.3,0.9,32.6,1.32904,112.492,7.6,99.8,91.4025,15.75,-1.36423,3.46701,0.9722,2.1667,3.1389,0.3056,0.25,1.6389,6.5833,0.206139,0.33336968,0.6607,0.4621,95.6059,2.03132,118.717,5.09141,0.0929794,4.99843,2.10278,33.27,32.14038888,-1.129611121,
41074,C,2010,thomas robinson,88.1,24.8,48.5,46.93,17.2,23,6.7,25.3,0.395,33,68,0.485,0,0,0,7.7,1.7,63.2,0.271294,96.7849,7.3,94.6,80.6622,7.1212,-4.04083,1.5962,1.0303,1.6364,2.6667,0.2727,0.2121,0.5455,2.5152,0,0.34610994,0.6,0.3214,85.828,1.12428,58.7087,1.9088,-2.19677,4.10557,-2.44464,28.15,26.93829136,-1.211708642,
40343,C,2013,tarik black,100.7,19.9,58.9,56.06,10.1,16,4.1,18.6,0.448,103,175,0.589,0,0,0,3.1,1.9,66.3,1.17466,101.711,6.3,87.8,89.6753,20.7188,-1.3024,1.494,1.7812,3.0312,4.8125,0.4375,0.6875,0.625,8.0625,0,0.32556929,0.6612,0.4259,92.8247,2.58442,131.103,0.603597,-0.635409,1.23901,0.191601,27.38,26.07518962,-1.304810376,
44387,C,2013,willie cauley stein,103.5,19.9,62.1,57.66,12,17.2,8,20.8,0.372,105,169,0.621,0,0,0,8.4,2.1,50.9,1.75236,106.872,4.1,91.6,87.4122,23.5517,2.19092,3.18567,2.3103,3.8621,6.1724,0.931,0.8276,2.069,8.3448,0,0.56246979,0.8119,0.3382,90.3763,3.11882,155.769,6.29739,1.47138,4.82601,5.37659,38.29,36.74735795,-1.542642048,
16120,C,2013,gorgui dieng,112.6,18.2,53.4,56.23,12.9,22.1,12.3,18.9,0.652,125,234,0.534,0,0,0,9.4,2.6,47.9,3.38553,117.22,3.3,91.6,76.177,31.0909,4.59809,5.83893,3.4242,5.9697,9.3939,2,1.3333,2.5152,9.7879,0,1.11863081,0.6827,0.4154,81.001,5.26508,252.025,13.4759,3.72605,9.74983,10.437,36.98,34.70310589,-2.276894106,
20748,C,2012,jeff withey,117.9,17.8,53.6,61.38,10.2,18.4,5.6,16.7,0.795,113,211,0.536,0,0,0,15.3,1.5,73.9,3.00826,120.741,4,94.6,79.504,24.8205,3.42545,6.81454,2.0769,4.2051,6.2821,0.7436,0.641,3.5897,8.9744,0,0.59184974,0.6587,0.35,84.7272,4.02171,239.938,12.3539,1.99642,10.3575,10.24,41.04,38.4740706,-2.5659294,
22075,C,2012,john henson,107.4,21.9,50,50.51,9.1,25.1,8,11,0.511,205,410,0.5,0,0,0,9.6,1.1,32.9,2.86245,114.136,2.2,99.2,81.493,29.1143,3.96186,4.48594,2.5429,7.4,9.9429,1.2571,0.5714,2.8857,13.6857,0,0.97775533,0.7217,0.4136,85.5966,4.51549,270.434,9.29592,1.93911,7.35681,8.4478,31.87,29.16024331,-2.709756689,
30559,C,2012,mason plumlee,107,22.4,57.2,56.8,12,24.5,11.7,19.9,0.528,143,250,0.572,0,0,0,5.2,1.6,70.4,2.93792,115.782,3.6,94.8,88.5568,28.3529,3.74099,2.73119,2.9118,6.2647,9.1765,1.6176,0.7647,1.6176,11.1471,0,0.74321153,0.6923,0.3723,93.6311,3.691,221.67,7.27149,2.41226,4.85923,6.47218,36.05,33.30220473,-2.747795273,
11578,C,2010,derrick favors,109,21.8,61.5,62.31,12.5,20.2,7.3,22.9,0.628,177,287,0.617,0,1,0,7.8,1.8,47.6,3.13216,118.341,3.8,100,84.2157,27.7714,3.82367,3.68395,3.0571,5.5714,8.6286,0.9429,0.8857,2.0571,12.5714,0.0579349,0.38374508,0.7829,0.3571,88.5618,4.06076,235.754,8.92075,2.8466,6.07414,7.50762,47.17,43.79969457,-3.370305431,
23880,C,2014,josh smith,74.5,14.9,35.2,37.57,6.2,18.3,3.5,23.9,0.5,19,54,0.352,0,0,0,2.2,0.4,33.3,-0.572087,71.4229,5.2,57.2,91.425,9.9667,-7.01798,1.0736,0.5,1.6,2.1,0.1667,0.0667,0.2,1.5667,0,0.31258206,0.4762,0.2727,95.4866,1.29614,49.8325,-4.77036,-6.13367,1.36332,-5.94439,36.73,31.96869435,-4.761305653,
13725,C,2010,ed davis,112,21.5,57.8,60.66,10.8,24.2,6.8,18.3,0.659,111,192,0.578,0,0,0,9.5,0.9,68.8,3.0751,117.694,2.6,98.2,87.8784,27.8696,3.62077,3.19261,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348,0,0.47825,0.84,0.4621,92.5656,3.71526,160.882,7.56537,1.89527,5.6701,6.81338,40.34,35.5740747,-4.765925304,
43287,C,2011,tyler zeller,120.8,22.8,54.7,59.99,10.8,15.2,4.4,11.5,0.763,210,384,0.547,0,0,0,4.2,1.4,54.9,4.40524,131.536,3.8,97,87.1484,28.1351,5.77187,3.0424,2.8919,4.3514,7.2432,0.6216,0.7297,1.2162,15.7027,0,0.45996741,0.7623,0.4466,93.6054,3.87047,223.168,8.04261,4.69588,3.34673,8.81427,32.11,26.71259669,-5.397403308,
39926,C,2013,steven adams,109.7,18,57.1,55.46,15.3,19.1,5.4,16.9,0.443,100,175,0.571,0,0,0,11.2,1.9,40,1.99486,109.998,2.8,99.2,83.1502,23.4062,3.36616,3.72734,2.8125,3.5312,6.3438,0.625,0.6562,2.0312,7.2188,0,0.57140248,0.6589,0.3261,86.5013,3.44551,158.07,9.76937,2.06394,7.70544,7.0935,48.08,42.36602045,-5.713979551,
30561,C,2010,mason plumlee,98.6,17.4,47.2,48.89,9.1,15.2,11.3,23,0.543,47,98,0.48,2,8,0.25,6.1,2.3,43.4,0.774768,101.505,6.1,94.8,82.4137,14.1471,-0.605796,4.98865,1.1471,1.9412,3.0882,0.8824,0.5294,0.8824,3.6765,0.998679,0.93752652,0.6667,0.1842,88.0142,2.16444,104.635,7.30161,0.688791,6.61282,4.38286,36.05,30.24333659,-5.806663414,
21979,C,2016,john collins,110.3,23.5,54.7,58.92,12.6,16.7,3.5,16.3,0.691,81,148,0.547,0,0,0,5,1.1,63.5,1.56539,119.529,7.4,63.2,99.4688,14.3871,1.35353,0.649195,1.6774,2.2581,3.9355,0.2258,0.2903,0.7419,7.3226,0,0.22579999,0.6627,0.4,107.265,1.46039,86.4562,0.750399,0.256339,0.49406,2.00272,46.6,40.11147457,-6.48852543,
2295,C,2012,anthony davis,133.8,19.1,62.8,65.41,11.6,23.9,7.5,10,0.709,207,317,0.653,3,20,0.15,13.7,2.5,60.2,5.9035,138.825,2.4,100,75.7599,32.025,9.09614,7.56117,2.975,7.4,10.375,1.25,1.35,4.65,14.175,0.931259,1.21951222,0.8736,0.3846,79.63,5.62176,360.572,17.668,7.54963,10.1184,16.6573,71.67,64.2710363,-7.398963699,
12245,C,2012,dewayne dedmon,98.5,21.3,55.1,55.28,12.6,17.6,3.6,19.3,0.537,65,117,0.556,0,1,0,4.7,2,34.7,1.44005,103.773,5.5,48.6,89.6805,23.25,-1.31719,2.15542,2.45,3,5.45,0.3,0.7,0.95,7.6,0.142254,0.20689655,0.8462,0.3175,93.3454,2.92177,91.0182,1.06602,-2.29326,3.35928,0.838229,38.85,31.23978552,-7.610214478,
16666,C,2012,henry sims,100.4,28.7,45.7,52.24,8.3,17.3,26.4,23,0.722,129,281,0.459,0,1,0,5.5,1.3,57.4,2.90914,116.247,3.9,94.2,85.6473,27.875,2.29764,3.54327,1.7812,4.2812,6.0625,3.3438,0.5938,1.3438,11.7188,0.0709527,1.15057468,0.597,0.3333,90.3295,3.87632,174.463,5.67824,0.829829,4.84841,5.84092,24.77,17.12714294,-7.642857059,
18283,C,2013,jakarr sampson,94.7,27.2,44.9,47.71,7.3,14.9,7.9,13.8,0.64,202,442,0.457,0,8,0,3.5,2.1,30.2,2.39299,107.376,3.5,92.6,91.3729,31.5152,1.4529,1.39816,2.1818,4.4242,6.6061,1.0606,1.0909,1.0909,14.8788,0.454826,0.53030002,0.6446,0.3863,96.0357,3.73378,204.051,0.765734,-0.703862,1.4696,2.85106,36.93,28.91353622,-8.016463775,
10810,C,2018,deandre ayton,126.7,26.2,62.5,64.98,13.5,28.2,10.2,13.1,0.733,264,416,0.635,12,35,0.343,6.1,1,42.4,6.07019,140.786,2.8,99.4,93.9647,33.4857,8.02725,1.87637,3.3714,8.2,11.5714,1.6286,0.5714,1.8857,20.1143,1.74757,0.82611341,0.8079,0.4225,97.464,4.06491,265.783,8.89899,5.46564,3.43335,9.90362,46.85,38.4279275,-8.422072499,
18282,C,2014,jakarr sampson,101.6,24.2,49.6,50.8,8,15.5,8.9,13.2,0.565,180,361,0.499,1,5,0.2,3.6,1.3,29.5,2.13386,109.916,3.8,92.6,94.9966,29,0.890922,0.846334,2.0606,4.0606,6.1212,1.1818,0.6364,0.9697,12.8485,0.307399,0.7499683,0.6667,0.3982,99.6889,3.42566,169.44,1.27807,-0.0463676,1.32444,1.73726,36.93,28.4249904,-8.5050096,
32715,C,2013,montrezl harrell,114.5,16.7,57.7,57.09,11.4,14.6,2.5,12.7,0.508,97,168,0.577,0,0,0,4.9,1.9,37.5,1.68891,115.759,3.1,84,83.4225,16.2,3.33385,2.49359,1.575,2.05,3.625,0.2,0.5,0.675,5.65,0,0.3478261,0.6935,0.25,88.1774,2.3513,123.603,5.70546,2.23038,3.47508,5.82745,55.19,46.26289123,-8.927108773,
19260,C,2015,james johnson,76.3,21,49.2,50.19,7.2,11.7,3,33.3,0.537,59,120,0.492,0,0,0,2.1,0.9,34.2,-0.779243,74.3512,6.8,85.8,110.11,17.7812,-7.83816,-1.70875,1.0938,1.9375,3.0312,0.2812,0.2188,0.3125,5.8125,0,0.13844033,0.5109,0.4286,108.207,1.03477,77.9117,-9.52673,-7.4036,-2.12313,-9.54691,35.42,25.15406297,-10.26593703,
32201,C,2010,mike muscala,107,21.3,47.4,51.89,7.6,16.2,7.5,11.2,0.806,110,231,0.476,6,20,0.3,9.6,0.7,28.7,1.62216,104.861,3.3,9.2,102.388,24.8333,0.717015,0.865896,1.6333,3.3,4.9333,0.7667,0.3,2.1667,9.8667,1.6452,0.7931106,0.6279,0.3862,99.414,2.0441,146.557,1.67157,-1.42871,3.10028,1.58291,37.58,27.27314381,-10.30685619,
25313,C,2015,karl anthony towns,122.7,24.2,57,62.72,14.1,22.2,11.5,16.6,0.813,143,248,0.577,2,8,0.25,11.4,1.4,52.3,3.50076,135.582,5.6,99.2,73.2127,21.1282,6.31975,6.80643,2.359,4.3333,6.6923,1.1282,0.4615,2.2564,10.2821,0.606421,0.8301693,0.719,0.4375,77.2779,3.93509,202.777,14.8828,5.63939,9.24336,13.1262,62.81,51.53914735,-11.27085265,
42668,C,2011,tristan thompson,107.4,23.1,54.6,53.65,13.9,13.6,8,14.5,0.487,172,315,0.546,0,0,0,7.2,1.8,82.9,3.18197,116.101,3.6,97.8,84.3695,30.9444,4.0139,3.79762,3.8333,4,7.8333,1.25,0.9444,2.3889,13.0833,0,0.70311623,0.7239,0.3553,88.6309,4.53819,237.951,9.71642,3.73655,5.97987,7.81152,36.83,24.53593622,-12.29406378,
11095,C,2010,demarcus cousins,113.5,30.8,56,57.93,19.9,24.9,9.2,16,0.604,205,363,0.565,1,6,0.167,7.5,2.4,72.6,3.90491,134.082,5.5,99.6,79.3387,23.5,6.16153,3.4411,4.0526,5.7895,9.8421,1,0.9737,1.7632,15.1316,0.377922,0.487187,0.7619,0.3497,83.3244,3.80857,242.468,9.60971,4.65779,4.95191,9.60263,58.71,44.48878821,-14.22121179,
1803,C,2012,andre drummond,100.7,20.8,53.8,50.93,14.2,15.5,3.4,16,0.295,157,290,0.541,0,2,0,9.9,1.8,30.1,2.01686,106.362,3.1,83.4,90.5331,28.4412,1.78075,2.5491,3.3529,4.2059,7.5588,0.4412,0.8235,2.7059,10,0.127848,0.28847914,0.7027,0.2571,95.5401,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,47.66,32.99798201,-14.66201799,
19838,C,2017,jarrett allen,101.9,22.9,56.6,57.14,11,18.8,5.5,20.1,0.564,179,309,0.579,0,7,0,5,1,47.2,2.65605,111.598,2.6,96.8,91.3054,32.1515,2.13467,2.01551,3.0303,5.3939,8.4242,0.7879,0.5758,1.5455,13.3939,0.382352,0.3095266,0.7101,0.4765,99.0269,4.198,209.689,3.4387,-0.15881,3.59751,4.15017,55.65,39.36796628,-16.28203372,
12701,C,2015,domantas sabonis,118.4,21.9,65.6,66.38,13.2,24.2,7.7,20.2,0.661,137,209,0.656,0,0,0,1.5,1.2,55,2.77039,124.285,5.1,60.2,87.1714,21.6316,3.34384,1.48338,2.1316,4.8947,7.0263,0.8684,0.4474,0.3158,9.7105,0,0.55931983,0.7315,0.4545,90.7303,3.01955,171.557,5.34726,3.37698,1.97028,4.82722,57.09,35.50043744,-21.58956256,
21825,C,2014,joel embiid,112,24.4,62.9,65.5,12.7,27.3,11.5,24.1,0.685,106,166,0.639,1,5,0.2,11.7,2.3,83.6,2.92867,124.998,5.8,97.4,83.519,23.1071,4.24577,6.35075,2.3214,5.7857,8.1071,1.3571,0.8929,2.5714,11.1786,0.444178,0.57574986,0.8081,0.3846,90.0859,3.6851,176.276,12.7402,3.37781,9.36236,10.5965,76.47,52.49297207,-23.97702793,
