,pos,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,twoP_per,blk_per,stl_per,porpag,adjoe,mp,ogbpm,dgbpm,pts,season,ast/tov,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,gbpm,score,test_score,diff
1225,C,2012,alex len,98.6,55.3,56.54,8.8,20.0,0.559,10.0,0.5,0.92977,98.5661,21.1818,-0.869039,3.13235,5.9545,4,0.39393334,0.7451,99.3619,2.30492,99.3874,2.26331,31.727078891258,46.14529083159033,14.41821194033233
1226,C,2013,alex len,112.7,53.5,56.97,13.2,19.3,0.544,8.0,0.5,3.0538,118.663,26.4211,3.33837,2.79123,11.8947,3,0.61669517,0.7299,91.861,3.41733,214.642,6.1296,31.727078891258,42.2732795222484,10.546200630990402
1803,C,2012,andre drummond,100.7,53.8,50.93,14.2,15.5,0.541,9.9,1.8,2.01686,106.362,28.4412,1.78075,2.5491,10.0,4,0.28847914,0.7027,95.5401,3.4961,200.006,4.32984,58.73489694385218,42.04149795324102,-16.693398990611158
2055,C,2010,andrew nicholson,112.5,56.1,59.67,9.1,17.9,0.561,6.6,0.4,3.72714,121.2,30.2759,3.05449,0.0396227,16.3103,3,0.25927716,0.7425,101.019,2.81462,169.169,3.09411,27.377398720682304,35.23328152676942,7.855882806087113
2295,C,2012,anthony davis,133.8,62.8,65.41,11.6,23.9,0.653,13.7,2.5,5.9035,138.825,32.025,9.09614,7.56117,14.175,4,1.21951222,0.8736,79.63,5.62176,360.572,16.6573,93.12011371712865,71.72785456658814,-21.39225915054051
4422,C,2016,brandon clarke,117.1,62.5,61.93,9.8,16.7,0.64,5.9,1.8,2.12822,113.782,23.8214,3.67813,2.1089,8.75,4,1.3000746,0.7708,102.181,2.31056,137.088,5.78703,79.53091684434969,56.16181029694617,-23.36910654740352
8301,C,2013,cody zeller,119.4,56.2,62.26,12.4,18.7,0.565,4.4,2.1,5.23894,136.731,29.5278,6.89924,3.10171,16.5,3,0.58026669,0.6261,88.1328,4.30792,237.616,10.0009,46.01279317697228,50.48931487533169,4.476521698359406
8302,C,2012,cody zeller,127.0,62.3,66.45,11.3,16.8,0.623,4.3,2.9,5.39068,140.263,28.4722,7.89301,3.05051,15.6389,4,0.749985,0.7087,94.7906,3.61699,222.304,10.9435,46.01279317697228,58.868522440714614,12.855729263742333
8320,C,2010,cole aldrich,116.9,56.2,59.61,13.6,25.4,0.562,13.0,1.6,3.38383,122.431,26.75,4.74326,5.24154,11.2778,2,0.55354846,0.7302,82.6828,4.50588,264.514,9.9848,42.57285003553661,45.60917896290539,3.0363289273687784
9287,C,2016,damian jones,106.8,59.0,58.45,9.9,17.3,0.595,5.9,0.5,2.96524,120.73,26.2424,2.73371,2.72329,13.8788,2,0.58460679,0.731,94.8238,3.50456,177.996,5.45701,27.32054015636105,30.935868620111762,3.6153284637507106
9288,C,2015,damian jones,103.6,55.4,57.39,9.7,16.5,0.558,7.3,1.2,2.90695,116.363,29.1429,2.01529,1.09852,14.4,3,0.3421295,0.6667,97.8264,3.2313,191.226,3.11381,27.32054015636105,32.81564458230055,5.495104425939498
9289,C,2014,damian jones,97.6,54.3,54.93,8.7,15.9,0.543,5.7,0.7,1.63101,106.601,25.9032,-1.40558,1.2689,11.2581,4,0.12499308,0.7192,99.2836,3.01095,147.891,-0.136676,27.32054015636105,36.422677474510905,9.102137318149854
9564,C,2018,daniel gafford,115.9,60.5,59.43,11.2,20.0,0.605,11.5,1.4,3.07368,127.463,22.5714,3.57638,2.30227,11.8,4,0.6486614,0.7882,99.7084,2.73771,183.187,5.87864,43.86638237384507,48.55013641794359,4.683754044098521
10798,C,2018,deandre ayton,126.7,62.5,64.98,13.5,28.2,0.635,6.1,1.0,6.07019,140.786,33.4857,8.02725,1.87637,20.1143,4,0.82611341,0.8079,97.464,4.06491,265.783,9.90362,57.59772565742716,68.5010704084572,10.903344751030033
11083,C,2010,demarcus cousins,113.5,56.0,57.93,19.9,24.9,0.565,7.5,2.4,3.90491,134.082,23.5,6.16153,3.4411,15.1316,4,0.487187,0.7619,83.3244,3.80857,242.468,9.60263,74.58422174840086,57.73794467304113,-16.846277075359737
11566,C,2010,derrick favors,109.0,61.5,62.31,12.5,20.2,0.617,7.8,1.8,3.13216,118.341,27.7714,3.82367,3.68395,12.5714,4,0.38374508,0.7829,88.5618,4.06076,235.754,7.50762,58.05259417199717,51.40480776552113,-6.647786406476044
12232,C,2013,dewayne dedmon,96.5,50.0,52.44,11.7,24.2,0.509,10.0,2.9,1.14207,100.248,22.2903,-0.0909662,4.94535,6.7097,2,0.38776415,0.6667,88.5165,3.1758,183.119,4.85438,46.16915422885573,35.1051996776949,-11.063954551160833
12233,C,2012,dewayne dedmon,98.5,55.1,55.28,12.6,17.6,0.556,4.7,2.0,1.44005,103.773,23.25,-1.31719,2.15542,7.6,3,0.20689655,0.8462,93.3454,2.92177,91.0182,0.838229,46.16915422885573,29.03843918199263,-17.130715046863102
12689,C,2015,domantas sabonis,118.4,65.6,66.38,13.2,24.2,0.656,1.5,1.2,2.77039,124.285,21.6316,3.34384,1.48338,9.7105,4,0.55931983,0.7315,90.7303,3.01955,171.557,4.82722,68.08813077469794,57.62982088609657,-10.458309888601377
13713,C,2010,ed davis,112.0,57.8,60.66,10.8,24.2,0.578,9.5,0.9,3.0751,117.694,27.8696,3.62077,3.19261,13.4348,3,0.47825,0.84,92.5656,3.71526,160.882,6.81338,48.28713574982232,50.156336209635285,1.8692004598129657
13914,C,2010,ekpe udoh,110.5,49.1,52.99,12.8,17.6,0.497,11.0,1.4,4.21518,120.227,35.4571,4.87541,3.96362,13.9143,2,1.11631598,0.7156,93.4571,4.70314,273.986,8.83903,23.89481165600569,33.40715010125817,9.512338445252478
16104,C,2013,gorgui dieng,112.6,53.4,56.23,12.9,22.1,0.534,9.4,2.6,3.38553,117.22,31.0909,4.59809,5.83893,9.7879,2,1.11863081,0.6827,81.001,5.26508,252.025,10.437,43.4683724235963,45.874644959715425,2.4062725361191255
16105,C,2012,gorgui dieng,104.3,52.7,55.61,11.7,18.5,0.526,10.4,2.1,2.01259,103.605,32.8,0.940436,5.93672,9.1,3,0.52499998,0.7339,84.6546,5.28259,310.302,6.87716,43.4683724235963,41.01622271111577,-2.4521497124805265
16106,C,2011,gorgui dieng,113.0,61.8,60.88,13.4,18.3,0.624,13.7,1.7,1.52568,114.777,15.5517,1.73786,5.16395,5.6552,4,0.70375941,0.7385,88.3349,2.2925,105.295,6.90181,43.4683724235963,53.63230945686446,10.163937033268162
16573,C,2010,hassan whiteside,101.7,51.0,53.55,12.0,24.0,0.504,18.3,1.2,2.15312,109.378,26.5484,2.06156,4.68207,12.7742,4,0.11864228,0.7196,88.111,3.62789,231.982,6.74362,61.26510305614784,51.221027390722526,-10.04407566542531
16650,C,2012,henry sims,100.4,45.7,52.24,8.3,17.3,0.459,5.5,1.3,2.90914,116.247,27.875,2.29764,3.54327,11.7188,1,1.15057468,0.597,90.3295,3.87632,174.463,5.84092,23.695806680881315,21.541412759811408,-2.1543939210699072
16651,C,2011,henry sims,100.1,57.8,56.9,8.0,18.9,0.585,4.8,1.2,0.752559,101.779,14.0312,-0.888444,3.23712,3.5938,2,1.08566471,0.7442,99.3397,1.66305,85.6712,2.34867,23.695806680881315,29.370235829892252,5.674429149010937
16652,C,2010,henry sims,84.0,50.0,52.81,7.2,17.2,0.565,7.0,1.0,-0.0594076,83.173,6.7143,-3.62133,2.64003,1.3929,3,0.41179377,0.6923,98.1582,0.802346,35.8202,-0.981295,23.695806680881315,34.84036234147375,11.144555660592435
18152,C,2015,jahlil okafor,116.4,66.4,64.14,14.8,18.2,0.664,4.5,1.5,4.86364,134.278,30.0789,7.26684,2.26927,17.2895,4,0.5158,0.7889,94.5347,4.1073,226.642,9.53611,26.79459843638949,55.26479342267467,28.470194986285183
18262,C,2013,jakarr sampson,94.7,44.9,47.71,7.3,14.9,0.457,3.5,2.1,2.39299,107.376,31.5152,1.4529,1.39816,14.8788,4,0.53030002,0.6446,96.0357,3.73378,204.051,2.85106,48.74200426439232,40.98152744113517,-7.76047682325715
18263,C,2014,jakarr sampson,101.6,49.6,50.8,8.0,15.5,0.499,3.6,1.3,2.13386,109.916,29.0,0.890922,0.846334,12.8485,3,0.7499683,0.6667,99.6889,3.42566,169.44,1.73726,48.74200426439232,35.48435259717377,-13.257651667218553
18453,C,2015,jakob poeltl,109.9,67.9,62.66,15.8,20.1,0.683,8.9,1.0,2.42778,117.472,23.2941,2.82118,3.65303,9.1471,4,0.41821219,0.7481,87.4236,3.5658,161.036,6.4742,76.01990049751244,53.29907454124971,-22.72082595626273
18454,C,2016,jakob poeltl,124.0,64.0,66.23,11.9,22.0,0.64,4.8,1.2,5.42835,139.774,30.6,7.31247,2.4461,17.2857,3,0.95714998,0.7007,98.0085,3.73308,225.884,9.75857,76.01990049751244,54.20726477397605,-21.81263572353639
19095,C,2011,james anderson,76.1,32.5,31.52,7.2,11.5,0.325,7.3,1.2,-0.412191,70.7093,7.7333,-6.21937,2.16974,1.1,2,0.85726533,0.5714,94.6968,0.943727,46.6915,-4.04963,21.03766879886283,13.098292005541765,-7.939376793321063
19472,C,2012,jamychal green,105.5,55.0,58.5,10.5,19.1,0.561,6.0,1.6,3.44988,120.04,29.2308,3.91347,3.66617,13.9615,1,0.65713327,0.7172,88.3598,4.36969,155.633,7.57965,36.03411513859275,29.874481135390653,-6.1596340032021
19473,C,2010,jamychal green,101.7,49.5,54.09,11.9,18.5,0.503,6.8,2.0,2.9825,117.557,27.0,2.2648,1.72935,14.129,3,0.41771308,0.596,94.4698,3.4303,175.499,3.99415,36.03411513859275,40.120408141319174,4.086293002726421
19815,C,2017,jarrett allen,101.9,56.6,57.14,11.0,18.8,0.579,5.0,1.0,2.65605,111.598,32.1515,2.13467,2.01551,13.3939,4,0.3095266,0.7101,99.0269,4.198,209.689,4.15017,70.22032693674485,50.691513102940306,-19.52881383380455
20724,C,2012,jeff withey,117.9,53.6,61.38,10.2,18.4,0.536,15.3,1.5,3.00826,120.741,24.8205,3.42545,6.81454,8.9744,2,0.59184974,0.6587,84.7272,4.02171,239.938,10.24,51.96872778962332,39.55535837842541,-12.413369411197912
20726,C,2011,jeff withey,109.0,64.7,61.4,15.4,17.2,0.647,12.5,1.8,0.539919,111.234,6.2308,0.100703,4.76035,2.3462,3,0.41668475,0.625,86.8141,0.950334,39.9367,4.86106,51.96872778962332,41.79337063720729,-10.175357152416034
20831,C,2014,jerami grant,115.6,49.6,54.74,9.1,17.2,0.506,2.5,1.7,3.74525,122.944,31.4062,3.38554,1.83139,12.0625,3,1.18924056,0.6822,97.8648,4.02905,166.665,5.21693,41.53518123667378,45.89618872198443,4.361007485310651
21802,C,2014,joel embiid,112.0,62.9,65.5,12.7,27.3,0.639,11.7,2.3,2.92867,124.998,23.1071,4.24577,6.35075,11.1786,4,0.57574986,0.8081,90.0859,3.6851,176.276,10.5965,100.0,66.43277318743873,-33.56722681256127
21955,C,2017,john collins,124.8,62.2,65.76,16.4,25.7,0.624,6.6,1.3,5.34367,145.671,26.6061,9.03017,0.214696,19.1515,3,0.27871248,0.7534,103.87,2.94366,198.91,9.24487,57.22814498933902,55.97841996223306,-1.24972502710596
21956,C,2016,john collins,110.3,54.7,58.92,12.6,16.7,0.547,5.0,1.1,1.56539,119.529,14.3871,1.35353,0.649195,7.3226,4,0.22579999,0.6627,107.265,1.46039,86.4562,2.00272,57.22814498933902,47.176300038742255,-10.051844950596767
22052,C,2011,john henson,98.1,50.1,50.18,12.7,25.3,0.506,11.6,1.2,1.95458,107.406,26.7297,2.6459,4.67848,11.7027,3,0.39472275,0.7361,85.5676,4.36888,277.396,7.32438,36.16204690831557,45.97432166071344,9.812274752397876
22053,C,2012,john henson,107.4,50.0,50.51,9.1,25.1,0.5,9.6,1.1,2.86245,114.136,29.1143,3.96186,4.48594,13.6857,2,0.97775533,0.7217,85.5966,4.51549,270.434,8.4478,36.16204690831557,43.74674760019627,7.584700691880705
22054,C,2010,john henson,95.7,49.7,49.15,10.7,17.8,0.515,9.4,2.5,0.851313,101.291,15.8649,2.36556,4.81963,5.7297,4,0.75555009,0.8548,92.0505,2.16987,149.79,7.1852,36.16204690831557,44.177821133721366,8.0157742254058
23853,C,2015,josh smith,101.6,52.0,55.49,11.7,20.8,0.52,2.2,1.5,0.424566,100.291,9.5484,-0.348933,1.71179,2.4194,2,0.23522975,0.5806,95.3781,1.20989,57.3555,1.36285,45.870646766169166,35.918703007575274,-9.951943758593892
23854,C,2014,josh smith,74.5,35.2,37.57,6.2,18.3,0.352,2.2,0.4,-0.572087,71.4229,9.9667,-7.01798,1.0736,1.5667,3,0.31258206,0.4762,95.4866,1.29614,49.8325,-5.94439,45.870646766169166,28.982390059857877,-16.88825670631129
24328,C,2014,julius randle,111.2,50.4,56.59,13.4,24.7,0.516,2.6,1.0,4.08221,126.832,30.825,4.90839,1.37976,14.975,4,0.5643564,0.6701,96.732,4.09889,249.652,6.28816,42.03269367448472,58.01622299282178,15.983529318337062
24574,C,2010,justin hamilton,120.4,61.7,64.27,13.9,13.4,0.617,4.8,0.7,2.10755,114.579,21.3871,2.05068,2.02226,6.3548,3,0.33336778,0.6923,100.782,2.37825,121.196,4.07293,30.64676616915424,43.16589348570214,12.519127316547902
24575,C,2012,justin hamilton,110.0,49.8,55.31,11.8,15.3,0.503,4.7,1.5,3.21694,117.071,30.0,3.53487,1.85584,12.9091,2,0.52631273,0.621,94.9102,3.56051,187.441,5.3907,30.64676616915424,32.34511856104787,1.6983523918936285
24606,C,2014,justin jackson,104.2,53.2,52.38,13.6,17.4,0.532,12.1,3.7,2.40134,113.234,27.7647,2.7021,6.29519,11.1176,1,0.88059471,0.6503,83.5631,4.67187,230.53,8.99728,20.36958066808814,30.276598725118788,9.907018057030648
24607,C,2013,justin jackson,82.5,42.3,44.09,9.5,20.4,0.455,7.8,3.2,-0.0789536,84.0245,18.8,-2.69307,5.76329,3.8333,2,0.81483333,0.5893,82.306,2.99525,138.974,3.07022,20.36958066808814,31.836821628817063,11.467240960728923
24608,C,2012,justin jackson,96.6,52.0,52.55,10.1,12.6,0.546,8.2,2.6,0.769453,96.3615,21.0811,-2.20804,4.55853,5.0811,3,0.70911538,0.6091,91.8662,2.70487,157.479,2.35049,20.36958066808814,32.81894699954606,12.449366331457917
25290,C,2015,karl anthony towns,122.7,57.0,62.72,14.1,22.2,0.577,11.4,1.4,3.50076,135.582,21.1282,6.31975,6.80643,10.2821,4,0.8301693,0.719,77.2779,3.93509,202.777,13.1262,82.99928926794598,63.803313866366565,-19.195975401579418
25973,C,2011,kenneth faried,115.1,61.0,60.98,19.9,30.9,0.61,8.1,3.4,4.26953,121.607,35.2188,6.15886,2.13499,17.25,1,0.38822381,0.7056,85.7528,4.9022,292.319,8.29385,44.87562189054727,44.90183436935902,0.026212478811750373
25974,C,2010,kenneth faried,108.9,57.0,58.17,15.8,37.3,0.575,7.9,3.1,3.18258,115.738,30.7879,3.98651,2.22414,16.6364,2,0.20483462,0.7049,83.9491,4.42817,279.652,6.21065,44.87562189054727,55.99207040601317,11.116448515465898
26702,C,2013,khem birch,109.9,56.3,59.06,12.0,16.3,0.563,12.0,1.8,1.78585,108.916,21.8462,2.02006,5.2956,7.1538,3,0.48385475,0.7059,86.5249,3.28637,137.393,7.31565,37.85358919687279,45.285111740789404,7.431522543916614
26703,C,2014,khem birch,117.8,51.0,56.9,13.9,20.3,0.51,10.9,1.2,3.29549,118.76,31.4242,3.71298,4.33677,11.5455,2,0.90909775,0.6228,90.5787,4.39771,246.245,8.04974,37.85358919687279,44.54188615881044,6.688296961937652
27456,C,2012,kyle o'quinn,113.8,59.6,63.0,11.6,25.0,0.621,9.1,1.1,3.38124,117.241,31.2353,3.33678,2.16957,15.9412,1,0.56181236,0.7487,91.3461,3.56579,255.631,5.50635,45.00355366027009,31.364708073390588,-13.638845586879505
27457,C,2011,kyle o'quinn,115.8,57.7,61.49,11.8,26.1,0.625,10.5,1.0,3.36962,116.319,32.8125,3.75924,0.581714,16.4375,2,0.47058824,0.7206,97.4211,2.73774,252.189,4.34095,45.00355366027009,39.519271814209034,-5.484281846061059
27795,C,2010,lance thomas,99.1,43.9,50.22,10.4,11.0,0.439,0.8,1.4,0.856023,95.4928,25.25,-0.837577,2.36188,4.775,1,0.59016393,0.6026,94.5901,3.25753,167.533,1.52431,17.526652452025594,13.34626832765079,-4.180384124374804
27933,C,2010,larry sanders,112.8,54.0,56.35,13.1,25.2,0.547,9.1,1.6,3.51395,123.657,26.8857,4.31436,2.02299,14.3714,2,0.58620484,0.6884,89.8001,3.47458,228.258,6.33735,35.73560767590619,39.17237269326668,3.436765017360493
28037,C,2010,lavoy allen,114.8,54.4,55.71,12.3,23.6,0.561,4.6,1.0,3.73947,117.222,34.4571,4.30145,3.97642,11.4857,2,1.56600418,0.7868,86.2266,5.19519,258.252,8.27787,39.84363894811656,44.92934172204946,5.085702773932894
30530,C,2011,mason plumlee,103.7,59.3,56.82,11.2,23.8,0.599,5.8,2.0,1.65048,104.806,25.6486,2.23207,4.80505,7.1622,3,0.81692636,0.748,85.1714,4.08853,243.473,7.03711,40.9950248756219,47.50802960035463,6.513004724732731
30531,C,2010,mason plumlee,98.6,47.2,48.89,9.1,15.2,0.48,6.1,2.3,0.774768,101.505,14.1471,-0.605796,4.98865,3.6765,4,0.93752652,0.6667,88.0142,2.16444,104.635,4.38286,40.9950248756219,44.9141871536567,3.919162278034797
30532,C,2012,mason plumlee,107.0,57.2,56.8,12.0,24.5,0.572,5.2,1.6,2.93792,115.782,28.3529,3.74099,2.73119,11.1471,2,0.74321153,0.6923,93.6311,3.691,221.67,6.47218,40.9950248756219,38.50758372534844,-2.4874411502734617
30533,C,2013,mason plumlee,113.1,59.9,62.8,9.8,23.3,0.599,4.0,1.7,4.94503,126.353,34.6667,5.39624,3.0227,17.0833,1,0.67959875,0.7412,90.9172,4.9222,282.551,8.41895,40.9950248756219,32.18320698953249,-8.811817886089408
31441,C,2012,meyers leonard,112.5,58.6,61.77,9.1,23.5,0.604,6.9,0.9,3.62588,118.932,31.8125,3.03494,3.23251,13.5625,3,0.63237645,0.7569,94.6348,4.16046,210.3,6.26746,33.21961620469084,50.121353005431985,16.901736800741148
31442,C,2011,meyers leonard,79.1,48.3,51.46,4.6,12.8,0.491,5.2,1.1,-0.165376,80.4576,8.2424,-6.91448,2.55613,2.0606,4,0.19228329,0.6923,98.6762,1.0202,48.9904,-4.35835,33.21961620469084,26.681225085185545,-6.538391119505292
32170,C,2013,mike muscala,116.8,51.0,57.21,12.0,29.0,0.515,7.7,1.0,5.30295,132.867,32.0909,8.51832,3.9947,18.8788,1,1.35083659,0.6597,83.836,4.69031,257.626,12.513,46.2544420753376,48.41152167541921,2.157079600081609
32173,C,2010,mike muscala,107.0,47.4,51.89,7.6,16.2,0.476,9.6,0.7,1.62216,104.861,24.8333,0.717015,0.865896,9.8667,4,0.7931106,0.6279,99.414,2.0441,146.557,1.58291,46.2544420753376,43.419920477193784,-2.834521598143816
32400,C,2012,miles plumlee,117.3,61.0,62.05,16.6,22.7,0.61,4.2,1.5,2.35136,118.999,20.5,3.67006,1.67681,6.6471,1,0.42855988,0.7143,94.9681,2.5794,152.76,5.34687,31.926083866382378,30.207106403079734,-1.7189774633026431
32401,C,2011,miles plumlee,107.2,51.8,53.45,14.3,17.2,0.518,2.4,2.0,1.22401,107.044,16.973,0.3459,2.14304,4.7568,2,0.37149802,0.6429,89.9131,2.44002,136.535,2.48894,31.926083866382378,29.671078213019044,-2.255005653363334
32687,C,2013,montrezl harrell,114.5,57.7,57.09,11.4,14.6,0.577,4.9,1.9,1.68891,115.759,16.2,3.33385,2.49359,5.65,4,0.3478261,0.6935,88.1774,2.3513,123.603,5.82745,69.56645344705046,48.06053705589861,-21.505916391151857
33416,C,2013,nerlens noel,109.0,59.0,58.26,10.4,22.3,0.59,13.2,3.9,2.61518,109.012,31.875,3.95391,7.13561,10.4583,4,0.84442666,0.7677,81.3956,5.17641,227.307,11.0895,46.89410092395168,65.74867332103413,18.85457239708245
34678,C,2016,pascal siakam,115.4,54.0,56.88,13.4,23.5,0.547,6.4,1.7,4.52393,125.384,35.3438,5.33606,2.96322,20.375,3,0.76119968,0.7371,86.8008,4.89153,275.465,8.29928,72.32409381663115,55.991692284556294,-16.332401532074854
34679,C,2015,pascal siakam,117.8,56.3,60.71,13.8,17.5,0.567,5.7,1.7,3.34757,118.579,30.8235,3.65312,1.96256,12.8235,4,0.7030918,0.6933,92.3242,3.51942,193.589,5.61568,72.32409381663115,53.82016765704067,-18.503926159590478
35054,C,2011,perry jones iii,108.7,54.7,57.68,9.6,15.9,0.556,3.0,0.9,3.25933,114.12,33.8621,2.41683,0.507393,13.8966,4,0.49253341,0.8505,97.7252,3.64363,172.136,2.92422,21.947405828002847,39.89186353881756,17.944457710814714
36591,C,2013,richaun holmes,118.9,62.4,62.84,14.8,17.1,0.634,13.2,1.6,1.84132,114.146,18.6667,2.43326,3.03494,6.5667,3,0.291625,0.7111,93.1114,2.05947,120.766,5.46821,43.48258706467662,44.35172664725343,0.8691395825768069
37044,C,2011,robert sacre,110.7,49.1,58.39,12.0,16.8,0.493,8.0,1.7,2.95552,119.113,26.1176,2.58715,2.72336,12.5294,2,0.51348492,0.6545,92.7907,3.37475,195.015,5.31051,23.681592039801,31.742474613123946,8.060882573322946
37046,C,2012,robert sacre,111.7,51.1,59.52,9.9,18.1,0.515,5.8,0.8,2.81627,116.709,26.2727,2.24699,1.77144,11.6364,1,0.400011,0.6625,93.459,3.19885,171.815,4.01842,23.681592039801,23.042746638413035,-0.6388454013879645
39403,C,2016,skal labissiere,105.5,51.6,54.0,7.3,14.6,0.521,10.3,0.9,1.32904,112.492,15.75,-1.36423,3.46701,6.5833,4,0.33336968,0.6607,95.6059,2.03132,118.717,2.10278,38.16631130063966,38.91280215933595,0.7464908586962906
39898,C,2013,steven adams,109.7,57.1,55.46,15.3,19.1,0.571,11.2,1.9,1.99486,109.998,23.4062,3.36616,3.72734,7.2188,4,0.57140248,0.6589,86.5013,3.44551,158.07,7.0935,59.36034115138593,56.58737179682056,-2.772969354565369
40314,C,2014,tarik black,122.5,69.2,67.98,11.6,21.3,0.698,4.0,1.3,1.67492,124.294,13.5152,2.0693,2.96575,5.4848,1,0.39124821,0.7949,98.3238,1.79382,92.3762,5.03505,29.68017057569297,31.25723386530929,1.5770632896163193
40315,C,2011,tarik black,106.0,52.8,54.67,14.4,11.3,0.528,7.3,2.0,1.75354,108.833,22.6286,0.289426,1.23929,9.0857,4,0.25534291,0.6325,97.7187,2.46385,150.266,1.52872,29.68017057569297,39.10168937169429,9.421518796001322
40316,C,2012,tarik black,119.7,68.9,67.35,10.7,12.0,0.689,6.2,1.5,3.13396,121.398,25.5714,2.85811,2.15352,10.6571,3,0.13331259,0.7564,94.278,3.05018,162.086,5.01162,29.68017057569297,35.310649078221516,5.630478502528547
40317,C,2013,tarik black,100.7,58.9,56.06,10.1,16.0,0.589,3.1,1.9,1.17466,101.711,20.7188,-1.3024,1.494,8.0625,2,0.32556929,0.6612,92.8247,2.58442,131.103,0.191601,29.68017057569297,25.349327930190455,-4.330842645502514
41044,C,2010,thomas robinson,88.1,48.5,46.93,17.2,23.0,0.485,7.7,1.7,0.271294,96.7849,7.1212,-4.04083,1.5962,2.5152,4,0.34610994,0.6,85.828,1.12428,58.7087,-2.44464,30.8315565031983,37.335979096598365,6.504422593400065
41046,C,2011,thomas robinson,108.9,60.1,58.75,19.1,30.7,0.601,4.9,1.7,1.80665,122.043,14.6061,3.17596,2.11141,7.6061,3,0.46515736,0.685,85.2061,2.32295,124.984,5.28736,30.8315565031983,51.89536236394197,21.06380586074367
41591,C,2017,tony bradley,123.3,56.4,58.21,18.2,19.0,0.564,4.6,1.0,2.2608,132.834,14.6053,5.13508,1.73424,7.0789,4,0.92004869,0.75,96.9021,1.96324,112.527,6.86932,49.52380952380954,55.18984577089654,5.666036247087
41653,C,2016,tony parker,104.3,53.9,53.56,14.0,20.3,0.539,4.0,1.4,2.43321,116.227,25.0625,1.86129,0.360192,12.5625,1,0.38885925,0.6195,102.009,2.84638,175.033,2.22148,29.39587775408671,23.493860233924394,-5.9020175201623175
41654,C,2015,tony parker,104.7,54.3,55.68,12.3,18.1,0.543,4.2,1.3,2.47283,116.5,24.6471,1.06111,0.290351,11.5294,2,0.23730768,0.6509,99.1878,2.77483,163.764,1.35146,29.39587775408671,24.32119512281443,-5.074682631272282
41655,C,2014,tony parker,107.6,60.2,58.37,12.5,17.4,0.602,4.4,1.3,1.38403,111.597,17.2432,-1.02865,-0.271557,6.8649,3,0.13884893,0.7339,99.8816,2.03963,123.23,-1.30021,29.39587775408671,29.83096752909205,0.43508977500533774
41656,C,2013,tony parker,96.7,54.1,52.49,6.5,13.8,0.541,4.1,0.6,0.339754,101.091,6.2727,-5.32275,0.145565,2.4242,4,0.1,0.5909,99.5436,0.653063,37.3391,-5.17719,29.39587775408671,29.641994340504937,0.24611658641822487
42641,C,2011,tristan thompson,107.4,54.6,53.65,13.9,13.6,0.546,7.2,1.8,3.18197,116.101,30.9444,4.0139,3.79762,13.0833,4,0.70311623,0.7239,88.6309,4.53819,237.951,7.81152,43.2409381663113,48.498092551566685,5.257154385255383
43258,C,2012,tyler zeller,121.2,55.3,61.56,14.1,20.2,0.553,5.3,1.7,4.62374,133.178,28.1579,6.60917,3.30406,16.3421,1,0.49315494,0.6794,88.5932,4.09334,257.763,9.91323,34.32835820895522,35.28384628561311,0.9554880766578862
43259,C,2011,tyler zeller,120.8,54.7,59.99,10.8,15.2,0.547,4.2,1.4,4.40524,131.536,28.1351,5.77187,3.0424,15.7027,2,0.45996741,0.7623,93.6054,3.87047,223.168,8.81427,34.32835820895522,35.994590813358855,1.666232604403632
43260,C,2010,tyler zeller,107.4,52.1,55.7,11.6,15.7,0.526,4.9,1.6,1.84544,116.623,17.3704,2.19765,1.48801,9.3333,3,0.20590804,0.7561,97.1863,2.04378,100.068,3.68566,34.32835820895522,35.10198853201834,0.7736303230631165
44055,C,2016,wesley johnson,115.6,57.7,60.34,7.9,11.5,0.577,1.7,1.7,0.371925,97.8338,10.92,-3.54606,0.0189026,1.92,3,0.62500002,0.6842,110.715,0.645593,47.3396,-3.52716,35.12437810945274,37.991881782753154,2.867503673300412
44056,C,2015,wesley johnson,92.2,41.7,41.83,7.6,10.9,0.417,4.4,0.5,-0.181135,77.5278,6.625,-5.25299,-0.407657,1.2917,4,0.399904,0.4,108.034,0.314466,17.4793,-5.66065,35.12437810945274,46.46415068421413,11.33977257476139
44357,C,2014,willie cauley stein,118.9,59.6,57.95,12.6,16.3,0.596,12.3,3.0,2.32829,116.807,23.7838,4.0976,7.03824,6.8108,3,0.80651705,0.7281,90.5407,3.5906,219.809,11.1358,45.35891968727791,50.81884664441513,5.45992695713722
44358,C,2015,willie cauley stein,115.8,57.2,58.79,11.1,17.3,0.572,7.1,2.9,2.78798,118.634,25.9487,5.07159,6.25944,8.9487,2,0.79168017,0.7518,79.0904,4.67976,235.411,11.331,45.35891968727791,41.552339349020286,-3.806580338257625
44359,C,2013,willie cauley stein,103.5,62.1,57.66,12.0,17.2,0.621,8.4,2.1,1.75236,106.872,23.5517,2.19092,3.18567,8.3448,4,0.56246979,0.8119,90.3763,3.11882,155.769,5.37659,45.35891968727791,44.91261009319709,-0.44630959408082305
44808,C,2017,zach collins,120.6,67.6,70.32,12.2,23.2,0.672,9.8,1.5,2.57928,130.93,17.2308,4.31375,5.66437,10.0,4,0.26668833,0.748,79.0742,3.09468,185.367,9.97812,23.340440653873497,58.80026749007558,35.45982683620208
