,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating,test_score,diff
32199,2012,mike muscala,117.8,29.9,51.4,60.16,11.9,25.4,15.0,14.2,0.855,185,360,0.514,7,20,0.35,6.5,1.0,61.6,4.79832,131.302,3.3,9.2,92.5932,30.3235,6.75485,1.80054,2.7059,6.5294,9.2353,1.8529,0.4706,1.6471,17.3824,1.21407,2,0.89999031,0.6604,0.398,91.4805,3.55184,223.959,7.3978,3.86678,3.53102,8.5554,37.58,33.11451180572563,-4.465488194274371
32258,2010,mike scott,104.5,24.9,51.1,53.45,9.8,21.6,11.4,15.2,0.719,140,276,0.507,3,7,0.429,1.1,1.4,22.6,2.95901,117.09,2.8,26.8,92.4721,27.4286,3.34545,0.538932,2.2857,4.8929,7.1786,1.25,0.6071,0.2857,11.9643,0.575595,2,0.76084972,0.6957,0.3727,97.7203,3.21047,140.776,2.55812,1.20838,1.34975,3.88438,25.0,28.72118866670003,3.72118866670003
32428,2011,miles plumlee,107.2,16.4,51.8,53.45,14.3,17.2,3.5,19.3,0.593,72,139,0.518,0,0,0.0,2.4,2.0,38.8,1.22401,107.044,5.6,89.8,85.4979,16.973,0.3459,2.14304,2.0811,2.8108,4.8919,0.3514,0.5946,0.4595,4.7568,0.0,2,0.37149802,0.6429,0.3273,89.9131,2.44002,136.535,4.21001,1.50016,2.70984,2.48894,28.89,29.247388307580835,0.35738830758083395
32684,2016,monte morris,122.1,19.9,53.6,56.07,2.4,8.9,28.9,12.1,0.729,150,280,0.536,38,106,0.358,0.7,2.6,24.9,5.48408,129.925,1.7,83.6,99.5178,38.0286,4.74733,1.77352,0.7429,3.2,3.9429,6.8857,1.7714,0.2571,13.8286,4.46377,2,4.22798736,0.5857,0.4857,105.007,3.84367,239.295,7.36575,6.30426,1.0615,6.52085,38.18,42.43547262416628,4.255472624166281
32713,2015,montrezl harrell,113.7,22.6,57.8,58.81,10.0,19.1,9.2,15.1,0.597,204,339,0.602,9,37,0.243,3.7,1.6,50.8,4.44348,124.102,2.4,84.0,83.8085,35.1143,5.41646,3.16934,3.1714,6.0,9.1714,1.4,0.9429,1.2,15.6857,1.81952,2,0.7101552,0.7789,0.3784,89.4932,5.27412,244.458,7.45216,3.50642,3.94574,8.58579,55.19,33.489495756360114,-21.700504243639884
32743,2018,moritz wagner,114.8,24.6,60.3,61.76,6.5,25.0,6.7,13.1,0.698,150,245,0.612,62,158,0.392,2.0,2.2,26.3,3.78162,127.327,4.5,76.4,85.1106,27.641,5.04275,3.27625,1.4615,5.6667,7.1282,0.8462,0.9744,0.5128,14.6154,9.10871,2,0.58931681,0.7241,0.3333,91.4329,4.24166,227.579,6.97039,3.51536,3.45504,8.319,33.26,40.079885253239766,6.819885253239768
33968,2011,nikola vucevic,115.9,25.1,53.9,57.8,9.8,25.6,11.0,12.1,0.755,186,343,0.542,29,83,0.349,4.4,0.9,38.3,5.02313,127.878,3.2,44.0,88.3293,34.9118,6.33822,2.48314,2.8529,7.4412,10.2941,1.5882,0.5294,1.3824,17.1176,4.32851,2,0.93100417,0.7029,0.4341,93.3056,4.65874,244.636,8.27907,4.1751,4.10397,8.82136,47.37,35.71139252036751,-11.658607479632487
34167,2014,norman powell,119.5,19.2,56.8,61.08,3.0,9.6,11.8,11.8,0.78,133,219,0.607,20,68,0.294,1.8,3.1,42.9,3.08126,123.054,3.6,89.6,96.2664,25.7297,3.12089,2.46447,0.6486,2.1892,2.8378,1.7027,1.3784,0.3784,11.4054,4.06827,2,1.65793583,0.726,0.375,100.826,2.96353,176.831,5.97023,3.98319,1.98704,5.58536,33.45,38.38859910921833,4.93859910921833
34721,2014,pat connaughton,123.8,17.8,56.3,58.9,3.9,19.6,15.6,10.3,0.833,79,142,0.556,76,201,0.378,1.7,1.7,19.2,4.60474,124.691,1.9,80.8,101.654,37.1875,6.18144,1.27107,1.1875,5.9062,7.0938,2.9688,1.0312,0.5625,13.7812,10.542,2,2.71420754,0.6389,0.4789,106.57,3.54768,208.939,7.04849,5.40792,1.64056,7.4525,42.13,42.329712969215464,0.19971296921546156
34839,2010,patrick patterson,129.5,17.2,60.7,62.42,10.6,13.4,5.5,10.7,0.692,191,305,0.626,24,69,0.348,4.1,1.2,34.8,4.93367,129.198,1.9,98.2,89.5707,33.0263,6.23586,2.5092,3.0526,4.3947,7.4474,0.9474,0.7105,1.3421,14.3158,3.09222,2,0.87811659,0.8242,0.3937,94.0703,4.19133,233.26,9.11359,5.81768,3.29592,8.74506,35.0,28.322653821925044,-6.677346178074956
35594,2011,quincy acy,109.3,21.2,53.4,57.67,11.3,18.2,6.0,18.5,0.686,134,249,0.538,0,2,0.0,5.5,1.8,62.2,3.03994,114.488,3.3,60.8,91.7151,31.1667,2.41335,1.7928,2.8,4.8333,7.6333,0.8667,0.9333,1.5,12.5,0.12646,2,0.4193642,0.7414,0.3609,93.5673,3.79231,193.507,4.43228,1.5242,2.90808,4.20615,31.31,30.535229230613325,-0.7747707693866737
35639,2014,quinn cook,120.2,20.7,53.5,57.11,1.5,7.5,27.7,16.1,0.827,72,142,0.507,65,175,0.371,0.1,2.8,25.6,4.09676,128.107,2.5,93.6,99.414,29.7714,5.42529,1.37231,0.3714,1.8,2.1714,4.3714,1.3429,0.0286,11.6,10.1886,2,2.68414582,0.6463,0.3167,104.853,3.11592,157.19,7.05535,6.67272,0.382629,6.7976,14.57,39.59313314398692,25.023133143986918
36159,2013,ray mccallum,116.4,24.4,52.4,56.57,4.0,13.3,23.5,12.8,0.715,158,290,0.545,39,123,0.317,1.7,3.0,46.7,5.20097,125.439,2.2,95.0,101.013,37.2903,6.07031,0.999121,1.3226,3.8387,5.1613,4.4516,1.9677,0.5806,18.4194,6.09953,2,2.19042468,0.663,0.3365,101.748,3.22081,222.896,6.27909,5.70333,0.575761,7.06943,26.46,35.352865924150095,8.892865924150094
36313,2013,reggie bullock,126.5,18.2,59.8,61.7,6.6,15.8,16.2,12.3,0.767,80,149,0.537,85,198,0.429,0.9,2.2,21.0,4.78008,128.974,1.9,97.2,92.1141,31.6176,8.0144,2.48029,2.0294,4.5294,6.5588,2.7941,1.2353,0.2941,13.8529,10.2971,2,2.20929859,0.68,0.4694,96.5996,3.69359,214.266,10.8455,7.95074,2.89476,10.4947,36.92,33.374095757631,-3.545904242369005
36342,2011,reggie jackson,120.5,27.2,58.5,61.79,3.9,11.3,29.7,16.0,0.796,148,266,0.556,71,169,0.42,1.7,1.9,31.5,6.04835,137.307,2.0,82.4,103.775,34.1471,8.68046,0.679261,1.0294,3.2647,4.2941,4.4706,1.0588,0.5294,18.1765,9.07322,2,1.87651111,0.66,0.4224,108.416,2.74324,187.742,7.80425,7.60689,0.197362,9.35972,43.82,37.006594783299946,-6.813405216700055
36954,2010,robbie hummel,123.3,23.4,52.9,59.75,6.3,20.5,15.2,8.7,0.902,92,178,0.517,43,118,0.364,3.6,2.1,41.2,4.99469,133.291,2.8,88.4,83.6613,30.2593,8.71893,4.04056,1.6296,5.2963,6.9259,2.0741,1.0741,1.037,15.6667,8.62759,2,2.00009656,0.6957,0.4903,88.1727,4.49855,178.647,11.9577,6.96378,4.99392,12.7595,34.09,35.570703901606024,1.4807039016060202
37073,2011,robert sacre,110.7,25.0,49.1,58.39,12.0,16.8,8.5,19.5,0.825,135,274,0.493,0,1,0.0,8.0,1.7,68.7,2.95552,119.113,4.2,65.2,89.4159,26.1176,2.58715,2.72336,2.5,3.9412,6.4412,1.1176,0.7647,1.8529,12.5294,0.0658215,2,0.51348492,0.6545,0.3841,92.7907,3.37475,195.015,6.54251,1.28283,5.25968,5.31051,21.93,36.42438137056247,14.494381370562472
37239,2012,rodney mcgruder,118.6,21.6,52.5,56.42,8.0,10.6,9.7,12.6,0.802,138,276,0.5,50,130,0.385,0.9,2.1,29.8,4.5351,125.903,2.3,79.0,91.7663,32.8788,6.48142,1.59139,2.2727,2.9697,5.2424,1.3939,1.1515,0.2727,15.8485,7.10537,2,0.91994457,0.7065,0.3967,96.1208,3.90115,191.063,7.01549,5.39007,1.62542,8.07281,23.78,29.60888729770609,5.828887297706089
37669,2014,ryan anderson,110.2,26.8,49.7,57.03,10.3,18.6,11.1,15.2,0.75,140,279,0.502,4,15,0.267,2.1,1.6,70.7,4.04074,126.08,2.6,73.4,107.634,31.4516,3.70943,-1.3593,2.4194,4.6452,7.0645,1.3871,0.8065,0.6452,14.4516,0.985998,2,0.69354999,0.6266,0.3333,113.018,2.35891,163.89,1.76494,2.24158,-0.47664,2.35013,46.01,36.687296302895405,-9.322703697104593
37807,2012,ryan kelly,119.8,21.5,52.7,59.67,8.2,15.3,8.6,14.5,0.807,67,143,0.469,40,98,0.408,3.5,1.7,58.1,3.77769,128.068,3.5,97.0,92.7318,25.9032,5.76087,1.98616,1.8065,3.5806,5.3871,1.129,0.7742,1.0,11.8387,7.10468,2,0.81392831,0.6364,0.3247,98.1095,2.99745,155.652,7.59892,5.2399,2.35901,7.74703,24.76,31.477166644785896,6.717166644785895
38109,2015,sam dekker,125.8,22.4,58.6,60.48,8.4,14.8,8.6,8.7,0.708,163,255,0.639,50,151,0.331,1.5,1.1,27.8,5.38639,137.801,1.4,97.8,92.4654,30.975,8.23919,1.21532,1.925,3.575,5.5,1.225,0.525,0.45,13.9,8.18515,2,1.36111117,0.7528,0.3718,98.6443,3.73184,191.916,9.19569,8.08795,1.10774,9.45451,23.15,33.60101678422593,10.451016784225935
38605,2013,sean kilpatrick,108.5,25.1,48.2,51.81,4.3,12.5,13.2,14.0,0.738,112,221,0.507,82,267,0.307,0.7,2.2,29.7,4.24702,121.235,1.4,32.0,88.7645,34.3824,5.74919,1.65779,1.3529,3.8529,5.2059,1.8529,1.2353,0.2353,16.9706,14.0237,2,0.94027201,0.6737,0.381,92.3034,4.38263,200.036,5.40933,4.33127,1.07806,7.40697,8.65,24.954678875358653,16.304678875358654
38733,2017,semi ojeleye,127.5,24.5,57.2,62.15,8.4,15.0,9.3,10.7,0.785,137,259,0.529,73,172,0.424,1.6,0.8,50.8,6.14099,139.625,2.1,94.8,95.2416,34.1429,7.8568,0.587465,2.2857,4.5714,6.8571,1.5143,0.4286,0.4,19.0,9.00412,2,1.05998883,0.6364,0.424,97.0548,3.99167,200.323,6.64165,6.59566,0.0459893,8.44427,28.92,26.72372770626039,-2.196272293739611
38762,2012,seth curry,113.0,21.7,51.5,57.26,3.0,6.8,16.2,18.0,0.873,77,169,0.456,64,167,0.383,0.6,2.5,35.1,3.69796,121.276,2.8,41.8,96.4137,30.1765,4.57153,1.49202,0.7647,1.8529,2.6176,2.4412,1.2647,0.2059,13.2059,9.4722,2,1.20291706,0.6604,0.3621,101.938,3.11168,167.205,5.70476,4.8465,0.858257,6.06355,39.62,34.711741259868134,-4.908258740131863
38812,2013,shabazz napier,115.3,24.2,54.4,59.84,1.7,11.6,27.9,16.3,0.819,78,160,0.487,68,171,0.398,0.3,3.3,43.5,5.27609,127.703,2.2,83.8,92.6125,37.25,6.16223,2.4423,0.5,3.8929,4.3929,4.6071,2.0,0.1071,17.0714,10.1011,2,1.92532075,0.6571,0.3516,96.6926,4.13694,190.602,8.40699,6.88986,1.51713,8.60453,43.45,40.0453844993835,-3.404615500616501
38827,2018,shake milton,119.8,24.7,55.1,60.6,2.1,13.5,25.9,15.7,0.847,67,145,0.462,56,129,0.434,2.3,2.4,40.5,5.11587,128.342,1.9,82.2,99.3025,36.3636,5.87966,1.65826,0.6364,4.0455,4.6818,4.3636,1.4091,0.6364,18.0,10.011,2,1.92000688,0.4844,0.4444,99.4079,3.8038,144.126,5.67384,4.45827,1.21557,7.53792,29.83,31.692274690395564,1.8622746903955658
39234,2011,shelvin mack,107.1,27.9,49.0,53.25,2.7,14.3,25.1,16.9,0.769,107,237,0.451,85,242,0.351,0.3,1.4,32.6,3.83872,121.094,2.2,41.4,96.6054,32.1892,5.59095,0.744108,0.7297,3.7568,4.4865,3.4865,0.7297,0.0811,15.9189,12.5489,2,1.41756451,0.6211,0.338,100.157,3.34166,195.04,5.48578,4.54418,0.941604,6.33506,32.68,31.801386740314186,-0.8786132596858138
39471,2012,solomon hill,110.6,22.4,56.1,60.09,8.3,19.1,18.6,20.7,0.724,114,207,0.551,37,95,0.389,1.6,1.9,51.7,3.45649,116.664,3.2,91.8,90.1364,32.4,3.84051,2.38114,2.1714,5.5714,7.7429,2.6,1.0286,0.5143,12.9143,5.14117,2,1.05815799,0.7281,0.3333,92.765,4.04239,228.927,6.42309,3.41547,3.00762,6.22165,34.07,35.87032733993779,1.8003273399377875
39514,2014,spencer dinwiddie,129.4,21.5,56.5,66.66,1.8,9.6,26.3,15.6,0.857,35,68,0.515,26,63,0.413,0.8,2.9,90.8,4.90165,134.038,2.4,73.8,96.9882,31.1176,5.52197,3.62353,0.4706,2.5882,3.0588,3.7647,1.5294,0.2353,14.7059,7.073,2,2.13333701,0.5682,0.4348,100.765,3.50461,96.5382,8.95779,7.04213,1.91566,9.1455,48.81,39.902378756924875,-8.907621243075127
39816,2016,sterling brown,120.4,17.7,68.5,71.59,5.9,12.3,16.4,27.6,0.857,79,125,0.632,30,56,0.536,1.9,2.4,34.8,3.08999,120.262,4.4,78.4,94.7209,27.5333,3.44681,2.95146,1.3,3.1,4.4,2.6333,1.1,0.4333,10.0667,4.08356,2,1.1791072,0.716,0.4773,95.8801,3.27099,156.072,6.78528,4.19769,2.58759,6.39827,28.37,23.642500361042906,-4.727499638957095
40343,2013,tarik black,100.7,19.9,58.9,56.06,10.1,16.0,4.1,18.6,0.448,103,175,0.589,0,0,0.0,3.1,1.9,66.3,1.17466,101.711,6.3,87.8,89.6753,20.7188,-1.3024,1.494,1.7812,3.0312,4.8125,0.4375,0.6875,0.625,8.0625,0.0,2,0.32556929,0.6612,0.4259,92.8247,2.58442,131.103,0.603597,-0.635409,1.23901,0.191601,27.38,27.083703794255555,-0.2962962057444436
40418,2015,taurean prince,110.1,26.1,55.8,57.25,8.1,16.3,11.6,18.9,0.643,103,196,0.526,59,147,0.401,3.9,3.5,28.6,3.49431,125.807,3.3,62.6,86.646,26.303,7.6071,3.55238,1.8182,3.7576,5.5758,1.2727,1.4242,0.8788,13.9091,11.0406,2,0.62685318,0.6698,0.3488,91.3623,3.70557,173.764,9.71707,5.46339,4.25369,11.1595,33.63,33.3638524825446,-0.26614751745540133
40655,2018,terence davis,99.7,26.9,48.3,51.2,5.5,19.0,16.4,17.3,0.723,98,200,0.49,59,186,0.317,3.6,1.9,24.4,2.41884,113.719,4.3,66.0,100.477,27.3125,2.9435,0.393805,1.4688,4.7188,6.1875,2.0938,0.9062,0.875,13.7812,12.0493,2,0.93057781,0.6098,0.2987,105.708,2.70345,180.438,3.30677,1.9924,1.31437,3.33731,50.1,37.25594985143921,-12.84405014856079
41072,2012,thomas robinson,106.7,29.4,51.2,54.87,11.1,30.7,13.1,16.8,0.682,254,503,0.505,7,14,0.5,2.9,2.0,46.2,4.42882,125.972,3.5,94.6,78.9353,31.7949,4.77229,2.79446,2.8974,8.9744,11.8718,1.8462,1.0769,0.8718,17.7436,0.665341,2,0.69231637,0.645,0.3493,84.1211,5.21431,313.096,6.34106,2.2429,4.09816,7.56676,28.15,42.03393321090785,13.883933210907848
41162,2012,tim frazier,104.2,32.7,44.6,50.8,4.1,12.0,45.3,19.0,0.791,181,411,0.44,27,86,0.314,0.9,4.0,40.4,5.00504,124.553,3.2,66.2,94.3102,37.125,5.11037,3.05301,1.375,3.3125,4.6875,6.1875,2.375,0.2188,18.8125,4.56052,2,1.69233087,0.5215,0.3871,100.901,4.12732,227.142,8.26079,5.67174,2.58905,8.16337,31.81,55.917515475674875,24.107515475674877
41169,2013,tim hardaway jr,104.9,22.3,50.4,52.71,0.8,14.5,12.9,15.0,0.695,125,260,0.481,68,190,0.358,1.4,1.2,23.3,3.56531,114.944,2.2,68.0,93.4428,34.9459,3.15549,1.15365,0.2162,4.2973,4.5135,2.4324,0.6757,0.4595,14.2432,9.19968,2,1.30430586,0.7412,0.3543,99.6,3.8968,214.122,4.53743,3.20031,1.33712,4.30914,40.04,30.326585160707467,-9.713414839292533
41371,2014,tj mcconnell,111.6,17.1,51.8,52.84,1.9,10.9,30.4,19.9,0.62,91,180,0.506,36,100,0.36,0.7,3.3,17.9,2.66198,112.42,2.7,30.6,85.381,32.2368,2.12246,5.16911,0.5,3.0789,3.5789,5.3158,1.6842,0.2105,8.4474,5.06481,2,3.01485938,0.6552,0.438,89.9376,4.8914,230.673,8.1427,3.60115,4.54156,7.29157,44.05,38.697275357227184,-5.352724642772813
41682,2015,tony parker,104.7,24.6,54.3,55.68,12.3,18.1,3.6,16.9,0.575,150,276,0.543,0,0,0.0,4.2,1.3,58.0,2.47283,116.5,5.6,95.4,94.7195,24.6471,1.06111,0.290351,2.7353,4.0,6.7353,0.4118,0.5588,0.9118,11.5294,0.0,2,0.23730768,0.6509,0.3738,99.1878,2.77483,163.764,1.29467,0.75454,0.540125,1.35146,30.6,32.5543542553723,1.9543542553723015
41694,2013,tony snell,105.0,22.0,51.6,56.23,1.6,8.1,22.4,18.5,0.843,80,177,0.452,64,164,0.39,1.9,1.6,29.9,2.92387,112.42,1.7,19.6,93.548,31.2286,3.9188,1.59595,0.4,2.2286,2.6286,2.8857,0.8286,0.4857,12.5143,9.27022,2,1.40280001,0.5536,0.405,97.3769,3.48131,174.245,4.17125,2.93837,1.23289,5.51475,27.28,34.750421756028075,7.470421756028074
42291,2014,treveon graham,111.2,26.7,50.6,54.38,7.0,21.2,15.3,13.5,0.694,127,251,0.506,58,172,0.337,0.7,1.8,42.6,3.53051,124.83,3.4,21.2,89.4938,28.2571,6.00322,1.91621,1.9714,5.0286,7.0,2.0,0.9143,0.1714,15.8,9.8286,2,1.11111114,0.6466,0.3852,92.28,3.88519,191.51,5.92498,4.06135,1.86363,7.91944,21.31,29.61874240464472,8.308742404644722
42669,2010,tristan thompson,113.5,22.5,52.0,58.69,3.0,9.1,12.9,15.8,0.828,79,175,0.451,58,144,0.403,0.2,1.4,49.2,3.03275,114.431,2.8,45.6,105.175,30.9355,3.34008,-0.290638,0.7419,2.5484,3.2903,1.7742,0.7419,0.0645,14.9032,8.64235,2,0.93221939,0.5556,0.3617,103.029,2.25328,156.205,1.58427,2.86634,-1.28207,3.04944,36.83,27.30473235420591,-9.525267645794088
42708,2012,troy daniels,111.6,19.1,53.2,55.84,4.0,12.4,4.3,13.1,0.843,18,52,0.346,94,247,0.381,0.3,3.0,17.1,2.24563,112.389,2.7,60.4,93.0803,24.4167,4.44255,1.1741,0.8889,2.4167,3.3056,0.4722,1.1944,0.0556,10.0278,17.1802,2,0.47220001,0.3333,0.3438,92.7424,2.79925,154.735,4.09167,3.48823,0.603437,5.61665,27.51,28.128792173892137,0.6187921738921354
43064,2013,tyler johnson,107.1,22.7,50.0,52.99,4.1,12.2,19.2,12.8,0.729,87,185,0.47,30,79,0.38,0.6,1.8,26.5,2.93545,114.096,3.8,29.4,95.8071,29.5926,3.47992,1.33662,1.0741,2.963,4.037,1.9259,0.8148,0.1481,11.6667,6.40614,2,1.4444611,0.6042,0.4234,100.257,3.06217,121.907,5.04119,3.59666,1.44453,4.81655,34.92,33.70494053817761,-1.215059461822392
43287,2011,tyler zeller,120.8,22.8,54.7,59.99,10.8,15.2,4.4,11.5,0.763,210,384,0.547,0,0,0.0,4.2,1.4,54.9,4.40524,131.536,3.8,97.0,87.1484,28.1351,5.77187,3.0424,2.8919,4.3514,7.2432,0.6216,0.7297,1.2162,15.7027,0.0,2,0.45996741,0.7623,0.4466,93.6054,3.87047,223.168,8.04261,4.69588,3.34673,8.81427,32.11,34.09712090112676,1.987120901126758
43731,2013,victor oladipo,122.7,22.6,64.8,67.12,11.7,14.0,15.2,21.1,0.746,152,236,0.644,30,68,0.441,2.8,4.6,42.8,4.76925,134.043,3.5,73.0,81.39,28.3611,8.76043,5.58813,2.5833,3.75,6.3333,2.0556,2.1667,0.7778,13.6389,3.95201,2,0.90244967,0.6978,0.463,85.8364,4.35053,246.196,15.2772,8.79828,6.47896,14.3486,51.27,41.1576215486502,-10.112378451349805
44385,2015,willie cauley stein,115.8,18.3,57.2,58.79,11.1,17.3,7.4,16.2,0.617,135,236,0.572,0,0,0.0,7.1,2.9,54.2,2.78798,118.634,3.1,91.6,74.9298,25.9487,5.07159,6.25944,2.2821,4.1538,6.4359,0.9744,1.2051,1.7179,8.9487,0.0,2,0.79168017,0.7518,0.3125,79.0904,4.67976,235.411,12.7451,4.42742,8.31771,11.331,38.29,33.80273871626646,-4.487261283733538
