,pos,year,player_name,Ortg,eFG,TS_per,twoPM,porpag,adjoe,adrtg,ogbpm,ast,pts,ast/tov,rimmade/(rimmade+rimmiss),gbpm,score,test_score,diff
23813,Wing G,2013,josh richardson,101.2,49.1,52.61,90,1.4916,99.4603,95.5386,0.775931,1.5455,7.9091,0.92728148,0.6176,3.40858,51.08742004264393,44.880897625059205,-6.206522417584722
24407,Wing G,2013,justin anderson,106.3,46.7,52.31,69,2.13559,110.949,87.2959,2.98188,2.3143,7.6,1.88368876,0.5802,6.84686,34.37100213219617,52.514464370343916,18.143462238147748
24408,Wing G,2015,justin anderson,120.5,57.2,60.97,56,3.97668,128.925,84.0094,7.23767,1.7308,12.1923,1.45164815,0.6667,11.5827,34.37100213219617,46.53450962545318,12.163507493257015
24597,Wing G,2011,justin holiday,116.9,54.4,56.62,91,3.08697,117.969,92.3493,4.47741,2.1429,10.4857,1.44235039,0.6628,7.22538,52.36673773987208,46.07572874528715,-6.291008994584928
24845,Wing G,2015,justise winslow,112.2,55.1,57.2,127,3.46074,121.863,85.5702,4.83748,2.1026,12.6154,1.15495747,0.6871,9.03031,42.10376687988629,44.06221906862065,1.9584521887343627
26092,Wing G,2012,kent bazemore,97.7,46.3,49.5,135,2.57596,109.762,88.9042,3.50944,3.0571,15.3714,0.95534375,0.6198,6.52298,47.57640369580668,45.84240574931044,-1.7339979464962454
26096,Wing G,2013,kentavious caldwell pope,112.7,53.0,57.91,102,4.93099,127.771,87.0285,8.44938,1.8125,18.4688,0.90625,0.6702,12.3303,54.79744136460555,45.64754876834777,-9.149892596257779
26097,Wing G,2012,kentavious caldwell pope,104.0,48.0,49.94,87,3.08951,113.741,93.0422,4.5191,1.2188,13.1875,1.08337773,0.6047,6.7168,54.79744136460555,39.82462081968983,-14.97282054491572
26363,Wing G,2017,kevin huerter,110.7,54.3,55.37,42,2.31176,110.273,95.2064,4.21576,2.6667,9.303,1.91312133,0.6279,6.91284,56.37526652452026,46.131976271016875,-10.243290253503389
26364,Wing G,2018,kevin huerter,116.3,61.1,63.6,87,4.34565,124.433,97.7407,5.57339,3.375,14.75,1.35,0.7105,7.10227,56.37526652452026,49.864995208251514,-6.510271316268749
26714,Wing G,2011,khris middleton,107.6,50.9,56.1,117,3.60291,121.486,92.3172,5.84468,2.8125,14.4062,1.02272727,0.6087,7.70541,71.11584932480456,50.190021578170246,-20.92582774663431
26944,Wing G,2010,klay thompson,102.3,48.7,53.73,118,3.82694,117.516,100.12,3.88801,2.2,19.4667,0.64078293,0.6118,3.70424,68.45771144278608,44.59443852112999,-23.86327292165609
27293,Wing G,2014,kyle anderson,114.6,52.8,55.34,40,1.9469,104.516,109.286,1.16159,0.9143,10.9714,1.10342751,0.5238,0.534981,53.61762615493959,39.460620921098354,-14.15700523384124
27294,Wing G,2013,kyle anderson,104.6,48.7,51.63,35,1.31779,96.8634,106.592,0.615714,1.0909,9.0909,0.85715407,0.5,-0.0751056,53.61762615493959,40.75852111193202,-12.859105043007574
27295,Wing G,2012,kyle anderson,102.0,50.6,51.31,29,1.05713,95.853,106.65,0.561073,0.7742,8.9032,0.72728985,0.75,-0.53246,53.61762615493959,37.87633648417587,-15.74128967076372
27296,Wing G,2015,kyle anderson,95.9,45.7,48.88,62,1.35938,98.9945,110.302,0.00558164,2.0,14.4348,1.02223355,0.614,-1.97716,53.61762615493959,41.89979338458255,-11.717832770357042
27783,Wing G,2010,lance stephenson,99.3,46.2,49.35,146,2.43413,110.932,93.3915,2.87922,2.4706,12.3235,1.03702143,0.6556,4.56471,22.629708599857857,46.16552050921556,23.535811909357705
27835,Wing G,2014,langston galloway,125.3,57.0,60.99,82,5.34162,130.983,100.79,6.17963,1.5588,17.7059,1.8928962,0.5882,7.54495,44.17910447761194,45.20007334050133,1.02096886288939
27838,Wing G,2012,langston galloway,125.2,60.9,63.16,92,4.95025,126.355,99.322,5.46516,2.2353,15.5,1.85363641,0.6818,6.26152,44.17910447761194,46.45766727681407,2.2785627992021276
28812,Wing G,2017,luke kennard,127.3,57.9,62.91,149,6.41199,139.823,96.1443,8.06344,2.4595,19.5135,1.54239316,0.6322,9.39706,38.60696517412936,50.086923365430266,11.47995819130091
28813,Wing G,2016,luke kennard,120.7,50.3,55.62,86,3.55767,126.594,99.0448,3.91087,1.5,11.8056,1.92851627,0.6761,4.67815,38.60696517412936,49.47800705931262,10.87104188518326
29110,Wing G,2014,malcolm brogdon,114.1,47.4,54.47,106,3.87694,123.975,85.6908,4.38505,2.7297,12.7027,1.90568285,0.5841,8.68582,68.40085287846482,55.314070426260486,-13.086782452204332
29111,Wing G,2015,malcolm brogdon,110.4,48.1,54.5,114,3.89039,122.124,85.3815,3.84808,2.3824,14.0,1.39656492,0.619,7.4535,68.40085287846482,51.76820600214966,-16.632646876315157
29113,Wing G,2012,malcolm brogdon,93.1,46.5,51.44,41,0.793795,95.9328,89.5082,-0.663274,1.3571,6.7143,0.86362477,0.5469,1.12833,68.40085287846482,45.164192431638185,-23.236660446826633
29216,Wing G,2016,malik beasley,114.9,54.1,58.29,130,3.71706,123.97,98.7372,4.89748,1.5,15.5588,0.86440388,0.6744,5.34693,39.75835110163469,43.74550429694451,3.9871531953098227
29817,Wing G,2012,marcus thornton,83.3,42.3,46.81,78,0.475812,90.612,113.874,-2.38077,1.2903,11.0,0.50631771,0.4353,-6.5125,39.8862828713575,40.385075976520724,0.49879310516322306
30603,Wing G,2016,matisse thybulle,101.5,49.2,52.16,37,0.676045,96.147,97.9551,-0.0887294,1.5882,6.2059,1.14887148,0.5294,2.45214,63.11300639658849,43.573411655006005,-19.539594741582484
31949,Wing G,2017,mikal bridges,128.5,64.4,67.6,84,3.95743,126.055,87.6812,5.11735,1.9722,9.75,1.5434341,0.8,10.1997,72.77896233120114,49.45131628562487,-23.327646045576273
31950,Wing G,2016,mikal bridges,125.2,59.1,63.3,63,2.36518,121.561,86.6959,3.52478,0.875,6.35,1.45833328,0.8143,8.53264,72.77896233120114,47.176565392215466,-25.602396938985677
31951,Wing G,2018,mikal bridges,130.1,62.3,65.53,140,5.85717,140.752,91.1493,8.46374,1.925,17.65,1.42592587,0.677,12.0123,72.77896233120114,45.43727727762507,-27.34168505357607
33783,Wing G,2018,nickeil alexander walker,105.3,55.4,57.53,66,1.94488,110.068,97.6823,2.70234,1.4848,10.6667,0.94225158,0.5922,4.17913,28.18763326226013,40.25246423439123,12.064830972131102
33887,Wing G,2013,nik stauskas,121.9,59.6,63.05,58,3.955,122.565,95.9965,5.31687,1.3684,11.1316,1.18179463,0.6667,6.32081,21.080312722103773,45.78880064045984,24.708487918356067
34138,Wing G,2015,norman powell,104.9,49.7,53.99,175,3.40922,116.026,94.5606,2.76967,2.0833,16.4167,0.93749446,0.6083,5.46561,40.32693674484719,44.43937660205215,4.112439857204961
34139,Wing G,2013,norman powell,96.1,50.8,52.74,52,0.599056,93.1733,96.3437,-0.890556,1.0571,6.0571,0.97365757,0.6897,0.582363,40.32693674484719,41.1132204538403,0.7862837089931105
34140,Wing G,2014,norman powell,119.5,56.8,61.08,133,3.08126,123.054,96.2664,3.12089,1.7027,11.4054,1.65793583,0.726,5.58536,40.32693674484719,47.551682734248764,7.224745989401576
34141,Wing G,2012,norman powell,96.8,45.6,46.58,32,0.50024,93.8512,97.1725,-0.34388,1.1562,4.5312,1.60851424,0.5135,0.551865,40.32693674484719,40.34496577995196,0.018029035104774493
34693,Wing G,2013,pat connaughton,118.6,56.3,57.88,51,3.12815,114.144,97.364,3.7499,2.1429,8.8571,2.41944227,0.7143,5.2687,50.85998578535893,48.1736286918176,-2.686357093541332
34694,Wing G,2014,pat connaughton,123.8,56.3,58.9,79,4.60474,124.691,101.654,6.18144,2.9688,13.7812,2.71420754,0.6389,7.4525,50.85998578535893,51.341926732143875,0.48194094678494537
34695,Wing G,2012,pat connaughton,110.0,52.5,54.67,44,1.76785,107.136,94.7319,2.39116,0.8824,7.0294,1.25003536,0.6852,3.47187,50.85998578535893,42.1477872338039,-8.712198551555026
36285,Wing G,2013,reggie bullock,126.5,59.8,61.7,80,4.78008,128.974,92.1141,8.0144,2.7941,13.8529,2.20929859,0.68,10.4947,43.38308457711444,48.95031849369373,5.567233916579291
36287,Wing G,2011,reggie bullock,103.4,45.3,46.13,33,1.09602,108.017,88.1859,2.75804,0.5926,6.1481,1.23073725,0.4545,5.40431,43.38308457711444,36.21623953231328,-7.166845044801157
37210,Wing G,2010,rodney mcgruder,126.0,59.1,61.03,28,1.46629,120.59,90.7629,6.1391,0.5152,3.8788,1.13355342,0.7391,8.19751,29.22530206112296,41.761133150850995,12.535831089728035
37211,Wing G,2011,rodney mcgruder,117.8,55.1,56.97,58,3.22425,116.531,93.1356,4.94318,1.5758,10.9394,1.10644564,0.6111,6.37884,29.22530206112296,42.68507876561094,13.459776704487979
37212,Wing G,2012,rodney mcgruder,118.6,52.5,56.42,138,4.5351,125.903,91.7663,6.48142,1.3939,15.8485,0.91994457,0.7065,8.07281,29.22530206112296,44.530217798395974,15.304915737273014
37213,Wing G,2013,rodney mcgruder,110.9,49.7,52.68,150,4.15129,120.584,94.0363,6.02826,2.0294,15.7647,1.18963607,0.5983,6.86423,29.22530206112296,44.27491527191374,15.049613210790781
37541,Wing G,2015,royce o'neale,123.1,55.9,59.72,59,4.17945,125.155,91.7623,5.92689,3.4242,10.0909,2.05447894,0.6023,9.14124,64.42075337597727,55.311908633946445,-9.108844742030826
37542,Wing G,2014,royce o'neale,115.6,58.6,59.47,60,2.44994,114.287,98.331,3.73308,2.8333,7.0278,1.75861224,0.641,6.09475,64.42075337597727,47.91581461539184,-16.504938760585432
37543,Wing G,2012,royce o'neale,111.6,58.9,65.09,69,2.56786,113.44,92.7187,2.84213,2.129,9.9355,1.0,0.6897,4.75967,64.42075337597727,51.185495837602645,-13.235257538374626
37544,Wing G,2013,royce o'neale,105.4,51.6,56.86,75,2.67984,107.22,92.4043,1.68453,3.4688,11.1562,1.50002165,0.5678,3.03064,64.42075337597727,53.93969052209565,-10.481062853881618
37644,Wing G,2010,ryan anderson,108.7,55.8,58.91,63,2.87701,115.676,92.0187,4.75286,2.1935,11.3226,1.17236771,0.7647,7.74597,56.38948116560057,47.146767979743586,-9.242713185856985
38081,Wing G,2013,sam dekker,116.7,57.9,59.67,68,3.06724,125.475,85.5384,6.8034,1.3429,9.5714,1.27036228,0.7105,10.423,23.681592039801,42.46464595471082,18.783053914909818
38577,Wing G,2011,sean kilpatrick,113.2,52.5,55.8,68,2.58393,122.589,91.4846,5.67783,1.4857,9.6857,1.20926256,0.6375,7.24341,2.899786780383798,44.390125424177455,41.490338643793656
38578,Wing G,2013,sean kilpatrick,108.5,48.2,51.81,112,4.24702,121.235,88.7645,5.74919,1.8529,16.9706,0.94027201,0.6737,7.40697,2.899786780383798,44.233174552554416,41.33338777217062
39443,Wing G,2013,solomon hill,113.7,54.1,57.94,101,4.10206,121.227,91.6638,5.44116,2.7143,13.3714,1.23377266,0.6463,7.56824,39.317697228145,49.84190605715108,10.524208829006078
39445,Wing G,2010,solomon hill,97.2,50.3,55.04,70,1.07081,98.2041,98.5153,-0.462597,1.6774,6.6774,0.82537027,0.6714,0.155969,39.317697228145,47.754703601903636,8.437006373758635
39488,Wing G,2012,spencer dinwiddie,110.6,49.6,57.39,52,2.58132,112.621,95.9274,2.34027,1.6176,10.0294,1.17013883,0.4848,4.09537,60.41222459132908,50.98465042342225,-9.427574167906826
39787,Wing G,2017,sterling brown,117.6,54.6,58.28,100,4.13724,124.301,89.5314,4.48903,3.0,13.4286,1.54408363,0.5269,8.01945,31.15849324804549,49.56969683415222,18.411203586106726
39789,Wing G,2015,sterling brown,126.0,61.2,63.58,44,2.31476,114.926,92.9705,3.30248,2.0588,5.2059,2.25795122,0.6923,6.14885,31.15849324804549,49.44970242402263,18.29120917597714
39790,Wing G,2016,sterling brown,120.4,68.5,71.59,79,3.08999,120.262,94.7209,3.44681,2.6333,10.0667,1.1791072,0.716,6.39827,31.15849324804549,48.55270968723612,17.394216439190625
40627,Wing G,2017,terence davis,109.4,54.1,56.73,151,3.13316,123.72,96.1286,4.70257,1.75,14.8611,0.85133297,0.764,6.96837,62.31698649609099,42.15297152287762,-20.16401497321337
40628,Wing G,2018,terence davis,99.7,48.3,51.2,98,2.41884,113.719,100.477,2.9435,2.0938,13.7812,0.93057781,0.6098,3.33731,62.31698649609099,42.79111283290923,-19.525873663181763
40629,Wing G,2016,terence davis,95.1,48.3,46.12,10,0.155386,94.4083,98.9654,-2.61878,0.3158,1.8947,1.199848,0.625,-1.01523,62.31698649609099,33.89560823515292,-28.42137826093807
41141,Wing G,2011,tim hardaway jr,109.8,52.4,56.04,80,3.75257,121.503,92.5654,5.17239,1.7353,14.0294,1.34093183,0.7213,7.23695,47.86069651741295,45.7714404022931,-2.089256115119845
41142,Wing G,2013,tim hardaway jr,104.9,50.4,52.71,125,3.56531,114.944,93.4428,3.15549,2.4324,14.2432,1.30430586,0.7412,4.30914,47.86069651741295,46.13000662422321,-1.7306898931897337
41143,Wing G,2012,tim hardaway jr,103.4,48.6,52.69,112,3.54768,115.871,97.1034,2.6705,2.1212,14.6364,1.07691532,0.6437,2.74858,47.86069651741295,46.51895778780407,-1.3417387296088776
41666,Wing G,2012,tony snell,116.0,58.5,61.57,44,2.8017,117.298,93.0512,4.95675,2.3235,10.5,1.51922318,0.6842,6.57342,28.258706467661693,47.568702831006995,19.309996363345302
41668,Wing G,2011,tony snell,101.2,48.0,51.34,18,0.567422,95.7064,100.077,0.8701,0.8788,4.4848,1.03571003,0.44,0.939072,28.258706467661693,41.941673591567366,13.682967123905673
42639,Wing G,2010,tristan thompson,113.5,52.0,58.69,79,3.03275,114.431,105.175,3.34008,1.7742,14.9032,0.93221939,0.5556,3.04944,43.2409381663113,47.76948978198065,4.52855161566935
42640,Wing G,2011,tristan thompson,118.2,56.2,64.06,85,3.97023,121.838,111.065,5.31581,1.7419,17.6452,0.77140071,0.5895,3.56634,43.2409381663113,49.1096334075702,5.868695241258898
42679,Wing G,2012,troy daniels,111.6,53.2,55.84,18,2.24563,112.389,93.0803,4.44255,0.4722,10.0278,0.47220001,0.3333,5.61665,29.921819474058285,35.6046162433209,5.6827967692626125
42680,Wing G,2013,troy daniels,121.9,59.1,59.62,25,3.28074,121.474,93.5939,5.76383,0.6389,12.25,0.71875351,0.5,5.99091,29.921819474058285,34.4150787172173,4.493259243159013
42681,Wing G,2010,troy daniels,122.7,52.0,54.0,3,0.611269,115.036,103.254,1.83025,0.2308,2.1538,3.00130051,1.0,0.652448,29.921819474058285,46.237581398413894,16.31576192435561
43037,Wing G,2013,tyler johnson,107.1,50.0,52.99,87,2.93545,114.096,95.8071,3.47992,1.9259,11.6667,1.4444611,0.6042,4.81655,38.86282871357499,45.19959013500119,6.336761421426196
43038,Wing G,2014,tyler johnson,119.7,53.8,57.94,125,4.77504,128.854,103.199,6.09866,2.9091,15.8485,2.1818796,0.5981,6.48336,38.86282871357499,51.2846949592259,12.42186624565091
43703,Wing G,2013,victor oladipo,122.7,64.8,67.12,152,4.76925,134.043,81.39,8.76043,2.0556,13.6389,0.90244967,0.6978,14.3486,60.35536602700783,44.50566595635941,-15.849700070648424
43704,Wing G,2012,victor oladipo,106.8,48.8,54.56,126,2.87866,116.778,90.8953,3.31839,2.0278,10.8333,0.96054196,0.5989,5.78797,60.35536602700783,49.56910832904541,-10.78625769796242
43705,Wing G,2011,victor oladipo,107.3,57.1,58.6,80,1.80293,115.24,93.8384,3.56299,0.875,7.375,0.63636364,0.6293,5.37399,60.35536602700783,38.68200300725399,-21.673363019753843
44119,Wing G,2011,will barton,98.8,47.8,50.18,128,1.86938,104.072,95.1807,1.41282,2.8286,12.3143,1.11235197,0.6286,2.833,43.18407960199006,45.286604781335505,2.1025251793454487
44913,Wing G,2014,zach lavine,107.3,52.4,54.48,79,1.84098,110.171,98.8807,1.46349,1.7838,9.4324,1.57149149,0.5667,1.99942,46.766169154228855,42.672022391632666,-4.094146762596189
