player_name,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,multiplier,pt_rating,raptor_rating,war_rating,total_score
greg monroe,2016.5,3625.33,1803.33,-0.07,0.38,0.3,-0.45,-1.19,-1.64,-0.15,0.08,-0.07,2.91,2.8,0.11,-0.31,0.21,-0.1,0.13,1.0,0.45,0.45,0.23,39.62
greivis vasquez,2014.5,3956.5,2030.5,0.08,-1.6,-1.52,-0.33,1.08,0.76,-0.04,-1.12,-1.16,1.6,1.19,0.4,0.06,-1.67,-1.61,-1.01,1.0,0.39,0.42,0.19,35.03
hamidou diallo,2021.5,2615.5,1247.5,-0.69,0.52,-0.18,-2.05,1.04,-1.01,-0.92,0.69,-0.23,1.6,1.6,0.0,-1.7,0.84,-0.86,0.22,1.0,0.41,0.44,0.18,36.48
harrison barnes,2018.0,5354.44,2587.22,-0.49,-0.23,-0.72,-1.3,-0.94,-2.24,-0.68,-0.4,-1.08,2.19,2.05,0.14,-0.66,-0.53,-1.19,-0.3,1.0,0.42,0.43,0.22,37.12
hassan whiteside,2019.5,3265.33,1585.83,-1.46,2.53,1.07,0.67,0.16,0.84,-1.11,2.2,1.09,3.58,3.59,-0.02,-0.95,1.99,1.04,-0.16,1.0,0.57,0.58,0.28,49.78
henry sims,2014.5,2311.0,1137.0,-1.77,-1.12,-2.89,-2.96,-0.52,-3.48,-2.01,-1.04,-3.05,-0.44,-0.44,0.0,-2.17,-1.28,-3.45,0.39,1.0,0.27,0.29,0.1,23.35
hollis thompson,2015.5,3328.75,1606.0,-1.42,-2.27,-3.69,-0.51,-1.21,-1.72,-1.25,-2.16,-3.41,-0.52,-0.52,0.0,-1.87,-2.16,-4.03,-0.02,1.0,0.24,0.26,0.1,21.32
ian clark,2017.5,2508.25,1176.5,-0.93,-2.81,-3.75,-3.38,-1.27,-4.65,-1.56,-2.7,-4.26,-0.68,-0.77,0.09,-1.36,-2.82,-4.17,-0.02,1.0,0.24,0.22,0.1,19.77
iman shumpert,2016.2,3866.8,1937.4,-0.87,0.88,0.01,0.04,1.63,1.67,-0.77,1.09,0.32,3.11,2.55,0.55,-0.31,1.23,0.91,-0.1,1.0,0.52,0.49,0.24,44.21
isaiah canaan,2016.75,2162.75,1055.0,-0.94,-1.53,-2.47,-3.09,-1.36,-4.45,-1.39,-1.58,-2.97,0.01,0.05,-0.04,-1.41,-1.57,-2.99,-0.36,1.0,0.3,0.3,0.12,25.7
isaiah thomas,2016.67,4171.0,2013.83,3.1,-2.46,0.65,2.37,-2.3,0.06,3.14,-2.56,0.59,5.1,4.81,0.3,3.06,-2.75,0.3,0.86,1.0,0.48,0.5,0.32,44.89
ja morant,2022.0,4714.0,2227.0,5.23,-0.45,4.78,2.72,-2.95,-0.23,4.98,-1.05,3.94,7.7,5.64,2.06,4.96,-0.31,4.65,0.68,1.0,0.71,0.68,0.41,62.27
jabari parker,2018.5,2773.75,1319.75,-0.09,-1.08,-1.16,-0.37,-1.64,-2.01,-0.13,-1.23,-1.35,0.9,0.8,0.1,0.31,-1.37,-1.06,0.69,1.0,0.42,0.41,0.16,35.21
jae crowder,2018.0,4711.89,2267.56,0.23,0.85,1.08,0.55,1.34,1.89,0.29,0.98,1.27,4.58,3.78,0.8,0.75,1.04,1.79,0.38,1.0,0.57,0.55,0.3,49.72
jahlil okafor,2019.0,2022.0,935.0,-1.39,-0.6,-1.99,-1.67,-2.45,-4.12,-1.54,-0.98,-2.52,0.11,0.11,0.0,-1.63,-1.56,-3.19,-0.76,1.0,0.28,0.32,0.12,25.53
jakarr sampson,2020.0,1119.0,521.0,-1.82,2.0,0.19,-0.68,1.36,0.68,-1.66,1.95,0.29,0.81,0.72,0.09,-2.37,1.7,-0.68,-0.27,1.0,0.46,0.52,0.16,40.97
jake layman,2021.0,1360.0,627.0,-3.26,0.22,-3.03,-6.04,2.56,-3.48,-4.01,0.77,-3.24,-0.16,-0.16,0.0,-3.34,0.14,-3.19,0.36,1.0,0.28,0.27,0.11,23.73
jakob poeltl,2020.5,3382.0,1609.0,-0.13,3.02,2.89,4.31,1.01,5.32,0.79,2.83,3.62,5.28,5.17,0.11,0.2,2.76,2.96,-0.23,1.0,0.66,0.72,0.34,60.16
jalen brunson,2021.5,4985.0,2482.0,2.22,-0.38,1.83,0.99,0.09,1.08,2.06,-0.32,1.74,5.76,4.78,0.98,1.97,-0.19,1.78,-1.25,1.0,0.55,0.56,0.34,49.94
jamal murray,2020.0,4958.0,2438.67,2.33,0.05,2.38,3.92,0.81,4.73,2.75,0.2,2.95,6.95,5.09,1.86,3.04,0.43,3.47,-0.89,1.0,0.64,0.63,0.38,57.06
james anderson,2015.0,3209.0,1515.0,-2.67,-0.48,-3.15,-2.62,0.45,-2.17,-2.78,-0.27,-3.06,-0.36,-0.36,0.0,-3.43,-0.97,-4.4,0.51,1.0,0.22,0.28,0.11,21.48
james johnson,2018.0,2627.11,1288.44,-0.83,-0.15,-0.98,-0.94,0.58,-0.37,-0.92,-0.01,-0.93,1.54,1.55,-0.01,-1.01,-0.07,-1.07,0.12,1.0,0.41,0.42,0.18,35.36
jamychal green,2020.0,2925.8,1409.4,-0.98,-1.16,-2.14,-1.41,-0.37,-1.78,-1.14,-1.07,-2.21,0.36,0.28,0.07,-1.13,-1.04,-2.17,-0.12,1.0,0.38,0.37,0.15,32.03
jared sullinger,2015.0,3840.0,1894.33,-0.13,1.19,1.06,1.33,0.26,1.59,0.19,1.05,1.24,3.86,3.84,0.02,0.21,0.98,1.19,-0.07,1.0,0.57,0.58,0.29,50.51
jaren jackson jr,2022.0,5229.0,2458.0,-0.57,2.16,1.59,1.41,2.51,3.92,-0.24,2.32,2.08,6.16,4.84,1.32,0.28,2.39,2.67,1.09,1.0,0.6,0.58,0.35,52.86
jarrett allen,2021.0,3902.33,1885.67,-0.42,3.15,2.73,0.94,0.24,1.18,-0.15,2.73,2.58,5.08,4.85,0.23,-0.32,2.15,1.84,-0.52,1.0,0.61,0.66,0.34,56.08
jason smith,2015.5,2521.0,1255.25,-2.45,-1.33,-3.78,-1.11,-1.98,-3.09,-2.3,-1.53,-3.83,-0.78,-0.68,-0.1,-2.02,-1.48,-3.5,-0.32,1.0,0.27,0.24,0.09,21.26
jason thompson,2015.0,3015.0,1508.0,-1.62,-0.47,-2.09,-0.15,-0.93,-1.08,-1.45,-0.59,-2.04,0.77,0.79,-0.02,-1.92,-0.56,-2.48,-0.62,1.0,0.35,0.36,0.16,30.43
jaxson hayes,2022.0,3076.0,1481.0,-1.04,-1.43,-2.47,-1.47,-0.29,-1.76,-1.19,-1.27,-2.47,0.19,0.46,-0.27,-1.75,-1.77,-3.51,0.04,1.0,0.27,0.32,0.13,25.05
jaylen brown,2020.5,5148.5,2483.0,1.03,0.61,1.65,-0.4,-0.11,-0.52,0.76,0.46,1.22,5.3,4.09,1.22,1.32,0.96,2.28,0.57,1.0,0.59,0.54,0.32,50.31
jayson tatum,2021.0,6278.67,3048.0,3.6,0.27,3.88,3.85,2.69,6.55,3.84,0.77,4.61,11.78,9.62,2.16,4.37,0.78,5.15,-0.04,1.0,0.79,0.77,0.61,73.59
jeff withey,2015.0,1316.0,671.0,-1.1,2.29,1.2,-0.6,1.87,1.27,-1.04,2.34,1.29,1.37,1.37,0.0,-1.47,1.52,0.05,-0.57,1.0,0.48,0.56,0.18,43.24
jerami grant,2019.5,4196.5,2014.0,-0.25,-0.01,-0.26,-1.96,-0.35,-2.31,-0.6,-0.09,-0.69,2.21,2.01,0.19,-0.75,-0.21,-0.96,-0.13,1.0,0.4,0.42,0.2,35.9
jeremy lamb,2018.0,2704.0,1317.89,1.5,0.04,1.54,-0.11,-0.07,-0.18,1.25,0.02,1.27,2.86,2.81,0.05,1.0,0.07,1.08,-0.35,1.0,0.51,0.53,0.23,44.8
jeremy lin,2016.2,3640.0,1744.2,0.6,1.39,1.99,-2.88,1.38,-1.49,-0.08,1.49,1.42,3.55,3.41,0.14,-0.1,1.02,0.92,0.98,1.0,0.54,0.57,0.27,48.4
jerian grant,2018.5,2724.0,1319.5,-0.49,-0.97,-1.47,-3.63,-0.61,-4.24,-1.13,-0.95,-2.07,0.86,0.81,0.05,-1.5,-0.97,-2.47,-0.9,1.0,0.37,0.4,0.18,33.37
jevon carter,2021.5,1863.5,885.0,-0.54,-1.04,-1.57,-1.37,0.3,-1.07,-0.76,-0.85,-1.61,0.44,0.28,0.16,-0.61,-1.26,-1.86,-0.52,1.0,0.38,0.4,0.15,33.06
jimmer fredette,2014.5,1030.0,514.0,0.7,-2.55,-1.85,1.79,-1.01,0.78,0.97,-2.37,-1.4,0.36,0.36,0.0,0.34,-2.97,-2.64,0.06,1.0,0.31,0.38,0.13,29.26
jimmy butler,2018.0,5231.78,2612.67,3.86,1.71,5.57,1.85,1.68,3.53,3.67,1.79,5.46,10.87,9.16,1.71,3.41,2.16,5.58,-0.63,1.0,0.81,0.82,0.56,75.33
joe harris,2019.5,4869.0,2296.75,0.73,-0.73,0.0,2.31,-1.11,1.2,1.1,-0.85,0.25,3.58,3.62,-0.04,1.1,-0.99,0.11,0.27,1.0,0.46,0.47,0.25,41.36
joel embiid,2020.5,4575.5,2190.75,2.75,4.18,6.93,1.82,3.46,5.28,2.69,4.24,6.93,11.19,9.29,1.9,3.12,4.06,7.18,0.75,1.0,0.84,0.85,0.54,77.03
john collins,2021.0,3883.67,1857.33,0.82,0.29,1.11,0.46,0.54,1.0,0.79,0.39,1.18,4.02,3.41,0.61,1.44,0.25,1.68,-0.08,1.0,0.55,0.53,0.27,46.94
john henson,2016.67,2650.5,1329.33,-2.21,0.96,-1.26,-1.85,0.64,-1.21,-2.25,0.99,-1.26,0.73,0.65,0.07,-2.23,0.51,-1.71,-0.13,1.0,0.37,0.39,0.15,32.12
john wall,2017.14,4886.71,2381.86,1.61,-1.1,0.51,0.99,1.36,2.36,1.59,-0.64,0.95,5.33,4.82,0.51,1.84,-0.53,1.31,1.07,1.0,0.58,0.56,0.35,51.25
jon leuer,2015.5,2381.25,1174.25,-1.37,0.03,-1.34,-1.44,1.22,-0.22,-1.45,0.27,-1.18,0.99,0.93,0.06,-1.54,-0.08,-1.63,0.32,1.0,0.41,0.43,0.17,35.9
jonathan isaac,2020.0,2038.0,980.0,-0.61,4.82,4.21,-1.62,3.15,1.52,-0.84,4.76,3.92,3.34,3.34,0.0,0.32,4.77,5.09,0.25,1.0,0.8,0.75,0.27,64.93
jonathon simmons,2018.5,3303.5,1572.5,-1.61,-0.88,-2.49,-2.45,-2.57,-5.01,-1.85,-1.28,-3.13,-0.13,0.1,-0.24,-2.38,-1.56,-3.94,0.17,1.0,0.26,0.3,0.12,23.78
jordan clarkson,2019.5,4535.5,2186.17,2.09,-1.4,0.69,0.13,-0.28,-0.15,1.79,-1.24,0.55,3.64,3.5,0.14,1.65,-1.42,0.24,-0.19,1.0,0.5,0.52,0.27,45.12
jordan hill,2015.0,3303.67,1634.0,-1.25,0.14,-1.11,-1.9,-1.54,-3.45,-1.43,-0.17,-1.61,0.9,0.93,-0.03,-1.41,-0.16,-1.56,-0.91,1.0,0.37,0.37,0.15,31.5
jordan mclaughlin,2022.0,2165.0,985.0,0.56,-0.37,0.19,0.72,0.19,0.91,0.61,-0.29,0.32,1.55,1.22,0.33,0.22,0.14,0.36,0.02,1.0,0.48,0.48,0.18,40.11
jordan poole,2022.0,6018.0,2889.0,2.3,-1.18,1.12,0.14,-0.01,0.13,1.96,-1.05,0.91,5.45,4.26,1.2,2.25,-0.64,1.61,0.53,1.0,0.54,0.51,0.32,47.55
josh hart,2021.0,3462.0,1631.67,0.43,0.55,0.99,-1.05,-0.21,-1.26,0.15,0.45,0.6,2.78,2.78,0.0,0.2,1.02,1.22,0.21,1.0,0.57,0.54,0.24,47.89
josh jackson,2021.5,2503.5,1195.0,-1.74,0.27,-1.47,-2.42,0.24,-2.17,-1.91,0.31,-1.6,0.99,0.99,0.0,-2.35,0.09,-2.26,1.12,1.0,0.33,0.37,0.16,30.18
josh okogie,2021.5,1850.0,857.5,-2.79,3.98,1.19,-3.78,2.54,-1.24,-3.18,3.93,0.75,1.31,1.3,0.01,-3.41,3.43,0.02,0.54,1.0,0.46,0.5,0.17,40.11
josh richardson,2020.0,4392.6,2135.8,-0.19,0.54,0.35,-0.4,0.13,-0.28,-0.25,0.46,0.22,3.55,3.5,0.04,-0.03,0.82,0.79,-0.47,1.0,0.5,0.47,0.25,42.62
josh smith,2015.0,4339.67,2114.67,-2.61,1.92,-0.69,-2.24,0.22,-2.02,-2.7,1.69,-1.01,2.34,1.96,0.38,-1.61,1.47,-0.15,1.57,1.0,0.47,0.42,0.21,38.95
julius randle,2020.0,4947.2,2378.6,-0.38,-0.37,-0.75,-0.36,0.04,-0.31,-0.37,-0.31,-0.68,2.64,2.71,-0.07,-0.56,-0.44,-1.0,0.26,1.0,0.4,0.42,0.22,36.25
justin anderson,2018.0,1171.0,552.0,-0.2,-0.11,-0.31,-4.6,-0.8,-5.4,-1.16,-0.33,-1.49,0.35,0.38,-0.03,-0.83,-0.92,-1.75,-0.16,1.0,0.36,0.37,0.13,30.86
justin hamilton,2016.0,1962.5,944.5,-1.63,0.95,-0.68,-4.51,-1.9,-6.41,-2.3,0.49,-1.81,0.42,0.42,0.0,-2.49,-0.24,-2.73,0.2,1.0,0.31,0.36,0.13,28.24
justin holiday,2019.5,4440.83,2118.0,-0.89,0.54,-0.35,-0.6,1.05,0.45,-0.86,0.7,-0.16,2.77,2.67,0.1,-0.68,0.7,0.02,0.45,1.0,0.5,0.49,0.25,43.52
justin jackson,2020.5,1763.0,826.5,-2.32,-1.89,-4.22,-0.26,-1.43,-1.7,-2.01,-1.91,-3.92,-0.49,-0.41,-0.09,-2.09,-2.95,-5.05,-0.16,1.0,0.21,0.27,0.12,21.01
justise winslow,2020.0,2632.25,1262.0,-2.61,1.09,-1.53,-1.52,2.79,1.27,-2.52,1.49,-1.03,1.52,1.36,0.16,-2.2,1.16,-1.04,0.31,1.0,0.42,0.42,0.18,36.3
karl anthony towns,2020.0,4683.6,2241.4,3.22,0.27,3.49,6.15,-1.89,4.26,4.03,-0.14,3.9,7.27,7.14,0.13,4.02,0.32,4.34,0.7,1.0,0.73,0.73,0.41,65.07
keita bates diop,2022.0,2037.0,956.0,-2.52,0.6,-1.92,-2.07,2.53,0.46,-2.58,1.04,-1.54,0.59,0.59,0.0,-2.93,-0.37,-3.3,-0.24,1.0,0.33,0.45,0.17,33.4
kelly olynyk,2018.0,3278.44,1582.56,0.07,0.35,0.42,1.4,0.2,1.6,0.37,0.33,0.7,2.71,2.45,0.26,0.41,0.51,0.92,0.71,1.0,0.53,0.53,0.23,45.46
kemba walker,2018.0,4751.67,2349.67,3.07,0.92,3.99,2.69,-0.68,2.01,3.19,0.64,3.83,8.35,8.02,0.33,3.34,0.79,4.13,-0.66,1.0,0.72,0.72,0.45,65.2
kenneth faried,2016.2,3309.6,1607.6,0.45,-0.65,-0.2,2.36,-2.79,-0.44,0.85,-1.11,-0.26,1.94,1.9,0.04,0.64,-0.76,-0.12,0.24,1.0,0.45,0.44,0.19,38.25
kenrich williams,2021.5,2641.0,1249.0,-0.58,1.2,0.62,1.14,4.56,5.71,-0.17,2.0,1.83,2.85,2.85,0.0,-1.29,1.15,-0.14,-0.27,1.0,0.45,0.56,0.23,43.52
kent bazemore,2018.0,3290.89,1561.89,-1.68,1.57,-0.11,-3.1,0.89,-2.21,-2.06,1.52,-0.54,1.87,1.77,0.1,-1.78,1.37,-0.42,0.9,1.0,0.47,0.46,0.21,40.15
kentavious caldwell pope,2018.0,4773.89,2321.0,-0.02,-0.01,-0.03,0.9,-0.18,0.72,0.18,-0.05,0.13,3.53,3.4,0.14,0.0,0.32,0.33,0.17,1.0,0.52,0.51,0.28,45.23
kevin huerter,2021.5,5215.5,2513.0,-0.06,-0.51,-0.57,1.13,-0.11,1.02,0.14,-0.45,-0.31,3.16,2.65,0.51,0.55,-0.2,0.34,-0.0,1.0,0.55,0.51,0.27,46.34
kevin porter jr,2022.0,4052.0,1907.0,-0.08,-0.48,-0.56,0.86,1.22,2.07,0.17,-0.08,0.09,2.79,2.79,0.0,0.34,-0.54,-0.19,0.86,1.0,0.45,0.46,0.22,39.66
kevon looney,2021.5,3496.0,1670.5,-1.35,2.4,1.06,3.43,0.51,3.94,-0.44,2.08,1.64,3.93,2.96,0.97,-1.51,2.47,0.96,-1.06,1.0,0.51,0.55,0.27,46.36
khem birch,2021.0,2473.0,1198.0,-1.93,1.18,-0.75,-0.98,-0.23,-1.21,-1.85,0.96,-0.89,1.22,1.11,0.11,-2.51,0.95,-1.57,-0.73,1.0,0.37,0.41,0.16,33.31
khris middleton,2018.0,5239.67,2535.44,1.78,0.02,1.8,2.14,1.27,3.41,1.95,0.27,2.22,6.52,5.68,0.84,1.97,0.47,2.44,0.65,1.0,0.63,0.63,0.39,56.71
klay thompson,2017.29,6439.0,3086.29,1.71,-0.15,1.57,2.85,0.01,2.86,1.95,-0.17,1.79,7.46,6.24,1.22,2.76,0.2,2.95,0.36,1.0,0.62,0.57,0.4,54.84
kris dunn,2019.5,2782.5,1329.0,-1.42,1.77,0.34,-1.12,1.01,-0.1,-1.39,1.74,0.35,2.04,2.04,0.0,-2.03,2.63,0.6,-0.04,1.0,0.49,0.48,0.2,41.12
kyle anderson,2020.0,3526.4,1679.2,-0.66,1.98,1.33,-2.19,1.77,-0.42,-1.02,2.04,1.02,3.45,3.24,0.2,-1.28,2.15,0.87,-0.02,1.0,0.5,0.52,0.25,44.4
kyle kuzma,2021.0,4392.33,2099.0,-2.08,-0.04,-2.13,-2.74,-0.76,-3.5,-2.35,-0.22,-2.57,0.19,0.22,-0.03,-2.15,-0.39,-2.54,-0.09,1.0,0.33,0.32,0.13,27.72
kyle o'quinn,2016.0,2183.0,1078.4,-0.91,1.03,0.12,-0.51,0.65,0.14,-0.85,1.05,0.2,1.68,1.68,0.0,-0.91,0.46,-0.45,0.05,1.0,0.43,0.47,0.18,38.34
kyle singler,2015.0,3449.67,1702.67,-0.74,-0.82,-1.55,-2.65,-0.99,-3.64,-1.21,-0.89,-2.1,0.95,1.03,-0.07,-1.26,-0.69,-1.95,-0.08,1.0,0.37,0.35,0.16,31.1
kyrie irving,2018.0,4495.11,2212.67,5.03,-1.51,3.52,3.87,-2.16,1.71,5.05,-1.75,3.3,6.86,6.0,0.86,5.42,-1.0,4.42,0.51,1.0,0.71,0.66,0.38,61.04
lance stephenson,2017.33,3497.5,1738.83,-0.86,-2.78,-3.65,-0.49,-1.75,-2.24,-0.82,-2.75,-3.56,-0.08,-0.15,0.08,-1.31,-2.69,-4.0,0.16,1.0,0.25,0.27,0.12,22.6
lance thomas,2017.0,2390.4,1181.4,-2.74,-1.14,-3.88,-3.2,0.12,-3.08,-2.98,-0.92,-3.89,-0.62,-0.62,0.0,-3.09,-1.53,-4.62,-0.48,1.0,0.21,0.24,0.1,19.01
landry shamet,2021.5,3410.0,1619.0,-0.29,-0.43,-0.72,-2.45,0.48,-1.97,-0.8,-0.28,-1.08,1.36,1.46,-0.1,-0.44,-0.98,-1.42,-0.14,1.0,0.4,0.42,0.18,35.04
langston galloway,2018.5,3067.25,1478.75,0.12,-0.07,0.05,-1.05,0.84,-0.2,-0.09,0.12,0.03,1.83,1.81,0.02,-0.19,-0.44,-0.62,-0.31,1.0,0.42,0.46,0.19,37.76
larry nance jr,2020.0,2986.8,1451.2,-0.36,1.3,0.94,-1.15,2.68,1.53,-0.52,1.73,1.2,3.07,2.8,0.27,-0.26,1.65,1.39,-0.37,1.0,0.55,0.54,0.24,46.95
larry sanders,2014.5,1162.5,585.0,-2.98,2.14,-0.84,-4.43,1.24,-3.19,-3.43,2.1,-1.34,0.42,0.42,0.0,-3.44,1.97,-1.47,-0.11,1.0,0.38,0.38,0.13,31.82
lauri markkanen,2021.0,3250.0,1562.33,0.05,-1.36,-1.31,-0.13,-0.6,-0.73,0.04,-1.3,-1.26,1.32,1.32,0.0,0.22,-0.98,-0.76,0.24,1.0,0.41,0.39,0.17,34.25
lavoy allen,2015.5,2384.0,1172.25,-1.32,-0.0,-1.32,-0.2,0.47,0.26,-1.15,0.08,-1.06,0.99,1.01,-0.02,-1.61,-0.74,-2.35,-0.56,1.0,0.37,0.44,0.17,34.71
lonnie walker iv,2022.0,3435.0,1612.0,-1.24,-1.86,-3.1,-1.65,-1.07,-2.72,-1.41,-1.83,-3.23,-0.4,-0.4,0.0,-1.01,-2.23,-3.24,0.09,1.0,0.34,0.33,0.12,28.1
lonzo ball,2021.0,3539.67,1661.33,0.21,1.03,1.23,0.2,1.4,1.6,0.2,1.19,1.39,3.3,3.3,0.0,1.04,1.58,2.61,0.75,1.0,0.7,0.63,0.28,56.62
luguentz dort,2022.0,3495.0,1665.0,-0.93,1.29,0.36,-3.51,0.37,-3.14,-1.4,1.19,-0.21,2.17,2.17,0.0,-2.12,1.18,-0.95,0.8,1.0,0.4,0.45,0.2,36.91
luke babbitt,2016.5,1760.0,864.5,0.07,-1.56,-1.49,-0.48,-1.5,-1.98,-0.02,-1.63,-1.65,0.54,0.55,-0.01,-0.58,-1.64,-2.22,-0.22,1.0,0.34,0.36,0.14,29.74
luke kennard,2021.0,2937.0,1430.67,1.49,-2.61,-1.11,1.17,-1.03,0.15,1.51,-2.45,-0.94,1.43,1.3,0.14,1.12,-2.47,-1.36,-0.48,1.0,0.38,0.4,0.17,33.84
malcolm brogdon,2020.5,3677.25,1748.0,2.25,-0.77,1.48,0.14,1.84,1.98,1.92,-0.28,1.64,3.94,3.61,0.34,1.71,-0.18,1.53,-0.59,1.0,0.62,0.64,0.31,54.8
malik beasley,2021.0,3234.33,1506.0,0.33,-2.09,-1.76,-0.31,-0.79,-1.11,0.23,-1.93,-1.71,0.83,0.87,-0.04,0.44,-1.86,-1.42,0.11,1.0,0.42,0.4,0.16,34.65
malik monk,2021.0,2934.67,1395.33,0.26,-2.19,-1.92,0.09,-0.68,-0.6,0.29,-1.99,-1.7,1.1,1.1,0.0,0.31,-2.87,-2.57,0.36,1.0,0.34,0.39,0.17,31.55
marcus morris,2016.5,4673.83,2294.0,0.1,-0.68,-0.58,0.68,-1.42,-0.74,0.23,-0.9,-0.67,2.49,2.43,0.06,0.19,-0.71,-0.52,-0.09,1.0,0.43,0.42,0.21,37.09
marcus smart,2019.5,5057.17,2436.5,0.24,1.57,1.81,0.27,1.68,1.95,0.24,1.66,1.9,5.93,4.82,1.11,0.67,2.08,2.76,0.8,1.0,0.67,0.62,0.37,57.68
marcus thornton,2015.5,2162.5,1067.5,0.77,-1.71,-0.94,-1.11,-2.03,-3.14,0.42,-1.86,-1.44,0.97,0.96,0.01,0.66,-2.23,-1.57,-0.1,1.0,0.4,0.41,0.17,34.74
markieff morris,2017.5,3967.38,1924.75,-1.75,0.03,-1.72,-1.04,0.45,-0.58,-1.71,0.12,-1.59,1.43,1.16,0.27,-1.59,0.07,-1.51,0.32,1.0,0.37,0.37,0.17,32.14
marquese chriss,2020.0,2554.0,1196.0,-2.0,1.9,-0.1,-0.2,-2.49,-2.69,-1.67,1.18,-0.49,1.38,1.38,0.0,-2.06,1.07,-0.99,0.12,1.0,0.44,0.47,0.19,39.05
marvin bagley iii,2022.0,2358.0,1146.0,-1.43,0.01,-1.42,1.54,-1.01,0.53,-0.85,-0.16,-1.01,1.01,1.01,0.0,-1.35,-0.6,-1.95,-0.63,1.0,0.35,0.4,0.16,32.09
