,year,player_name,Ortg,eFG,TS_per,ORB_per,DRB_per,AST_per,FT_per,twoPM,twoP_per,TPM,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,pts,unk,season,ast/tov,midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
137,2014,aaron gordon,105.5,51.6,50.27,10.4,19.3,13.0,0.422,173,0.513,16,3.4,1.8,47.1,Fr,2.86228,115.064,3.0,99.6,83.3035,31.2368,3.32065,3.85299,12.3684,2.35011,4,1.36361758,0.2571,87.7492,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,42.77
160,2016,aaron holiday,94.5,46.2,50.03,2.0,7.8,21.1,0.727,75,0.383,39,0.8,2.5,30.4,Fr,1.23495,99.2945,4.1,89.4,100.412,31.6562,-0.725836,1.40555,10.3438,5.10103,4,1.3804522,0.328,106.87,3.09933,181.366,1.72579,0.364815,1.36097,0.679715,32.62
299,2012,abdel nader,78.5,38.1,41.91,4.0,17.4,12.6,0.682,74,0.346,34,4.1,1.7,26.8,Fr,0.11054,87.0027,4.4,51.6,106.773,24.4667,-3.45139,-1.56146,10.3333,9.83555,4,0.34883316,0.2857,105.971,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,24.46
1024,2010,alec burks,117.0,56.7,62.49,8.5,11.9,13.5,0.786,144,0.576,19,1.5,2.2,59.9,Fr,5.0314,133.419,3.5,61.4,103.123,30.5357,6.88621,-0.745175,17.4286,3.62556,4,0.875,0.4556,107.773,2.46647,144.886,5.76966,6.04383,-0.274169,6.14104,37.54
1127,2013,alex caruso,87.7,41.3,45.13,3.9,12.4,27.9,0.6,49,0.419,13,2.3,4.9,45.2,Fr,0.504046,91.2602,4.6,83.2,90.3475,24.697,-1.46725,4.4019,5.5152,3.88495,4,1.49333384,0.2,92.3065,2.97941,174.148,4.36197,-0.0689906,4.43096,2.93465,60.17
1459,2011,allen crabbe,112.6,54.5,58.2,2.4,15.9,12.2,0.804,77,0.49,62,1.5,1.6,29.5,Fr,3.26936,114.666,1.8,87.0,97.003,33.8387,4.55669,1.3861,13.3548,8.58841,4,1.3260328,0.3983,103.271,3.44425,193.591,5.91986,4.14199,1.77788,5.94279,28.9
1803,2012,andre drummond,100.7,53.8,50.93,14.2,15.5,3.4,0.295,157,0.541,0,9.9,1.8,30.1,Fr,2.01686,106.362,3.1,83.4,90.5331,28.4412,1.78075,2.5491,10.0,0.127848,4,0.28847914,0.2571,95.5401,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,47.66
1870,2011,andre roberson,117.2,60.5,60.21,15.3,25.1,7.1,0.56,83,0.624,12,5.0,3.4,44.9,Fr,2.15498,114.568,5.4,69.6,92.0069,22.1622,3.07891,1.90349,6.5946,2.40767,4,0.74999997,0.2381,95.2651,2.65851,211.866,8.41442,4.37194,4.04248,4.9824,55.03
2115,2014,andrew wiggins,112.3,49.9,56.34,8.4,12.3,9.2,0.775,146,0.493,43,3.1,2.1,53.8,Fr,4.24085,125.836,3.3,100.0,94.4649,32.8,5.14855,1.8287,17.0571,6.31169,4,0.67502293,0.3354,101.712,3.98001,206.932,7.14569,4.66538,2.48031,6.97725,42.88
2241,2013,anthony bennett,112.8,57.5,60.36,9.9,21.3,8.2,0.696,156,0.576,36,4.3,1.5,46.0,Fr,3.70621,124.606,3.4,99.0,85.8106,27.2353,5.93445,2.25506,15.7941,5.8596,4,0.49209348,0.4341,89.4038,3.77519,202.924,6.61092,3.58896,3.02196,8.18951,6.64
2295,2012,anthony davis,133.8,62.8,65.41,11.6,23.9,7.5,0.709,207,0.653,3,13.7,2.5,60.2,Fr,5.9035,138.825,2.4,100.0,75.7599,32.025,9.09614,7.56117,14.175,0.931259,4,1.21951222,0.3846,79.63,5.62176,360.572,17.668,7.54963,10.1184,16.6573,71.67
2813,2013,archie goodwin,96.9,46.4,50.91,5.6,10.4,16.8,0.637,140,0.478,17,1.4,2.1,59.4,Fr,2.61308,109.137,3.7,97.2,94.5801,31.7576,0.684581,0.273842,14.1212,3.60856,4,0.8712997,0.2931,97.7351,3.42587,179.703,0.778603,0.781192,-0.00258988,0.958423,17.86
3275,2012,austin rivers,104.8,50.5,53.84,2.2,9.2,13.0,0.658,116,0.477,58,0.1,1.7,45.8,Fr,3.41399,115.548,2.7,99.8,97.2284,33.2059,2.7958,0.279199,15.5,8.19759,4,0.89873044,0.3333,102.8,3.33088,176.149,2.9406,2.9932,-0.0526018,3.075,28.16
3365,2010,avery bradley,105.2,48.9,49.58,3.5,6.6,12.4,0.545,117,0.457,42,1.6,2.4,17.9,Fr,2.32709,108.707,3.2,99.4,92.5408,29.5,1.96455,2.09962,11.6471,6.00258,4,1.36537211,0.4192,97.7023,3.43879,176.727,5.12429,3.17971,1.94458,4.06416,34.33
3691,2013,ben mclemore,118.7,58.6,63.26,5.0,12.3,12.6,0.87,125,0.553,73,2.2,1.8,34.5,Fr,4.47541,125.989,2.3,92.4,87.3941,32.1892,6.59953,2.901,15.9189,8.57278,4,0.94805635,0.35,92.3885,4.22994,216.163,8.47939,5.6772,2.80219,9.50053,24.68
3731,2016,ben simmons,112.9,56.1,59.95,9.6,26.8,27.4,0.67,215,0.561,1,2.5,3.1,76.9,Fr,4.96514,129.255,3.2,100.0,93.3664,34.8788,6.65406,3.18062,19.1515,0.141684,4,1.4234451,0.3416,97.3738,4.27519,290.86,10.2899,5.24639,5.04354,9.83468,62.54
4125,2014,bobby portis,116.1,52.4,56.18,10.2,16.8,11.0,0.737,152,0.537,9,5.9,2.1,37.3,Fr,3.11085,122.001,2.6,96.8,91.4703,27.0,4.49478,2.50127,12.2941,1.98612,4,1.21950416,0.3648,94.564,3.5283,203.379,7.05452,2.68809,4.36643,6.99605,35.43
4258,2012,bradley beal,112.3,52.5,57.45,4.8,18.1,12.7,0.769,112,0.541,63,2.6,2.5,44.0,Fr,4.31343,122.37,2.4,99.4,92.1814,34.2432,5.27745,2.28623,14.7568,8.98698,4,1.05063003,0.3286,95.4954,4.01915,257.355,8.02626,5.01541,3.01084,7.56367,52.75
4529,2016,brandon ingram,112.1,52.5,55.25,6.1,15.4,11.3,0.682,134,0.464,80,3.6,1.9,35.1,Fr,4.30177,123.987,2.4,99.6,95.9335,34.6111,5.53645,1.26317,17.3333,9.11171,4,0.98610002,0.3779,103.403,3.93885,237.974,6.30806,4.07465,2.23341,6.79962,39.99
4558,2011,brandon knight,107.8,50.8,55.28,2.2,10.2,23.4,0.795,130,0.461,87,0.6,1.1,33.3,Fr,4.52621,122.747,2.4,99.2,94.5951,35.8684,4.36431,0.220269,17.2895,10.2095,4,1.32499436,0.3939,100.305,4.01095,204.602,4.48048,4.60756,-0.127072,4.58458,30.42
5301,2017,bruce brown,111.5,51.5,55.94,5.6,15.3,20.7,0.744,101,0.513,33,1.9,2.9,41.4,Fr,3.36313,118.28,3.1,94.6,90.4539,31.9091,3.79755,3.87151,11.8485,5.53894,4,1.58208156,0.2075,96.8412,4.24455,203.422,8.428,4.16616,4.26184,7.66906,48.85
5613,2013,buddy hield,97.2,43.3,46.66,8.2,10.5,14.6,0.833,62,0.481,19,1.1,2.9,17.2,Fr,1.43344,101.671,2.9,69.0,94.38,25.1481,2.00583,2.14511,7.8148,7.03279,4,1.1364138,0.3621,98.1422,2.7509,126.883,5.5261,3.10463,2.42148,4.15094,43.6
5890,2019,cam reddish,96.4,45.9,49.88,2.0,10.6,10.7,0.772,65,0.394,89,1.9,2.9,26.4,Fr,2.06068,107.457,3.2,99.8,88.501,29.6944,0.680393,2.3503,13.4722,13.5688,4,0.7291409,0.2824,94.4086,4.22023,209.227,3.18676,1.24477,1.942,3.03069,23.64
6017,2016,cameron johnson,110.4,50.8,53.55,4.3,14.3,8.1,0.792,21,0.429,28,1.5,1.5,19.4,Fr,0.996308,112.983,4.5,55.4,96.1903,11.5484,1.96066,0.854354,4.6774,12.5991,4,1.0,0.2963,102.44,1.30257,62.4147,2.4976,2.06979,0.42781,2.81501,62.62
6083,2014,cameron payne,108.5,48.2,53.08,0.9,10.8,34.1,0.799,112,0.453,71,1.7,2.8,32.9,Fr,3.35489,117.836,3.5,28.4,103.862,33.0,3.16663,0.268735,17.375,11.4302,4,1.66018391,0.3955,103.643,2.93387,196.42,2.94997,3.04498,-0.0950023,3.43537,38.32
6193,2013,caris levert,93.2,38.8,39.73,2.1,9.9,11.5,0.5,15,0.326,13,0.6,1.1,15.7,Fr,0.28454,92.9324,4.4,52.4,95.7402,10.7879,-2.26335,0.530778,2.303,7.55634,4,2.50033004,0.2941,102.01,1.11645,52.7172,0.458004,0.518265,-0.0602611,-1.73257,41.56
7840,2014,christian wood,105.4,45.7,50.51,7.3,18.6,5.1,0.8,37,0.552,11,6.8,1.5,29.9,Fr,0.722686,104.463,4.7,90.4,91.1127,13.0,-0.194655,3.11571,4.5,7.6291,4,0.62497657,0.2917,92.8605,1.72555,85.7321,3.21582,-0.246291,3.46211,2.92105,28.79
8033,2010,cj mccollum,115.6,54.1,59.33,5.1,12.3,17.1,0.81,131,0.483,72,0.7,2.3,42.8,Fr,4.06522,122.751,1.8,9.8,104.864,31.8788,6.72617,-0.500785,19.1212,9.24141,4,1.19694996,0.4066,100.137,2.37594,201.573,4.28034,5.38232,-1.10198,6.22539,55.76
8242,2019,coby white,108.7,51.6,55.56,1.3,11.4,24.4,0.8,106,0.502,82,1.3,2.0,29.3,Fr,3.69748,124.886,2.7,95.2,92.0853,28.5714,4.71988,2.32854,16.0571,12.289,4,1.52127942,0.3571,98.1201,3.69208,202.343,6.65559,4.90054,1.75505,7.04842,32.28
8292,2015,cody martin,96.6,47.5,48.45,8.9,10.5,21.8,0.529,28,0.538,0,2.9,2.6,28.8,Fr,0.68723,105.024,6.7,85.6,92.9989,11.3684,-0.0183298,3.37165,3.4211,1.99696,4,1.27770745,0.375,99.4463,1.33955,40.1655,4.33724,1.48188,2.85536,3.35332,47.44
8314,2012,cody zeller,127.0,62.3,66.45,11.3,16.8,9.5,0.755,200,0.623,0,4.3,2.9,67.3,Fr,5.39068,140.263,3.8,98.2,89.7389,28.4722,7.89301,3.05051,15.6389,0.0,4,0.749985,0.4066,94.7906,3.61699,222.304,11.0667,7.50783,3.55883,10.9435,38.74
8456,2018,collin sexton,109.6,49.8,56.66,4.0,9.7,27.8,0.778,152,0.495,44,0.3,1.6,57.5,Fr,4.74253,133.448,3.3,99.2,98.1274,29.9394,5.4363,0.599108,19.1515,7.50048,4,1.29348259,0.3952,104.341,3.25388,159.716,4.68534,5.11524,-0.429909,6.03541,27.55
8845,2011,cory joseph,110.9,50.3,52.57,2.2,9.5,17.3,0.699,84,0.429,52,0.9,1.9,22.7,Fr,2.66713,110.158,2.2,98.0,89.5381,32.3889,2.52065,3.02652,10.4167,6.30356,4,2.01853339,0.3984,94.0606,4.17314,198.743,6.62528,3.74323,2.88205,5.54717,39.65
9301,2014,damian jones,97.6,54.3,54.93,8.7,15.9,2.3,0.545,138,0.543,0,5.7,0.7,52.8,Fr,1.63101,106.601,5.2,82.8,95.9152,25.9032,-1.40558,1.2689,11.2581,0.0,4,0.12499308,0.3056,99.2836,3.01095,147.891,-1.63408,-2.90994,1.27587,-0.136676,25.69
9337,2012,damion lee,113.0,55.4,59.14,4.3,13.9,14.2,0.773,79,0.545,63,1.3,1.9,35.1,Fr,3.07825,116.349,3.1,50.8,93.7447,28.9444,4.54983,1.86927,12.0,10.5383,4,1.03329935,0.3409,92.1642,3.27464,180.523,5.69996,4.36049,1.33947,6.4191,28.96
9395,2013,damyean dotson,104.9,50.3,52.26,3.7,11.1,6.8,0.723,116,0.509,47,0.5,1.9,17.5,Fr,2.22854,108.682,1.6,47.8,91.684,27.8649,2.41829,1.61811,11.3514,8.02384,4,0.64705457,0.4015,94.751,3.25378,173.614,2.84644,1.6319,1.21453,4.0364,12.27
9512,2015,d'angelo russell,113.6,54.1,57.29,3.6,15.4,30.1,0.756,136,0.479,95,1.1,2.8,30.3,Fr,5.28622,132.576,2.5,97.0,89.143,33.9429,8.22413,2.70618,19.2857,11.6594,4,1.71567788,0.3793,93.834,4.47433,233.345,9.16316,6.8867,2.27646,10.9303,43.5
9577,2018,daniel gafford,115.9,60.5,59.43,11.2,20.0,6.0,0.528,164,0.605,0,11.5,1.4,59.4,Fr,3.07368,127.463,5.8,92.4,94.1192,22.5714,3.57638,2.30227,11.8,0.0,4,0.6486614,0.297,99.7084,2.73771,183.187,7.68631,2.60176,5.08454,5.87864,37.25
10794,2017,de'aaron fox,110.7,49.7,54.81,2.1,12.2,28.6,0.739,197,0.52,17,0.7,2.7,47.1,Fr,4.05821,127.361,3.4,99.0,90.564,29.5556,3.96048,3.21261,16.6944,3.46517,4,1.89651191,0.375,96.0513,3.93508,219.063,7.14293,4.40484,2.73808,7.17309,41.13
10810,2018,deandre ayton,126.7,62.5,64.98,13.5,28.2,10.2,0.733,264,0.635,12,6.1,1.0,42.4,Fr,6.07019,140.786,2.8,99.4,93.9647,33.4857,8.02725,1.87637,20.1143,1.74757,4,0.82611341,0.4225,97.464,4.06491,265.783,8.89899,5.46564,3.43335,9.90362,46.85
10846,2018,de'andre hunter,115.1,53.8,58.37,7.6,14.9,11.8,0.755,83,0.525,21,2.7,1.9,46.0,Fr,2.81773,128.74,3.7,82.0,84.9856,19.9091,4.85204,3.63825,9.1818,5.54977,4,1.16127307,0.4634,89.8999,3.06007,116.054,7.10848,3.7128,3.39568,8.49029,33.01
10904,2017,de'anthony melton,108.0,48.3,53.05,6.0,13.6,22.5,0.706,80,0.51,21,3.9,4.1,47.2,Fr,1.9861,109.064,3.3,73.4,94.7375,27.0,2.28814,4.04456,8.3333,4.35535,4,1.95308808,0.2549,99.2402,3.19273,219.037,7.1726,2.76649,4.40611,6.33269,54.3
11019,2016,dejounte murray,97.8,45.1,48.51,4.1,13.7,25.7,0.663,168,0.457,34,0.8,2.8,34.2,Fr,2.44351,109.327,3.2,90.4,96.4446,33.5,1.73456,1.16724,16.1176,5.29374,4,1.38181932,0.3383,100.785,3.71125,243.083,3.43709,1.76825,1.66884,2.9018,60.76
11095,2010,demarcus cousins,113.5,56.0,57.93,19.9,24.9,9.2,0.604,205,0.565,1,7.5,2.4,72.6,Fr,3.90491,134.082,5.5,99.6,79.3387,23.5,6.16153,3.4411,15.1316,0.377922,4,0.487187,0.3497,83.3244,3.80857,242.468,9.60971,4.65779,4.95191,9.60263,58.71
11291,2017,dennis smith jr,109.5,52.0,56.31,2.7,11.5,34.2,0.715,136,0.509,55,1.2,3.1,47.6,Fr,4.58556,126.048,2.4,98.8,102.69,34.8125,5.32612,0.677925,18.125,7.59832,4,1.82405924,0.3084,107.928,3.14567,219.89,6.39739,5.8068,0.590582,6.00404,22.16
11349,2013,denzel valentine,94.6,49.3,51.61,6.6,16.2,22.3,0.667,51,0.537,16,1.9,2.3,25.7,Fr,0.970233,98.6875,3.6,77.8,85.9432,20.8,0.67855,3.08766,5.0286,4.85983,4,1.25372206,0.4651,92.1638,2.8842,135.487,5.31999,1.47285,3.84713,3.76621,29.46
11578,2010,derrick favors,109.0,61.5,62.31,12.5,20.2,7.3,0.628,177,0.617,0,7.8,1.8,47.6,Fr,3.13216,118.341,3.8,100.0,84.2157,27.7714,3.82367,3.68395,12.5714,0.0579349,4,0.38374508,0.3571,88.5618,4.06076,235.754,8.92075,2.8466,6.07414,7.50762,47.17
11594,2016,derrick jones jr,111.7,60.2,60.9,7.9,13.5,8.2,0.602,105,0.677,7,6.1,1.8,64.1,Fr,2.06904,116.213,6.0,90.6,95.4585,21.3571,1.60142,2.13655,10.8929,3.34286,4,0.61110683,0.4,97.6519,2.44978,125.595,4.34856,1.36663,2.98192,3.73797,42.99
11636,2010,derrick williams,113.9,58.2,61.96,9.7,19.7,6.3,0.681,158,0.594,4,2.4,1.3,82.3,Fr,4.11243,128.726,3.6,81.4,95.3585,28.2258,5.3733,0.437828,15.6774,1.06838,4,0.36667527,0.3053,100.867,2.97851,169.828,3.17199,2.95105,0.220942,5.81113,12.75
11903,2015,devin booker,121.0,57.1,60.02,2.6,7.8,10.9,0.828,77,0.527,58,0.3,1.3,22.3,Fr,3.01039,128.123,2.8,95.8,86.245,21.5,5.91621,2.31563,10.0263,10.7706,4,1.13515453,0.3977,91.0701,3.04056,117.322,6.83479,5.679,1.15579,8.23184,49.86
12212,2015,devonte' graham,106.1,46.6,53.56,1.8,7.1,23.0,0.724,29,0.377,17,0.0,2.9,65.0,Fr,1.58939,113.177,3.4,80.4,92.3543,17.8276,1.54818,2.87605,5.6552,4.60748,4,1.84849284,0.2791,99.4843,2.15884,84.8161,4.0802,2.87547,1.20473,4.42422,46.5
12351,2015,dillon brooks,105.7,49.8,54.66,7.4,11.6,11.9,0.822,116,0.489,28,2.1,1.0,31.9,Fr,2.51923,113.355,4.4,88.4,100.654,28.3333,1.71256,-0.160257,11.4722,4.78157,4,0.89042311,0.3874,106.037,2.59365,157.35,2.50112,2.35756,0.143562,1.5523,51.26
12410,2011,dion waiters,108.1,47.6,51.86,2.7,8.1,17.5,0.83,47,0.461,27,0.8,4.2,25.5,Fr,1.63374,115.306,3.3,96.0,90.0626,16.3333,1.54584,3.34324,6.4848,9.148,4,1.66670336,0.3191,95.5796,2.07364,99.9614,4.16102,3.08896,1.07206,4.88908,38.71
12701,2015,domantas sabonis,118.4,65.6,66.38,13.2,24.2,7.7,0.661,137,0.656,0,1.5,1.2,55.0,Fr,2.77039,124.285,5.1,60.2,87.1714,21.6316,3.34384,1.48338,9.7105,0.0,4,0.55931983,0.4545,90.7303,3.01955,171.557,5.34726,3.37698,1.97028,4.82722,57.09
12914,2016,donovan mitchell,113.7,48.9,52.75,6.6,13.5,15.8,0.754,66,0.559,18,0.6,2.5,30.0,Fr,1.99667,118.103,5.3,94.4,86.8733,19.0645,2.00365,3.71049,7.3871,7.27366,4,1.73338843,0.4308,92.4761,2.78403,111.579,5.59032,3.07372,2.5166,5.71414,53.49
13059,2012,dorian finney smith,92.9,39.4,42.73,11.4,17.4,13.1,0.584,43,0.314,26,2.7,1.6,37.0,Fr,0.863422,94.3459,3.7,95.4,92.8925,29.0,0.0580196,1.22854,6.3333,4.69012,4,1.08770913,0.0909,96.1581,3.34138,177.327,3.40077,0.636195,2.76457,1.28655,49.26
13104,2011,doug mcdermott,110.1,58.1,60.67,9.6,20.5,9.8,0.746,173,0.571,47,0.4,0.6,30.1,Fr,3.36637,119.763,2.9,69.2,101.427,29.0513,4.33506,-1.37196,14.8974,6.43906,4,0.51721358,0.4238,102.733,2.56243,188.789,1.91937,3.00352,-1.08415,2.96311,23.94
13461,2016,dwayne bacon,102.8,48.3,52.12,5.4,17.4,10.4,0.714,165,0.505,32,0.1,1.9,34.9,Fr,2.82123,116.26,3.0,96.8,97.9688,28.7941,2.16594,-0.279809,15.7647,6.44855,4,0.67567193,0.351,103.227,3.08491,183.109,0.967929,1.46063,-0.492701,1.88613,12.8
13530,2011,dwight powell,102.6,48.9,53.62,6.8,19.0,8.6,0.683,81,0.5,7,4.2,1.9,54.0,Fr,1.54492,104.592,4.9,93.4,91.6343,24.3871,-0.14914,3.00689,8.129,1.99958,4,0.68176696,0.3095,94.4292,2.97459,160.383,4.0042,0.30265,3.70155,2.85775,46.86
14374,2010,eric bledsoe,100.4,54.0,56.56,2.0,8.6,16.8,0.667,95,0.516,49,1.1,2.6,39.4,Fr,2.00502,104.97,2.9,86.6,90.0148,30.3243,0.921529,2.70493,11.3243,6.41899,4,0.95536839,0.3088,94.8649,3.80115,201.434,4.2837,1.79336,2.49034,3.62646,54.21
14525,2015,eric paschall,96.5,47.2,51.89,5.7,14.2,8.2,0.804,97,0.483,41,1.7,1.5,30.4,Fr,2.24291,108.17,2.6,58.2,105.528,31.1852,1.86446,-1.67107,15.9259,10.0381,4,0.35526502,0.3696,105.036,2.35918,132.478,-2.08513,-0.222871,-1.86226,0.193384,23.29
15251,2017,frank jackson,116.4,56.4,59.8,3.1,8.2,12.6,0.755,82,0.539,51,0.2,1.3,36.3,Fr,3.14817,124.244,3.8,97.6,97.4997,24.8889,3.37386,0.632511,10.9444,8.25089,4,1.24487547,0.3548,105.15,2.71476,132.144,4.07002,4.53684,-0.466824,4.00637,24.38
15257,2012,frank kaminsky,106.0,50.0,50.28,10.3,12.6,7.9,0.5,13,0.619,10,5.0,1.0,25.0,Fr,0.510125,104.755,5.0,51.8,85.5435,7.7429,-0.238786,3.18183,1.8,8.84813,4,1.0,0.25,90.1626,1.09244,45.5404,5.12295,1.69316,3.42979,2.94304,33.47
15672,2015,gary clark,114.9,52.4,54.26,13.4,18.9,13.9,0.625,110,0.537,0,5.5,2.5,34.3,Fr,2.654,115.296,2.3,82.2,86.3125,27.7941,4.33149,3.773,7.7941,0.354101,4,1.50008949,0.4337,87.7767,3.90553,192.143,9.3512,3.56196,5.78924,8.10449,13.8
15690,2013,gary harris,115.1,56.4,58.75,3.7,6.3,9.5,0.73,84,0.497,65,0.7,2.8,27.6,Fr,4.02039,123.983,2.8,96.4,89.3441,29.9091,4.99808,2.71051,12.9697,9.62169,4,0.8958405,0.3553,96.144,3.79433,154.748,7.02431,5.43082,1.59349,7.7086,40.66
15715,2018,gary trent jr,122.3,52.8,56.65,2.9,10.3,6.8,0.876,80,0.43,97,0.4,2.0,22.7,Fr,4.20346,123.926,2.0,96.8,96.3665,33.7568,3.98383,1.86363,14.4865,10.8888,4,1.3684519,0.3226,101.732,3.84901,210.866,6.50756,4.92641,1.58114,5.84746,49.81
15895,2013,georges niang,116.7,57.7,59.86,6.2,14.2,14.6,0.7,119,0.572,38,0.9,1.5,32.8,Fr,3.35838,124.377,4.8,86.0,97.4618,25.0857,3.99989,1.00749,12.0571,6.32598,4,1.20755469,0.3486,100.858,2.44093,160.207,5.64999,5.20599,0.444004,5.00738,36.79
16071,2013,glenn robinson iii,128.0,60.9,62.41,7.8,11.2,5.7,0.676,139,0.65,23,0.8,1.9,36.8,Fr,4.78519,126.589,1.4,96.8,93.7873,33.6842,5.18654,1.84601,11.0,3.47075,4,1.32250547,0.4651,99.8725,3.71723,209.433,8.65256,6.45742,2.19513,7.03255,24.74
16122,2011,gorgui dieng,113.0,61.8,60.88,13.4,18.3,8.2,0.538,68,0.624,0,13.7,1.7,47.3,Fr,1.52568,114.777,5.6,91.6,84.0792,15.5517,1.73786,5.16395,5.6552,0.130427,4,0.70375941,0.4545,88.3349,2.2925,105.295,10.1501,1.03453,9.11561,6.90181,36.98
16207,2017,grant williams,107.6,52.5,57.01,12.2,12.8,9.4,0.663,116,0.518,12,7.7,1.7,73.3,Fr,3.00821,121.732,5.2,62.0,94.1575,25.4375,3.36824,2.5665,12.5625,2.17324,4,0.58064516,0.38,98.7246,3.08224,169.662,7.96014,2.93535,5.02479,5.93474,36.95
