,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,rimmade/(rimmade+rimmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
137,2014,aaron gordon,105.5,23.2,51.6,50.27,10.4,19.3,13.0,12.4,173,337,0.513,16,45,0.356,3.4,1.8,47.1,Fr,2.86228,115.064,99.6,83.3035,31.2368,3.32065,3.85299,2.6842,5.2895,7.9737,1.9737,0.8947,1.0263,12.3684,2.35011,0.6919,87.7492,4.96193,242.823,8.3179,2.89022,5.42768,7.17364,42.77
160,2016,aaron holiday,94.5,20.4,46.2,50.03,2.0,7.8,21.1,24.8,75,196,0.383,39,93,0.419,0.8,2.5,30.4,Fr,1.23495,99.2945,89.4,100.412,31.6562,-0.725836,1.40555,0.5938,2.4062,3.0,3.9688,1.4062,0.25,10.3438,5.10103,0.4789,106.87,3.09933,181.366,1.72579,0.364815,1.36097,0.679715,32.62
299,2012,abdel nader,78.5,31.2,38.1,41.91,4.0,17.4,12.6,23.8,74,214,0.346,34,114,0.298,4.1,1.7,26.8,Fr,0.11054,87.0027,51.6,106.773,24.4667,-3.45139,-1.56146,0.8667,3.3,4.1667,1.0,0.6667,0.7333,10.3333,9.83555,0.4776,105.971,1.66197,132.658,-5.40257,-4.89876,-0.503803,-5.01285,24.46
1024,2010,alec burks,117.0,26.8,56.7,62.49,8.5,11.9,13.5,14.0,144,250,0.576,19,54,0.352,1.5,2.2,59.9,Fr,5.0314,133.419,61.4,103.123,30.5357,6.88621,-0.745175,2.0,3.0,5.0,1.75,1.1786,0.4286,17.4286,3.62556,0.6438,107.773,2.46647,144.886,5.76966,6.04383,-0.274169,6.14104,37.54
1127,2013,alex caruso,87.7,20.4,41.3,45.13,3.9,12.4,27.9,29.2,49,117,0.419,13,49,0.265,2.3,4.9,45.2,Fr,0.504046,91.2602,83.2,90.3475,24.697,-1.46725,4.4019,0.7576,2.4848,3.2424,3.3939,1.8485,0.4545,5.5152,3.88495,0.5556,92.3065,2.97941,174.148,4.36197,-0.0689906,4.43096,2.93465,60.17
1459,2011,allen crabbe,112.6,18.3,54.5,58.2,2.4,15.9,12.2,14.0,77,157,0.49,62,155,0.4,1.5,1.6,29.5,Fr,3.26936,114.666,87.0,97.003,33.8387,4.55669,1.3861,0.6452,4.6774,5.3226,1.9677,0.9355,0.4516,13.3548,8.58841,0.7692,103.271,3.44425,193.591,5.91986,4.14199,1.77788,5.94279,28.9
1803,2012,andre drummond,100.7,20.8,53.8,50.93,14.2,15.5,3.4,16.0,157,290,0.541,0,2,0.0,9.9,1.8,30.1,Fr,2.01686,106.362,83.4,90.5331,28.4412,1.78075,2.5491,3.3529,4.2059,7.5588,0.4412,0.8235,2.7059,10.0,0.127848,0.7027,95.5401,3.4961,200.006,5.56709,0.789686,4.7774,4.32984,47.66
1870,2011,andre roberson,117.2,16.5,60.5,60.21,15.3,25.1,7.1,18.9,83,133,0.624,12,34,0.353,5.0,3.4,44.9,Fr,2.15498,114.568,69.6,92.0069,22.1622,3.07891,1.90349,2.7838,4.9189,7.7027,0.8919,1.2973,1.0811,6.5946,2.40767,0.6964,95.2651,2.65851,211.866,8.41442,4.37194,4.04248,4.9824,55.03
2115,2014,andrew wiggins,112.3,25.1,49.9,56.34,8.4,12.3,9.2,15.9,146,296,0.493,43,126,0.341,3.1,2.1,53.8,Fr,4.24085,125.836,100.0,94.4649,32.8,5.14855,1.8287,2.1714,3.6857,5.8571,1.5429,1.1714,0.9714,17.0571,6.31169,0.697,101.712,3.98001,206.932,7.14569,4.66538,2.48031,6.97725,42.88
2241,2013,anthony bennett,112.8,25.7,57.5,60.36,9.9,21.3,8.2,15.3,156,271,0.576,36,94,0.383,4.3,1.5,46.0,Fr,3.70621,124.606,99.0,85.8106,27.2353,5.93445,2.25506,2.3824,5.5882,7.9706,0.9118,0.7059,1.1765,15.7941,5.8596,0.7143,89.4038,3.77519,202.924,6.61092,3.58896,3.02196,8.18951,6.64
2295,2012,anthony davis,133.8,19.1,62.8,65.41,11.6,23.9,7.5,10.0,207,317,0.653,3,20,0.15,13.7,2.5,60.2,Fr,5.9035,138.825,100.0,75.7599,32.025,9.09614,7.56117,2.975,7.4,10.375,1.25,1.35,4.65,14.175,0.931259,0.8736,79.63,5.62176,360.572,17.668,7.54963,10.1184,16.6573,71.67
2813,2013,archie goodwin,96.9,27.2,46.4,50.91,5.6,10.4,16.8,21.0,140,293,0.478,17,64,0.266,1.4,2.1,59.4,Fr,2.61308,109.137,97.2,94.5801,31.7576,0.684581,0.273842,1.4545,3.1515,4.6061,2.6667,1.0909,0.4545,14.1212,3.60856,0.6023,97.7351,3.42587,179.703,0.778603,0.781192,-0.00258988,0.958423,17.86
3275,2012,austin rivers,104.8,24.0,50.5,53.84,2.2,9.2,13.0,17.0,116,243,0.477,58,159,0.365,0.1,1.7,45.8,Fr,3.41399,115.548,99.8,97.2284,33.2059,2.7958,0.279199,0.6176,2.7647,3.3824,2.0882,0.9706,0.0294,15.5,8.19759,0.5816,102.8,3.33088,176.149,2.9406,2.9932,-0.0526018,3.075,28.16
3365,2010,avery bradley,105.2,19.0,48.9,49.58,3.5,6.6,12.4,14.6,117,256,0.457,42,112,0.375,1.6,2.4,17.9,Fr,2.32709,108.707,99.4,92.5408,29.5,1.96455,2.09962,0.9706,1.9118,2.8824,2.0882,1.2941,0.5294,11.6471,6.00258,0.5281,97.7023,3.43879,176.727,5.12429,3.17971,1.94458,4.06416,34.33
3691,2013,ben mclemore,118.7,22.0,58.6,63.26,5.0,12.3,12.6,17.2,125,226,0.553,73,174,0.42,2.2,1.8,34.5,Fr,4.47541,125.989,92.4,87.3941,32.1892,6.59953,2.901,1.2703,3.9189,5.1892,1.973,1.0,0.6757,15.9189,8.57278,0.7143,92.3885,4.22994,216.163,8.47939,5.6772,2.80219,9.50053,24.68
3731,2016,ben simmons,112.9,28.2,56.1,59.95,9.6,26.8,27.4,18.6,215,383,0.561,1,3,0.333,2.5,3.1,76.9,Fr,4.96514,129.255,100.0,93.3664,34.8788,6.65406,3.18062,3.1212,8.6364,11.7576,4.7879,1.9697,0.8182,19.1515,0.141684,0.7227,97.3738,4.27519,290.86,10.2899,5.24639,5.04354,9.83468,62.54
4125,2014,bobby portis,116.1,21.3,52.4,56.18,10.2,16.8,11.0,11.6,152,283,0.537,9,33,0.273,5.9,2.1,37.3,Fr,3.11085,122.001,96.8,91.4703,27.0,4.49478,2.50127,2.5294,4.2353,6.7647,1.4706,1.0294,1.5882,12.2941,1.98612,0.7581,94.564,3.5283,203.379,7.05452,2.68809,4.36643,6.99605,35.43
4258,2012,bradley beal,112.3,22.4,52.5,57.45,4.8,18.1,12.7,17.0,112,207,0.541,63,186,0.339,2.6,2.5,44.0,Fr,4.31343,122.37,99.4,92.1814,34.2432,5.27745,2.28623,1.3514,5.3784,6.7297,2.2432,1.3784,0.8378,14.7568,8.98698,0.6496,95.4954,4.01915,257.355,8.02626,5.01541,3.01084,7.56367,52.75
4529,2016,brandon ingram,112.1,24.6,52.5,55.25,6.1,15.4,11.3,13.7,134,289,0.464,80,195,0.41,3.6,1.9,35.1,Fr,4.30177,123.987,99.6,95.9335,34.6111,5.53645,1.26317,1.8611,4.9167,6.7778,1.9722,1.1111,1.3611,17.3333,9.11171,0.5897,103.403,3.93885,237.974,6.30806,4.07465,2.23341,6.79962,39.99
4558,2011,brandon knight,107.8,26.7,50.8,55.28,2.2,10.2,23.4,19.8,130,282,0.461,87,231,0.377,0.6,1.1,33.3,Fr,4.52621,122.747,99.2,94.5951,35.8684,4.36431,0.220269,0.6579,3.3684,4.0263,4.1842,0.6579,0.2105,17.2895,10.2095,0.5556,100.305,4.01095,204.602,4.48048,4.60756,-0.127072,4.58458,30.42
5301,2017,bruce brown,111.5,21.5,51.5,55.94,5.6,15.3,20.7,18.2,101,197,0.513,33,95,0.347,1.9,2.9,41.4,Fr,3.36313,118.28,94.6,90.4539,31.9091,3.79755,3.87151,1.4545,4.1818,5.6364,3.2121,1.4848,0.5455,11.8485,5.53894,0.625,96.8412,4.24455,203.422,8.428,4.16616,4.26184,7.66906,48.85
5613,2013,buddy hield,97.2,20.4,43.3,46.66,8.2,10.5,14.6,19.0,62,129,0.481,19,80,0.237,1.1,2.9,17.2,Fr,1.43344,101.671,69.0,94.38,25.1481,2.00583,2.14511,1.8148,2.3704,4.1852,1.8519,1.2222,0.2593,7.8148,7.03279,0.5694,98.1422,2.7509,126.883,5.5261,3.10463,2.42148,4.15094,43.6
5890,2019,cam reddish,96.4,23.6,45.9,49.88,2.0,10.6,10.7,20.7,65,165,0.394,89,267,0.333,1.9,2.9,26.4,Fr,2.06068,107.457,99.8,88.501,29.6944,0.680393,2.3503,0.5556,3.1389,3.6944,1.9444,1.5556,0.5833,13.4722,13.5688,0.5125,94.4086,4.22023,209.227,3.18676,1.24477,1.942,3.03069,23.64
6017,2016,cameron johnson,110.4,19.2,50.8,53.55,4.3,14.3,8.1,13.1,21,49,0.429,28,75,0.373,1.5,1.5,19.4,Fr,0.996308,112.983,55.4,96.1903,11.5484,1.96066,0.854354,0.4194,1.4194,1.8387,0.4839,0.2903,0.1613,4.6774,12.5991,0.5909,102.44,1.30257,62.4147,2.4976,2.06979,0.42781,2.81501,62.62
6083,2014,cameron payne,108.5,29.6,48.2,53.08,0.9,10.8,34.1,19.3,112,247,0.453,71,206,0.345,1.7,2.8,32.9,Fr,3.35489,117.836,28.4,103.862,33.0,3.16663,0.268735,0.2812,3.3438,3.625,5.3438,1.5938,0.5938,17.375,11.4302,0.5221,103.643,2.93387,196.42,2.94997,3.04498,-0.0950023,3.43537,38.32
6193,2013,caris levert,93.2,15.3,38.8,39.73,2.1,9.9,11.5,11.5,15,46,0.326,13,43,0.302,0.6,1.1,15.7,Fr,0.28454,92.9324,52.4,95.7402,10.7879,-2.26335,0.530778,0.1818,0.9091,1.0909,0.7576,0.1818,0.0606,2.303,7.55634,0.4167,102.01,1.11645,52.7172,0.458004,0.518265,-0.0602611,-1.73257,41.56
7840,2014,christian wood,105.4,18.5,45.7,50.51,7.3,18.6,5.1,13.2,37,67,0.552,11,50,0.22,6.8,1.5,29.9,Fr,0.722686,104.463,90.4,91.1127,13.0,-0.194655,3.11571,0.8667,2.3667,3.2333,0.3333,0.3333,0.9667,4.5,7.6291,0.6977,92.8605,1.72555,85.7321,3.21582,-0.246291,3.46211,2.92105,28.79
8033,2010,cj mccollum,115.6,27.0,54.1,59.33,5.1,12.3,17.1,13.2,131,271,0.483,72,171,0.421,0.7,2.3,42.8,Fr,4.06522,122.751,9.8,104.864,31.8788,6.72617,-0.500785,1.3939,3.6061,5.0,2.3939,1.303,0.2121,19.1212,9.24141,0.6404,100.137,2.37594,201.573,4.28034,5.38232,-1.10198,6.22539,55.76
8242,2019,coby white,108.7,26.1,51.6,55.56,1.3,11.4,24.4,19.0,106,211,0.502,82,233,0.352,1.3,2.0,29.3,Fr,3.69748,124.886,95.2,92.0853,28.5714,4.71988,2.32854,0.3429,3.2,3.5429,4.0857,1.0857,0.3143,16.0571,12.289,0.6667,98.1201,3.69208,202.343,6.65559,4.90054,1.75505,7.04842,32.28
8292,2015,cody martin,96.6,22.2,47.5,48.45,8.9,10.5,21.8,23.1,28,52,0.538,0,7,0.0,2.9,2.6,28.8,Fr,0.68723,105.024,85.6,92.9989,11.3684,-0.0183298,3.37165,0.8947,1.1053,2.0,1.2105,0.4737,0.3158,3.4211,1.99696,0.6111,99.4463,1.33955,40.1655,4.33724,1.48188,2.85536,3.35332,47.44
8314,2012,cody zeller,127.0,24.2,62.3,66.45,11.3,16.8,9.5,14.4,200,321,0.623,0,0,0.0,4.3,2.9,67.3,Fr,5.39068,140.263,98.2,89.7389,28.4722,7.89301,3.05051,2.4167,4.1389,6.5556,1.25,1.3611,1.1667,15.6389,0.0,0.7087,94.7906,3.61699,222.304,11.0667,7.50783,3.55883,10.9435,38.74
8456,2018,collin sexton,109.6,32.5,49.8,56.66,4.0,9.7,27.8,16.2,152,307,0.495,44,131,0.336,0.3,1.6,57.5,Fr,4.74253,133.448,99.2,98.1274,29.9394,5.4363,0.599108,1.0303,2.7273,3.7576,3.6061,0.8485,0.0909,19.1515,7.50048,0.5659,104.341,3.25388,159.716,4.68534,5.11524,-0.429909,6.03541,27.55
8845,2011,cory joseph,110.9,16.8,50.3,52.57,2.2,9.5,17.3,16.1,84,196,0.429,52,126,0.413,0.9,1.9,22.7,Fr,2.66713,110.158,98.0,89.5381,32.3889,2.52065,3.02652,0.6389,2.9167,3.5556,3.0278,1.0278,0.3056,10.4167,6.30356,0.4795,94.0606,4.17314,198.743,6.62528,3.74323,2.88205,5.54717,39.65
9301,2014,damian jones,97.6,23.9,54.3,54.93,8.7,15.9,2.3,17.9,138,254,0.543,0,0,0.0,5.7,0.7,52.8,Fr,1.63101,106.601,82.8,95.9152,25.9032,-1.40558,1.2689,1.8387,3.8387,5.6774,0.2258,0.2903,1.3871,11.2581,0.0,0.7192,99.2836,3.01095,147.891,-1.63408,-2.90994,1.27587,-0.136676,25.69
9337,2012,damion lee,113.0,21.8,55.4,59.14,4.3,13.9,14.2,17.3,79,145,0.545,63,168,0.375,1.3,1.9,35.1,Fr,3.07825,116.349,50.8,93.7447,28.9444,4.54983,1.86927,0.9722,3.3889,4.3611,1.7222,0.8333,0.3333,12.0,10.5383,0.6337,92.1642,3.27464,180.523,5.69996,4.36049,1.33947,6.4191,28.96
9395,2013,damyean dotson,104.9,19.7,50.3,52.26,3.7,11.1,6.8,14.5,116,228,0.509,47,143,0.329,0.5,1.9,17.5,Fr,2.22854,108.682,47.8,91.684,27.8649,2.41829,1.61811,0.8649,2.6486,3.5135,0.8919,0.9189,0.1351,11.3514,8.02384,0.6703,94.751,3.25378,173.614,2.84644,1.6319,1.21453,4.0364,12.27
9512,2015,d'angelo russell,113.6,29.9,54.1,57.29,3.6,15.4,30.1,17.3,136,284,0.479,95,231,0.411,1.1,2.8,30.3,Fr,5.28622,132.576,97.0,89.143,33.9429,8.22413,2.70618,1.0,4.6571,5.6571,5.0,1.5714,0.3143,19.2857,11.6594,0.6364,93.834,4.47433,233.345,9.16316,6.8867,2.27646,10.9303,43.5
9577,2018,daniel gafford,115.9,23.8,60.5,59.43,11.2,20.0,6.0,11.0,164,271,0.605,0,0,0.0,11.5,1.4,59.4,Fr,3.07368,127.463,92.4,94.1192,22.5714,3.57638,2.30227,2.1714,4.0,6.1714,0.6857,0.5429,2.1714,11.8,0.0,0.7882,99.7084,2.73771,183.187,7.68631,2.60176,5.08454,5.87864,37.25
10794,2017,de'aaron fox,110.7,27.6,49.7,54.81,2.1,12.2,28.6,15.8,197,379,0.52,17,69,0.246,0.7,2.7,47.1,Fr,4.05821,127.361,99.0,90.564,29.5556,3.96048,3.21261,0.5833,3.3889,3.9722,4.5833,1.4722,0.1944,16.6944,3.46517,0.6453,96.0513,3.93508,219.063,7.14293,4.40484,2.73808,7.17309,41.13
10810,2018,deandre ayton,126.7,26.2,62.5,64.98,13.5,28.2,10.2,13.1,264,416,0.635,12,35,0.343,6.1,1.0,42.4,Fr,6.07019,140.786,99.4,93.9647,33.4857,8.02725,1.87637,3.3714,8.2,11.5714,1.6286,0.5714,1.8857,20.1143,1.74757,0.8079,97.464,4.06491,265.783,8.89899,5.46564,3.43335,9.90362,46.85
10846,2018,de'andre hunter,115.1,25.4,53.8,58.37,7.6,14.9,11.8,12.3,83,158,0.525,21,55,0.382,2.7,1.9,46.0,Fr,2.81773,128.74,82.0,84.9856,19.9091,4.85204,3.63825,1.1515,2.3939,3.5455,1.0909,0.5758,0.3939,9.1818,5.54977,0.6,89.8999,3.06007,116.054,7.10848,3.7128,3.39568,8.49029,33.01
10904,2017,de'anthony melton,108.0,19.1,48.3,53.05,6.0,13.6,22.5,19.7,80,157,0.51,21,74,0.284,3.9,4.1,47.2,Fr,1.9861,109.064,73.4,94.7375,27.0,2.28814,4.04456,1.3889,3.3333,4.7222,3.4722,1.9167,1.0278,8.3333,4.35535,0.6262,99.2402,3.19273,219.037,7.1726,2.76649,4.40611,6.33269,54.3
11019,2016,dejounte murray,97.8,26.0,45.1,48.51,4.1,13.7,25.7,19.0,168,368,0.457,34,118,0.288,0.8,2.8,34.2,Fr,2.44351,109.327,90.4,96.4446,33.5,1.73456,1.16724,1.4118,4.5588,5.9706,4.4706,1.8235,0.2941,16.1176,5.29374,0.6024,100.785,3.71125,243.083,3.43709,1.76825,1.66884,2.9018,60.76
11095,2010,demarcus cousins,113.5,30.8,56.0,57.93,19.9,24.9,9.2,16.0,205,363,0.565,1,6,0.167,7.5,2.4,72.6,Fr,3.90491,134.082,99.6,79.3387,23.5,6.16153,3.4411,4.0526,5.7895,9.8421,1.0,0.9737,1.7632,15.1316,0.377922,0.7619,83.3244,3.80857,242.468,9.60971,4.65779,4.95191,9.60263,58.71
11291,2017,dennis smith jr,109.5,28.2,52.0,56.31,2.7,11.5,34.2,19.0,136,267,0.509,55,153,0.359,1.2,3.1,47.6,Fr,4.58556,126.048,98.8,102.69,34.8125,5.32612,0.677925,0.8125,3.75,4.5625,6.1562,1.9375,0.4375,18.125,7.59832,0.6398,107.928,3.14567,219.89,6.39739,5.8068,0.590582,6.00404,22.16
11349,2013,denzel valentine,94.6,18.7,49.3,51.61,6.6,16.2,22.3,30.5,51,95,0.537,16,57,0.281,1.9,2.3,25.7,Fr,0.970233,98.6875,77.8,85.9432,20.8,0.67855,3.08766,1.0857,2.9714,4.0571,2.4,0.7714,0.3429,5.0286,4.85983,0.5962,92.1638,2.8842,135.487,5.31999,1.47285,3.84713,3.76621,29.46
11578,2010,derrick favors,109.0,21.8,61.5,62.31,12.5,20.2,7.3,22.9,177,287,0.617,0,1,0.0,7.8,1.8,47.6,Fr,3.13216,118.341,100.0,84.2157,27.7714,3.82367,3.68395,3.0571,5.5714,8.6286,0.9429,0.8857,2.0571,12.5714,0.0579349,0.7829,88.5618,4.06076,235.754,8.92075,2.8466,6.07414,7.50762,47.17
11594,2016,derrick jones jr,111.7,22.2,60.2,60.9,7.9,13.5,8.2,14.7,105,155,0.677,7,37,0.189,6.1,1.8,64.1,Fr,2.06904,116.213,90.6,95.4585,21.3571,1.60142,2.13655,1.5714,2.7143,4.2857,0.7857,0.7143,1.3214,10.8929,3.34286,0.744,97.6519,2.44978,125.595,4.34856,1.36663,2.98192,3.73797,42.99
11636,2010,derrick williams,113.9,26.2,58.2,61.96,9.7,19.7,6.3,15.3,158,266,0.594,4,16,0.25,2.4,1.3,82.3,Fr,4.11243,128.726,81.4,95.3585,28.2258,5.3733,0.437828,2.1935,4.871,7.0645,0.7097,0.6129,0.6452,15.6774,1.06838,0.7588,100.867,2.97851,169.828,3.17199,2.95105,0.220942,5.81113,12.75
11903,2015,devin booker,121.0,20.5,57.1,60.02,2.6,7.8,10.9,13.8,77,146,0.527,58,141,0.411,0.3,1.3,22.3,Fr,3.01039,128.123,95.8,86.245,21.5,5.91621,2.31563,0.4474,1.5526,2.0,1.1053,0.4474,0.0526,10.0263,10.7706,0.7119,91.0701,3.04056,117.322,6.83479,5.679,1.15579,8.23184,49.86
11907,2010,devin booker,100.4,20.5,56.1,56.09,10.8,17.6,5.4,22.3,60,106,0.566,0,1,0.0,1.1,1.9,42.1,Fr,0.83479,106.529,80.6,88.4566,11.5625,-0.193589,0.778677,1.125,1.8125,2.9375,0.3125,0.375,0.125,4.5,0.152589,0.7903,92.3856,1.52656,72.6499,0.392226,-0.203306,0.595532,0.585088,49.86
12216,2015,devonte' graham,106.1,18.9,46.6,53.56,1.8,7.1,23.0,20.1,29,77,0.377,17,40,0.425,0.0,2.9,65.0,Fr,1.58939,113.177,80.4,92.3543,17.8276,1.54818,2.87605,0.2759,1.2069,1.4828,2.1034,0.8621,0.0,5.6552,4.60748,0.5,99.4843,2.15884,84.8161,4.0802,2.87547,1.20473,4.42422,46.5
