,year,player_name,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,pfr,Rec Rank,adrtg,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,unk,season,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,dporpag,stops,bpm,obpm,dbpm,gbpm,rating
16881,2011,ian clark,119.6,20.5,59.6,62.04,2.2,8.8,14.8,16.9,0.818,78,144,0.542,72,168,0.429,0.8,2.9,21.2,So,2.72804,118.448,3.5,36.8,94.0227,24.6,4.48637,1.95302,0.4571,1.8286,2.2857,1.8,1.2286,0.1714,12.1714,11.2002,3,1.21155007,0.6353,0.4068,91.5024,2.78886,158.805,5.30879,3.91719,1.3916,6.43938,19.62
17026,2010,iman shumpert,94.0,21.4,44.5,48.24,3.5,9.0,24.3,27.0,0.72,63,155,0.406,37,111,0.333,0.6,3.5,28.2,So,1.73453,102.029,3.1,95.6,87.57,30.6552,0.801949,2.76395,0.931,2.7241,3.6552,4.0,1.8966,0.1724,10.0345,7.03017,3,1.27473784,0.5862,0.299,94.1602,4.14162,175.644,4.66335,1.9912,2.67216,3.5659,43.29
17377,2010,isaiah thomas,108.7,26.0,48.8,53.99,2.1,11.9,19.5,16.1,0.732,121,249,0.486,65,199,0.327,0.3,1.9,47.5,So,3.85141,121.522,2.5,57.6,92.7601,31.1143,5.09193,1.31994,0.5714,3.3429,3.9143,3.1714,1.0571,0.0857,16.9429,10.0546,3,1.33735343,0.6348,0.3582,98.0477,3.63033,196.57,5.37921,4.60979,0.769427,6.41187,46.08
18282,2014,jakarr sampson,101.6,24.2,49.6,50.8,8.0,15.5,8.9,13.2,0.565,180,361,0.499,1,5,0.2,3.6,1.3,29.5,So,2.13386,109.916,3.8,92.6,94.9966,29.0,0.890922,0.846334,2.0606,4.0606,6.1212,1.1818,0.6364,0.9697,12.8485,0.307399,3,0.7499683,0.6667,0.3982,99.6889,3.42566,169.44,1.27807,-0.0463676,1.32444,1.73726,36.93
18376,2014,jake layman,109.7,18.1,49.8,52.92,4.6,13.1,6.0,11.8,0.719,64,145,0.441,61,167,0.365,2.9,2.0,28.5,So,2.64691,112.616,2.6,86.4,94.2576,31.75,2.74994,2.51604,1.2812,3.6875,4.9688,0.9375,1.0625,0.8438,11.7188,9.68436,3,0.81084584,0.6364,0.2206,98.9712,3.85775,185.87,5.68745,2.5392,3.14825,5.26598,23.55
18545,2017,jalen brunson,125.7,23.5,60.4,65.5,2.1,7.9,26.1,17.2,0.876,141,227,0.621,42,111,0.378,0.0,1.7,40.5,So,5.35828,137.426,2.1,95.8,95.1758,31.1111,5.70354,1.48663,0.4722,2.1111,2.5833,4.1111,0.8889,0.0,14.6667,6.0539,3,1.99995152,0.7323,0.48,100.582,3.64433,169.441,6.19516,5.97123,0.22393,7.19017,49.58
19496,2010,jamychal green,101.7,29.4,49.5,54.09,11.9,18.5,9.3,19.4,0.695,162,322,0.503,0,5,0.0,6.8,2.0,50.2,So,2.9825,117.557,4.6,97.4,89.8915,27.0,2.2648,1.72935,2.7742,4.3871,7.1613,1.0645,0.871,1.6774,14.129,0.360474,3,0.41771308,0.596,0.4211,94.4698,3.4303,175.499,4.28597,0.560749,3.72522,3.99415,31.78
19670,2012,jared sullinger,117.8,27.3,53.8,59.11,12.5,24.0,8.6,13.7,0.768,212,399,0.531,16,40,0.4,4.0,2.3,51.9,So,5.15664,134.663,3.9,99.4,79.3279,30.3514,7.08523,3.45719,3.1351,6.0541,9.1892,1.2432,1.1622,1.0541,17.4865,2.10795,3,0.64787114,0.6821,0.4159,85.165,4.95219,259.854,10.0557,5.46551,4.59023,10.5424,50.12
20749,2011,jeff withey,109.0,19.8,64.7,61.4,15.4,17.2,5.2,21.2,0.515,22,34,0.647,0,0,0.0,12.5,1.8,97.1,So,0.539919,111.234,6.7,94.6,82.9724,6.2308,0.100703,4.76035,0.7692,1.0,1.7692,0.1923,0.1923,0.7308,2.3462,0.0,3,0.41668475,0.625,0.7,86.8141,0.950334,39.9367,9.71848,1.90914,7.80934,4.86106,41.04
20853,2014,jerami grant,115.6,21.4,49.6,54.74,9.1,17.2,9.4,11.3,0.674,133,263,0.506,0,5,0.0,2.5,1.7,66.4,So,3.74525,122.944,3.0,90.6,92.424,31.4062,3.38554,1.83139,2.4375,4.3438,6.7812,1.375,0.8125,0.5625,12.0625,0.326018,3,1.18924056,0.6822,0.3333,97.8648,4.02905,166.665,4.63048,2.57061,2.05987,5.21693,35.63
21027,2012,jeremy lamb,115.4,22.2,55.6,58.95,3.0,11.1,10.1,15.0,0.81,146,243,0.601,71,211,0.336,1.7,2.1,26.7,So,4.89767,124.025,1.8,83.0,96.2073,37.2353,5.58128,1.55189,0.9412,3.9412,4.8824,1.7059,1.2353,0.6176,17.7353,10.2954,3,0.85294998,0.7882,0.5,101.528,3.85197,207.755,6.13466,5.05687,1.07779,7.13317,44.46
21118,2012,jerian grant,110.9,21.2,46.8,53.38,1.8,7.5,29.5,15.6,0.819,67,165,0.406,57,161,0.354,0.5,2.3,42.3,So,3.89113,117.103,1.9,78.0,97.0918,36.2353,3.49639,1.59878,0.5294,2.3235,2.8529,4.9706,1.2941,0.1765,12.2941,8.46803,3,2.68260567,0.5227,0.2727,101.214,3.62534,184.449,4.42374,4.13945,0.284283,5.09517,33.12
21407,2016,jevon carter,108.6,18.1,45.9,50.04,2.7,9.7,21.2,18.3,0.744,67,146,0.459,44,144,0.306,1.3,3.4,31.0,So,2.24382,111.419,3.5,40.4,88.6899,27.7143,2.22933,4.1302,0.7143,2.1429,2.8571,3.2571,1.6857,0.2857,9.5143,8.23569,3,1.96554232,0.5556,0.2982,94.4959,3.84502,188.712,6.56458,3.24126,3.32331,6.35953,32.8
21687,2012,joe harris,109.2,21.1,53.1,56.97,4.1,12.1,13.0,14.7,0.772,72,145,0.497,49,129,0.38,1.5,1.6,33.6,So,2.92388,113.636,2.8,73.8,88.0788,30.2812,3.56301,2.46983,0.9062,2.9688,3.875,1.7188,0.7188,0.375,11.3125,8.72908,3,1.19568692,0.5571,0.44,90.7005,4.0056,158.299,5.90135,3.14758,2.75377,6.03284,41.05
21978,2017,john collins,124.8,29.2,62.2,65.76,16.4,25.7,4.5,13.2,0.745,234,375,0.624,0,1,0.0,6.6,1.3,58.5,So,5.34367,145.671,4.5,63.2,97.0491,26.6061,9.03017,0.214696,3.7576,6.0606,9.8182,0.5152,0.6364,1.5758,19.1515,0.0631074,3,0.27871248,0.7534,0.443,103.87,2.94366,198.91,6.78591,5.72858,1.05733,9.24487,46.6
22076,2011,john henson,98.1,23.4,50.1,50.18,12.7,25.3,5.8,17.9,0.479,181,358,0.506,1,6,0.167,11.6,1.2,39.0,So,1.95458,107.406,2.6,99.2,79.6651,26.7297,2.6459,4.67848,3.2432,6.8649,10.1081,0.8108,0.5946,3.1892,11.7027,0.33098,3,0.39472275,0.7361,0.3505,85.5676,4.36888,277.396,8.32823,0.14168,8.18655,7.32438,31.87
22785,2012,jordan clarkson,106.6,27.0,49.1,54.92,4.2,9.6,18.9,18.0,0.784,124,269,0.461,43,115,0.374,1.7,1.7,44.5,So,3.72435,118.221,2.8,59.0,98.2903,33.9355,4.09154,0.330241,1.129,2.7419,3.871,2.5484,0.9355,0.5484,16.4839,6.74348,3,0.95181886,0.6055,0.3625,99.5635,3.21334,169.865,3.15136,3.26734,-0.11598,4.42178,44.77
22953,2016,jordan hill,98.0,12.3,47.7,48.41,3.5,7.4,10.1,20.7,0.667,16,36,0.444,17,51,0.333,0.2,1.2,6.9,So,0.153136,90.7672,3.8,29.6,98.5117,15.5667,-2.38154,1.2792,0.4667,0.9333,1.4,0.8,0.3,0.0333,2.9,6.82247,3,1.26322439,0.7273,0.32,104.244,1.63775,64.0019,0.415645,-0.664648,1.08029,-1.10234,31.26
23066,2016,jordan mclaughlin,112.6,21.0,55.1,57.88,1.7,10.2,25.6,19.3,0.738,106,213,0.498,56,132,0.424,0.4,2.8,29.9,So,3.4455,119.063,1.2,91.6,98.2773,32.3529,3.96535,1.77158,0.5,3.2647,3.7647,4.6765,1.6176,0.1471,13.4118,6.59203,3,1.96293644,0.6531,0.3684,102.486,3.39439,205.14,5.76842,4.52817,1.24025,5.73693,39.79
23125,2019,jordan poole,108.4,20.0,53.8,57.32,0.8,9.4,13.0,14.1,0.833,86,166,0.518,75,203,0.369,0.7,2.0,24.4,So,3.22261,115.578,2.4,81.6,88.1995,33.027,2.46928,3.61508,0.2162,2.7568,2.973,2.1622,1.0811,0.2162,12.7568,10.217,3,1.42860919,0.7079,0.2987,92.5991,4.72841,204.665,7.31086,3.85039,3.46047,6.08437,47.22
23668,2015,josh hart,125.3,18.7,62.2,63.57,9.0,12.1,11.6,13.6,0.67,72,129,0.558,52,112,0.464,1.7,2.7,40.2,So,3.6116,128.518,3.3,84.4,88.997,25.4722,6.63831,2.76788,1.8056,2.6667,4.4722,1.4722,1.1111,0.3889,10.1389,7.5079,3,1.39465704,0.7,0.3061,93.3926,3.37121,167.805,10.3898,7.28336,3.10639,9.40619,47.53
23803,2018,josh okogie,107.9,26.8,47.5,55.04,7.3,13.1,15.6,15.7,0.821,95,220,0.432,38,100,0.38,2.8,2.9,50.6,So,4.48367,123.506,3.2,63.8,95.767,36.375,5.20362,1.90724,2.25,4.0,6.25,2.4583,1.75,0.9583,18.2083,6.88648,3,0.9671874,0.5354,0.2903,100.756,4.22922,163.453,5.45468,3.60459,1.85009,7.11086,39.78
23836,2013,josh richardson,101.2,16.0,49.1,52.61,4.8,11.9,10.8,21.3,0.692,90,169,0.533,9,42,0.214,2.4,2.2,37.0,So,1.4916,99.4603,3.2,51.0,95.5386,30.697,0.775931,2.63265,1.2424,3.0909,4.3333,1.5455,1.0606,0.697,7.9091,2.59962,3,0.92728148,0.6176,0.4752,98.0097,3.18618,179.503,4.81439,1.70164,3.11275,3.40858,42.31
23880,2014,josh smith,74.5,14.9,35.2,37.57,6.2,18.3,3.5,23.9,0.5,19,54,0.352,0,0,0.0,2.2,0.4,33.3,So,-0.572087,71.4229,5.2,57.2,91.425,9.9667,-7.01798,1.0736,0.5,1.6,2.1,0.1667,0.0667,0.2,1.5667,0.0,3,0.31258206,0.4762,0.2727,95.4866,1.29614,49.8325,-4.77036,-6.13367,1.36332,-5.94439,36.73
24431,2014,justin anderson,100.9,22.9,47.0,51.58,4.2,14.1,14.9,18.4,0.716,66,134,0.493,30,102,0.294,4.2,1.1,40.3,So,1.58796,109.653,2.9,90.2,87.8731,21.5135,2.36992,3.19397,0.7027,2.5405,3.2432,1.4595,0.3514,0.7568,7.8378,8.42972,3,1.05883632,0.6441,0.3784,92.4161,3.11072,135.667,5.60824,1.57329,4.03494,5.56389,30.61
24598,2010,justin hamilton,120.4,14.5,61.7,64.27,13.9,13.4,2.9,17.8,0.7,74,120,0.617,0,0,0.0,4.8,0.7,58.3,So,2.10755,114.579,4.3,61.4,93.9418,21.3871,2.05068,2.02226,2.6774,2.7097,5.3871,0.3226,0.2581,1.0645,6.3548,0.0,3,0.33336778,0.6923,0.5588,100.782,2.37825,121.196,5.18199,2.59318,2.58881,4.07293,28.01
24629,2018,justin jackson,91.3,24.2,41.6,47.05,11.1,21.1,12.6,24.5,0.828,27,61,0.443,10,40,0.25,3.0,1.7,28.7,So,1.0433,98.1542,1.9,83.8,95.4628,29.3636,0.207988,1.13622,2.4545,5.6364,8.0909,1.9091,0.8182,0.8182,9.8182,7.44271,3,0.65625108,0.5135,0.3636,96.6583,3.4239,68.625,2.36442,-0.419034,2.78346,1.34421,20.83
24632,2016,justin jackson,119.0,20.4,50.8,52.75,7.2,7.9,16.3,10.6,0.667,159,296,0.537,35,120,0.292,1.6,1.3,23.1,So,3.70958,125.596,2.4,98.4,98.0059,28.375,5.44043,1.10563,1.775,2.125,3.9,2.775,0.625,0.425,12.175,6.02863,3,2.58139532,0.6711,0.4041,105.018,3.04754,174.176,7.21066,6.01219,1.19846,6.54606,20.83
24636,2012,justin jackson,96.6,16.9,52.0,52.55,10.1,12.6,9.7,25.9,0.523,77,141,0.546,0,7,0.0,8.2,2.6,43.9,So,0.769453,96.3615,5.9,68.8,88.8726,21.0811,-2.20804,4.55853,1.9459,2.2703,4.2162,1.0541,0.8919,1.6486,5.0811,0.556863,3,0.70911538,0.6091,0.3226,91.8662,2.70487,157.479,6.74787,-0.254808,7.00268,2.35049,20.83
25454,2011,kawhi leonard,108.7,27.7,46.3,50.78,11.4,25.9,16.4,15.1,0.759,175,371,0.472,23,81,0.284,1.9,2.8,32.1,So,4.17759,123.012,3.1,88.8,81.558,33.0,5.00299,3.27279,3.1765,7.5294,10.7059,2.5588,1.4706,0.5882,15.5588,4.51629,3,1.15998007,0.7959,0.3566,85.3916,5.15728,263.03,8.2352,3.75988,4.47532,8.27578,91.64
25623,2016,keita bates diop,109.4,18.7,51.1,54.91,5.2,16.5,7.2,13.5,0.787,105,200,0.525,36,111,0.324,4.3,1.4,28.6,So,2.52077,111.233,2.3,94.4,94.5038,31.5152,2.71356,2.10802,1.4545,4.9091,6.3636,1.0909,0.7273,1.2424,11.7576,6.25346,3,0.80001462,0.7174,0.3611,98.079,3.72544,203.288,4.71681,1.67119,3.04562,4.82157,33.11
25833,2010,kemba walker,106.2,23.7,45.4,52.54,3.1,9.5,29.2,20.2,0.767,114,265,0.43,38,112,0.339,1.2,3.4,53.6,So,3.80355,116.858,2.0,97.8,91.2576,35.2059,3.36942,2.77856,0.9412,3.3235,4.2647,5.0588,2.0588,0.4412,14.6176,5.41972,3,1.73734473,0.5804,0.3165,97.6606,4.30595,225.079,5.87157,3.95604,1.91554,6.14797,63.31
26115,2010,kent bazemore,99.5,21.0,50.4,50.55,4.7,13.5,24.5,23.0,0.486,111,217,0.512,9,30,0.3,2.1,4.4,44.9,So,1.48845,101.814,3.6,21.6,84.262,26.75,0.825497,5.63023,1.1111,3.0556,4.1667,3.3611,1.8611,0.4722,8.4167,1.96027,3,1.63509441,0.6944,0.3303,86.69,3.90751,206.619,6.87362,1.49319,5.38043,6.45573,39.84
26119,2013,kentavious caldwell pope,112.7,27.2,53.0,57.91,4.3,19.7,16.8,13.8,0.799,102,205,0.498,84,225,0.373,1.9,3.8,39.3,So,4.93099,127.771,2.6,97.8,87.0285,33.9375,8.44938,3.88088,1.1562,5.9062,7.0625,1.8125,2.0312,0.5312,18.4688,13.215,3,0.90625,0.6702,0.3482,89.8474,4.50765,245.772,10.4573,7.10835,3.34899,12.3303,44.9
26386,2018,kevin huerter,116.3,21.5,61.1,63.6,3.9,13.1,20.0,20.4,0.763,87,145,0.6,70,169,0.414,2.1,1.1,30.9,So,4.34565,124.433,2.8,87.2,97.7407,34.3438,5.57339,1.52889,0.9688,4.0625,5.0312,3.375,0.625,0.6562,14.75,9.52558,3,1.35,0.7105,0.4776,102.028,3.76114,183.882,7.2145,5.37478,1.83972,7.10227,46.01
26726,2013,khem birch,109.9,17.0,56.3,59.06,12.0,16.3,5.3,18.6,0.642,67,119,0.563,0,0,0.0,12.0,1.8,68.1,So,1.78585,108.916,3.7,97.4,82.3431,21.8462,2.02006,5.2956,2.3077,3.4231,5.7308,0.5769,0.6923,2.6154,7.1538,0.0,3,0.48385475,0.7059,0.3725,86.5249,3.28637,137.393,9.21504,0.686356,8.52869,7.31565,33.04
26737,2011,khris middleton,107.6,27.5,50.9,56.1,8.1,13.4,23.6,21.0,0.779,117,240,0.487,38,102,0.373,0.2,2.4,42.4,So,3.60291,121.486,2.8,79.8,92.3172,29.9375,5.84468,1.86073,1.9375,3.3125,5.25,2.8125,1.1562,0.0625,14.4062,6.68936,3,1.02272727,0.6087,0.4082,95.4313,3.54006,170.441,6.67313,4.3717,2.30143,7.70541,57.49
26967,2010,klay thompson,102.3,29.2,48.7,53.73,4.0,13.3,15.0,19.8,0.801,118,263,0.449,73,204,0.358,2.2,2.4,34.5,So,3.82694,117.516,2.7,91.8,100.12,35.2667,3.88801,-0.18377,1.1667,3.9,5.0667,2.2,1.4,0.7,19.4667,11.4471,3,0.64078293,0.6118,0.3593,103.367,3.17592,192.948,2.79355,2.55868,0.234873,3.70424,56.43
27161,2015,kris dunn,103.1,30.0,50.9,54.59,2.9,16.1,50.0,24.8,0.686,158,313,0.505,27,77,0.351,1.1,4.9,44.1,So,4.03776,121.826,3.6,97.0,87.351,34.0303,4.81497,4.76617,0.8485,4.6061,5.4545,7.4848,2.7273,0.303,15.6061,4.15246,3,1.78985127,0.5808,0.4178,93.2564,4.69394,250.596,10.7218,6.00374,4.71809,9.58114,40.8
27317,2014,kyle anderson,110.6,26.0,51.7,56.62,4.5,25.5,34.3,20.2,0.737,153,319,0.48,28,58,0.483,2.7,3.1,49.3,So,4.05962,123.524,2.0,99.6,90.2755,33.2222,6.03776,3.96129,1.25,7.5,8.75,6.4722,1.7778,0.75,14.6389,2.7613,3,2.11814376,0.6364,0.4236,94.3457,4.543,282.93,9.78061,4.28947,5.49115,9.99905,44.06
27447,2016,kyle kuzma,103.2,24.6,54.6,55.82,9.6,17.7,12.2,19.6,0.598,135,234,0.577,13,49,0.265,1.8,0.8,36.0,So,2.17031,114.135,3.4,62.8,97.4475,24.2,1.30433,0.205394,1.8,3.9714,5.7714,1.4286,0.3429,0.4571,10.5714,3.42129,3,0.72466264,0.6964,0.2769,102.368,2.60876,150.789,2.34028,1.28792,1.05235,1.50972,26.59
27819,2020,lance thomas,97.0,15.9,48.3,50.22,6.3,11.2,4.7,17.1,0.682,28,55,0.509,19,62,0.306,7.6,1.6,18.8,So,0.468504,94.6993,5.8,76.2,86.3786,14.5517,-0.98934,3.74559,0.7931,1.6897,2.4828,0.3448,0.4138,1.069,4.4138,8.00925,3,0.47617732,0.5588,0.4286,88.7349,2.0507,89.7341,4.05975,-0.811293,4.87104,2.75625,18.86
27851,2018,landry shamet,127.5,21.0,62.2,65.54,1.6,9.7,28.8,17.9,0.825,70,125,0.56,84,190,0.442,0.7,1.3,32.7,So,5.01824,133.749,2.4,70.6,102.035,31.7188,7.29565,0.3634,0.4375,2.7812,3.2188,5.1875,0.7188,0.1875,14.9062,10.695,3,2.47755269,0.6623,0.3878,104.926,2.99378,169.509,6.47206,7.53766,-1.06559,7.65905,36.28
27862,2012,langston galloway,125.2,18.8,60.9,63.16,3.6,10.2,13.0,10.8,0.785,92,180,0.511,90,193,0.466,1.6,1.7,24.9,So,4.95025,126.355,3.0,66.4,99.322,35.7353,5.46516,0.796362,1.0,3.5,4.5,2.2353,1.0294,0.5882,15.5,9.57148,3,1.85363641,0.6818,0.4123,103.142,3.29084,197.439,6.56982,6.44762,0.122205,6.26152,37.46
28790,2010,luke babbitt,120.4,26.0,54.0,61.23,6.5,19.1,10.9,13.9,0.92,203,393,0.517,42,100,0.42,1.9,1.5,43.0,So,5.74256,130.134,2.7,96.6,99.6456,37.5455,6.51045,0.568331,2.0606,6.8182,8.8788,2.1212,1.0,0.7879,22.0303,4.58286,3,0.88608553,0.6261,0.4712,103.76,3.47298,246.614,4.8202,4.59114,0.229052,7.07878,29.5
28837,2017,luke kennard,127.3,23.0,57.9,62.91,3.9,12.1,13.6,11.2,0.856,149,284,0.525,88,201,0.438,0.9,1.4,38.6,So,6.41199,139.823,2.5,96.0,96.1443,35.5135,8.06344,1.33362,1.1622,3.9189,5.0811,2.4595,0.8378,0.3514,19.5135,8.7589,3,1.54239316,0.6322,0.4747,103.155,4.04067,215.166,8.02895,7.36515,0.6638,9.39706,33.57
29137,2014,malcolm brogdon,114.1,22.8,47.4,54.47,3.6,17.3,19.4,13.1,0.875,106,244,0.434,44,119,0.37,0.5,2.5,39.7,So,3.87694,123.975,2.4,80.6,85.6908,31.4324,4.38505,4.30077,0.8919,4.5405,5.4324,2.7297,1.1892,0.1351,12.7027,6.7323,3,1.90568285,0.5841,0.3053,90.121,4.78215,216.707,9.0741,4.90981,4.16429,8.68582,54.39
29772,2010,marcus morris,121.3,22.6,59.0,61.0,12.8,14.0,8.1,13.6,0.66,162,273,0.593,12,32,0.375,1.3,2.2,49.2,So,3.84172,130.867,4.2,77.6,87.3953,24.6944,5.88628,1.73189,2.6667,3.4444,6.1111,1.0278,0.9444,0.3333,12.75,2.04563,3,0.77086925,0.7143,0.4524,93.09,3.32817,171.08,7.92823,6.38933,1.5389,7.61817,39.72
29823,2014,marcus smart,110.4,29.9,48.6,55.18,5.1,14.9,30.1,15.4,0.728,114,222,0.514,49,164,0.299,1.9,5.0,64.8,So,4.50623,128.811,3.6,98.2,87.4668,32.7097,5.92469,5.00823,1.4194,4.4839,5.9032,4.7742,2.871,0.5806,17.9677,9.21149,3,1.80485405,0.7091,0.3186,91.3572,4.69701,246.092,11.9444,7.06262,4.88179,10.9329,57.53
29840,2013,marcus thornton,107.4,27.5,55.5,59.75,1.4,7.4,18.6,19.3,0.824,86,193,0.446,90,205,0.439,1.5,1.5,32.9,So,3.85704,116.412,1.7,19.2,111.725,36.5862,5.04024,-3.00179,0.3793,2.3793,2.7586,2.7931,0.8621,0.5172,18.9655,12.2256,3,0.91010105,0.52,0.3723,109.103,1.75473,149.647,-0.313477,3.28646,-3.59993,2.03844,33.81
29841,2012,marcus thornton,73.7,14.9,29.5,33.58,7.9,18.0,7.2,23.2,0.556,25,88,0.284,4,17,0.235,2.7,1.2,34.3,So,-1.07666,71.6558,5.2,76.0,95.8407,22.2963,-5.28764,0.838517,1.5556,3.2222,4.7778,0.7778,0.4074,0.4815,3.037,1.83855,3,0.65626058,0.3889,0.2115,100.908,2.33869,100.923,-2.16779,-4.39502,2.22724,-4.44912,33.81
30108,2010,markieff morris,111.0,20.1,59.9,61.19,11.9,20.3,10.7,22.8,0.622,76,133,0.571,10,19,0.526,5.5,1.5,64.5,So,1.83523,116.106,5.8,76.6,83.6077,17.5278,2.73937,3.49423,1.75,3.5556,5.3056,1.0833,0.4444,0.9722,6.75,1.7116,3,0.76466435,0.7059,0.3333,89.0556,2.59106,141.546,8.13544,3.54238,4.59307,6.23359,31.89
30560,2011,mason plumlee,103.7,17.2,59.3,56.82,11.2,23.8,10.5,24.7,0.441,112,187,0.599,0,2,0.0,5.8,2.0,49.2,So,1.65048,104.806,4.0,94.8,80.9889,25.6486,2.23207,4.80505,2.4595,5.8919,8.3514,1.5676,0.8919,1.6757,7.1622,0.119641,3,0.81692636,0.748,0.3125,85.1714,4.08853,243.473,8.83795,1.79522,7.04274,7.03711,36.05
30631,2017,matisse thybulle,106.7,16.9,55.0,57.47,2.9,8.7,10.3,22.2,0.841,64,130,0.492,53,131,0.405,2.2,3.9,16.9,So,1.73075,104.538,3.9,79.4,103.28,29.9032,0.604559,2.26331,0.8065,2.2903,3.0968,1.7742,2.0968,0.7097,10.4516,7.78629,3,0.87300102,0.5625,0.4512,108.554,2.65125,185.235,3.42564,1.55087,1.87478,2.86787,50.71
31076,2011,matthew dellavedova,116.9,21.5,52.0,57.36,3.8,8.4,26.0,18.9,0.87,71,154,0.461,66,173,0.382,0.1,2.2,33.0,So,4.24956,120.383,2.3,21.0,101.083,36.0312,4.63999,0.076326,1.0938,2.5,3.5938,5.3125,1.3125,0.0312,13.5625,9.03053,3,2.17948718,0.5738,0.3871,103.035,3.21861,178.628,4.8658,5.23949,-0.373684,4.71631,34.33
31469,2012,meyers leonard,112.5,22.0,58.6,61.77,9.1,23.5,9.9,18.7,0.732,169,280,0.604,1,11,0.091,6.9,0.9,43.6,So,3.62588,118.932,3.7,94.2,88.2181,31.8125,3.03494,3.23251,2.2812,5.9062,8.1875,1.3438,0.4688,1.875,13.5625,0.667608,3,0.63237645,0.7569,0.4412,94.6348,4.16046,210.3,6.54568,1.57784,4.96784,6.26746,29.69
31574,2013,michael carter williams,102.6,24.4,43.8,49.13,4.0,11.1,40.2,24.1,0.694,120,274,0.438,35,120,0.292,1.7,4.8,47.2,So,3.57977,114.736,2.6,95.0,82.318,35.2,3.95766,4.86349,1.275,3.6,4.875,7.3,2.775,0.475,11.85,5.16731,3,2.14705882,0.589,0.2698,86.8313,5.29067,299.662,9.12808,4.84479,4.28329,8.82116,45.4
31978,2017,mikal bridges,128.5,15.5,64.4,67.6,5.3,13.4,12.0,16.9,0.911,84,121,0.694,44,112,0.393,3.5,3.4,24.0,So,3.95743,126.055,3.1,84.0,87.6812,29.8056,5.11735,5.08231,1.1389,3.4167,4.5556,1.9722,1.6667,0.8889,9.75,6.37902,3,1.5434341,0.8,0.3871,92.6618,4.26652,224.568,11.7068,5.8698,5.83704,10.1997,57.48
